date,as,bh,bn,bpy,gu,hi,kn,ks,ml,mr,ne,new,or,pa,pi,sa,sd,ta,te,ur,Total
2004/01/31,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,2.0
2004/02/29,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,3.0
2004/03/31,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,1.0,0.0,2.0,5.0
2004/04/30,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,1.0,0.0,5.0,6.0
2004/05/31,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,1.0,0.0,4.0,6.0
2004/06/30,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,1.0,0.0,2.0,4.0
2004/07/31,0.0,0.0,0.0,,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,0.0,3.0,1.0,2.0,12.0
2004/08/31,0.0,0.0,0.0,,1.0,3.0,1.0,0.0,2.0,0.0,0.0,,,0.0,0.0,1.0,0.0,3.0,1.0,1.0,13.0
2004/09/30,0.0,0.0,0.0,,2.0,4.0,2.0,0.0,2.0,2.0,0.0,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,15.0
2004/10/31,0.0,0.0,0.0,,3.0,5.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,15.0
2004/11/30,0.0,0.0,2.0,,3.0,4.0,6.0,1.0,2.0,2.0,1.0,,,0.0,0.0,1.0,0.0,1.0,2.0,1.0,26.0
2004/12/31,0.0,0.0,1.0,,4.0,5.0,3.0,0.0,2.0,0.0,1.0,,,0.0,0.0,0.0,0.0,3.0,1.0,1.0,21.0
2005/01/31,0.0,0.0,0.0,,2.0,3.0,2.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
2005/02/28,0.0,0.0,1.0,,2.0,5.0,4.0,0.0,0.0,1.0,0.0,,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0
2005/03/31,0.0,0.0,0.0,,1.0,3.0,3.0,0.0,0.0,2.0,0.0,,,0.0,0.0,1.0,0.0,5.0,0.0,0.0,15.0
2005/04/30,0.0,0.0,1.0,,1.0,2.0,3.0,0.0,0.0,3.0,2.0,,,0.0,0.0,1.0,0.0,6.0,2.0,1.0,22.0
2005/05/31,0.0,0.0,1.0,,3.0,2.0,4.0,0.0,0.0,4.0,1.0,,0.0,2.0,0.0,1.0,0.0,6.0,3.0,1.0,28.0
2005/06/30,0.0,0.0,2.0,,3.0,4.0,6.0,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,29.0
2005/07/31,0.0,0.0,4.0,,2.0,4.0,5.0,0.0,1.0,7.0,0.0,,0.0,2.0,0.0,1.0,0.0,11.0,3.0,2.0,42.0
2005/08/31,0.0,0.0,3.0,,2.0,5.0,3.0,0.0,1.0,2.0,1.0,,0.0,0.0,0.0,1.0,0.0,11.0,5.0,2.0,36.0
2005/09/30,0.0,0.0,4.0,,2.0,5.0,5.0,0.0,2.0,3.0,1.0,,0.0,1.0,0.0,3.0,0.0,11.0,7.0,4.0,48.0
2005/10/31,0.0,0.0,2.0,,0.0,4.0,6.0,0.0,1.0,3.0,1.0,,0.0,3.0,0.0,1.0,0.0,12.0,8.0,6.0,47.0
2005/11/30,0.0,0.0,2.0,,1.0,0.0,4.0,0.0,2.0,3.0,0.0,,0.0,0.0,0.0,1.0,0.0,13.0,8.0,7.0,41.0
2005/12/31,0.0,0.0,1.0,,2.0,5.0,5.0,1.0,8.0,8.0,2.0,,0.0,1.0,0.0,2.0,0.0,15.0,12.0,3.0,65.0
2006/01/31,0.0,0.0,2.0,,3.0,4.0,5.0,0.0,11.0,11.0,1.0,,0.0,1.0,0.0,1.0,0.0,14.0,7.0,3.0,63.0
2006/02/28,0.0,0.0,1.0,,1.0,9.0,5.0,0.0,8.0,13.0,0.0,,1.0,0.0,0.0,2.0,1.0,12.0,7.0,4.0,64.0
2006/03/31,0.0,0.0,4.0,,1.0,9.0,8.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0,1.0,2.0,15.0,8.0,4.0,63.0
2006/04/30,0.0,0.0,18.0,,1.0,8.0,18.0,0.0,3.0,7.0,1.0,,0.0,0.0,0.0,1.0,1.0,20.0,14.0,6.0,98.0
2006/05/31,0.0,0.0,20.0,,2.0,7.0,14.0,0.0,7.0,3.0,3.0,,0.0,1.0,0.0,1.0,1.0,16.0,8.0,6.0,89.0
2006/06/30,0.0,0.0,24.0,,1.0,10.0,8.0,0.0,7.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,19.0,7.0,15.0,104.0
2006/07/31,0.0,0.0,25.0,,2.0,14.0,18.0,1.0,12.0,13.0,5.0,1.0,0.0,1.0,0.0,4.0,1.0,28.0,9.0,14.0,148.0
2006/08/31,0.0,0.0,40.0,1.0,2.0,15.0,15.0,0.0,16.0,14.0,3.0,2.0,0.0,0.0,1.0,3.0,1.0,32.0,14.0,17.0,176.0
2006/09/30,0.0,0.0,36.0,0.0,1.0,13.0,16.0,0.0,17.0,18.0,4.0,1.0,0.0,0.0,0.0,4.0,2.0,28.0,16.0,16.0,172.0
2006/10/31,0.0,0.0,29.0,2.0,2.0,28.0,17.0,0.0,31.0,19.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,32.0,20.0,17.0,205.0
2006/11/30,1.0,0.0,29.0,2.0,1.0,24.0,20.0,0.0,22.0,24.0,6.0,1.0,1.0,0.0,0.0,6.0,2.0,34.0,36.0,16.0,225.0
2006/12/31,3.0,2.0,26.0,6.0,5.0,24.0,17.0,0.0,27.0,23.0,7.0,2.0,1.0,4.0,1.0,7.0,2.0,27.0,25.0,25.0,234.0
2007/01/31,4.0,2.0,24.0,7.0,3.0,30.0,17.0,0.0,20.0,28.0,8.0,7.0,2.0,2.0,1.0,8.0,2.0,32.0,21.0,27.0,245.0
2007/02/28,1.0,1.0,36.0,8.0,6.0,40.0,15.0,0.0,21.0,27.0,12.0,5.0,2.0,3.0,2.0,6.0,2.0,31.0,20.0,25.0,263.0
2007/03/31,2.0,3.0,26.0,5.0,7.0,37.0,12.0,0.0,34.0,23.0,9.0,6.0,2.0,5.0,2.0,7.0,6.0,31.0,24.0,27.0,268.0
2007/04/30,1.0,1.0,33.0,8.0,8.0,33.0,12.0,0.0,37.0,20.0,9.0,6.0,0.0,2.0,0.0,5.0,2.0,40.0,22.0,26.0,265.0
2007/05/31,6.0,1.0,24.0,10.0,9.0,34.0,16.0,0.0,45.0,25.0,17.0,7.0,1.0,5.0,2.0,7.0,1.0,37.0,33.0,25.0,305.0
2007/06/30,6.0,0.0,33.0,11.0,9.0,32.0,13.0,0.0,40.0,24.0,15.0,10.0,0.0,6.0,1.0,7.0,1.0,34.0,43.0,27.0,312.0
2007/07/31,1.0,0.0,37.0,10.0,5.0,33.0,18.0,0.0,42.0,21.0,10.0,10.0,0.0,3.0,0.0,4.0,1.0,25.0,33.0,22.0,275.0
2007/08/31,1.0,2.0,22.0,12.0,6.0,43.0,17.0,0.0,41.0,28.0,10.0,11.0,2.0,3.0,1.0,7.0,2.0,37.0,30.0,26.0,301.0
2007/09/30,2.0,5.0,29.0,9.0,7.0,34.0,17.0,1.0,87.0,28.0,16.0,10.0,4.0,4.0,5.0,7.0,3.0,42.0,37.0,24.0,371.0
2007/10/31,4.0,6.0,33.0,14.0,11.0,37.0,21.0,0.0,61.0,33.0,14.0,13.0,4.0,8.0,6.0,7.0,4.0,45.0,41.0,23.0,385.0
2007/11/30,3.0,7.0,35.0,13.0,9.0,39.0,23.0,0.0,53.0,29.0,16.0,13.0,7.0,6.0,7.0,7.0,5.0,42.0,38.0,26.0,378.0
2007/12/31,3.0,5.0,39.0,13.0,14.0,43.0,20.0,0.0,54.0,32.0,17.0,9.0,5.0,7.0,6.0,8.0,5.0,34.0,38.0,24.0,376.0
2008/01/31,6.0,9.0,48.0,17.0,13.0,45.0,25.0,0.0,69.0,32.0,17.0,15.0,5.0,8.0,9.0,10.0,6.0,42.0,41.0,32.0,449.0
2008/02/29,4.0,4.0,35.0,15.0,12.0,47.0,23.0,1.0,63.0,31.0,13.0,10.0,3.0,6.0,6.0,8.0,6.0,39.0,115.0,29.0,470.0
2008/03/31,3.0,5.0,46.0,16.0,12.0,41.0,19.0,0.0,60.0,33.0,10.0,13.0,3.0,5.0,6.0,9.0,4.0,44.0,62.0,26.0,417.0
2008/04/30,3.0,9.0,43.0,19.0,13.0,40.0,26.0,0.0,57.0,30.0,12.0,16.0,5.0,4.0,9.0,11.0,4.0,45.0,50.0,29.0,425.0
2008/05/31,6.0,9.0,40.0,19.0,18.0,44.0,25.0,0.0,71.0,32.0,15.0,17.0,6.0,7.0,8.0,11.0,6.0,50.0,57.0,33.0,474.0
2008/06/30,6.0,10.0,33.0,24.0,18.0,43.0,30.0,0.0,69.0,37.0,16.0,19.0,5.0,7.0,9.0,16.0,5.0,45.0,49.0,26.0,467.0
2008/07/31,7.0,8.0,39.0,20.0,16.0,40.0,24.0,1.0,66.0,28.0,12.0,16.0,5.0,11.0,8.0,13.0,6.0,38.0,39.0,34.0,431.0
2008/08/31,5.0,4.0,39.0,29.0,22.0,50.0,26.0,1.0,68.0,28.0,10.0,20.0,3.0,10.0,6.0,12.0,4.0,48.0,42.0,33.0,460.0
2008/09/30,4.0,6.0,38.0,28.0,22.0,50.0,25.0,1.0,68.0,34.0,13.0,19.0,4.0,10.0,8.0,13.0,3.0,49.0,42.0,34.0,471.0
2008/10/31,5.0,9.0,41.0,30.0,17.0,62.0,30.0,0.0,79.0,37.0,12.0,22.0,5.0,8.0,11.0,18.0,3.0,42.0,44.0,29.0,504.0
2008/11/30,4.0,3.0,40.0,22.0,25.0,62.0,29.0,0.0,67.0,33.0,14.0,22.0,2.0,11.0,4.0,19.0,4.0,47.0,34.0,34.0,476.0
2008/12/31,2.0,6.0,38.0,28.0,22.0,54.0,30.0,1.0,68.0,37.0,12.0,20.0,1.0,10.0,7.0,15.0,3.0,45.0,47.0,35.0,481.0
2009/01/31,2.0,9.0,40.0,29.0,28.0,59.0,29.0,1.0,65.0,33.0,13.0,23.0,7.0,15.0,9.0,22.0,6.0,45.0,54.0,33.0,522.0
2009/02/28,4.0,9.0,49.0,28.0,26.0,65.0,31.0,2.0,64.0,32.0,13.0,24.0,5.0,14.0,9.0,20.0,7.0,48.0,38.0,27.0,515.0
2009/03/31,7.0,12.0,44.0,29.0,25.0,61.0,36.0,0.0,69.0,31.0,13.0,25.0,5.0,20.0,9.0,23.0,7.0,55.0,44.0,33.0,548.0
2009/04/30,1.0,14.0,38.0,30.0,28.0,67.0,37.0,1.0,78.0,39.0,11.0,25.0,4.0,17.0,8.0,17.0,5.0,64.0,46.0,41.0,571.0
2009/05/31,3.0,13.0,51.0,25.0,25.0,70.0,32.0,1.0,83.0,47.0,13.0,24.0,7.0,18.0,8.0,18.0,5.0,61.0,45.0,38.0,587.0
2009/06/30,8.0,11.0,54.0,25.0,26.0,68.0,26.0,1.0,97.0,41.0,18.0,24.0,8.0,15.0,7.0,18.0,5.0,67.0,54.0,36.0,609.0
2009/07/31,7.0,14.0,62.0,29.0,25.0,68.0,36.0,1.0,90.0,40.0,12.0,28.0,8.0,15.0,10.0,24.0,5.0,67.0,50.0,39.0,630.0
2009/08/31,6.0,8.0,59.0,32.0,38.0,72.0,47.0,1.0,109.0,46.0,29.0,26.0,5.0,11.0,8.0,24.0,7.0,75.0,55.0,43.0,701.0
2009/09/30,3.0,11.0,53.0,27.0,27.0,86.0,39.0,1.0,88.0,47.0,15.0,23.0,6.0,9.0,10.0,17.0,4.0,70.0,53.0,42.0,631.0
2009/10/31,6.0,7.0,59.0,26.0,32.0,81.0,38.0,1.0,83.0,43.0,18.0,22.0,6.0,12.0,7.0,21.0,7.0,77.0,72.0,39.0,657.0
2009/11/30,5.0,7.0,47.0,30.0,27.0,79.0,47.0,2.0,85.0,40.0,21.0,21.0,4.0,11.0,6.0,22.0,5.0,73.0,67.0,39.0,638.0
2009/12/31,4.0,10.0,59.0,33.0,27.0,93.0,49.0,0.0,83.0,46.0,16.0,27.0,8.0,10.0,9.0,21.0,4.0,84.0,61.0,39.0,683.0
2010/01/31,4.0,12.0,54.0,34.0,25.0,81.0,45.0,0.0,98.0,49.0,18.0,26.0,5.0,13.0,10.0,22.0,5.0,81.0,52.0,35.0,669.0
2010/02/28,5.0,10.0,55.0,30.0,36.0,72.0,48.0,0.0,83.0,46.0,25.0,25.0,8.0,18.0,8.0,22.0,6.0,76.0,54.0,27.0,654.0
2010/03/31,5.0,11.0,64.0,28.0,37.0,92.0,46.0,0.0,93.0,48.0,22.0,26.0,7.0,18.0,9.0,22.0,5.0,94.0,60.0,38.0,725.0
