date,as,bh,bn,bpy,gu,hi,kn,ks,ml,mr,ne,new,or,pa,pi,sa,sd,ta,te,ur,Total
2012/01/31,33.0,10.0,76.0,26.0,45.0,106.0,63.0,6.0,122.0,78.0,42.0,24.0,20.0,19.0,5.0,38.0,6.0,132.0,73.0,29.0,953.0
2012/02/29,34.0,11.0,91.0,23.0,42.0,96.0,55.0,4.0,117.0,77.0,47.0,27.0,27.0,23.0,5.0,41.0,7.0,126.0,70.0,42.0,965.0
2012/03/31,40.0,11.0,88.0,29.0,34.0,89.0,55.0,8.0,123.0,66.0,42.0,25.0,24.0,19.0,7.0,36.0,6.0,116.0,62.0,37.0,917.0
2012/04/30,47.0,13.0,100.0,26.0,35.0,84.0,52.0,5.0,106.0,66.0,38.0,20.0,30.0,21.0,10.0,32.0,6.0,108.0,56.0,35.0,890.0
2012/05/31,33.0,11.0,85.0,21.0,39.0,82.0,47.0,5.0,114.0,70.0,40.0,19.0,38.0,18.0,10.0,33.0,6.0,108.0,63.0,41.0,883.0
2012/06/30,42.0,8.0,78.0,23.0,38.0,91.0,48.0,4.0,126.0,72.0,42.0,18.0,40.0,17.0,8.0,23.0,8.0,123.0,60.0,43.0,912.0
2012/07/31,36.0,11.0,77.0,24.0,41.0,100.0,47.0,5.0,140.0,63.0,49.0,25.0,35.0,22.0,9.0,33.0,6.0,112.0,52.0,44.0,931.0
2012/08/31,29.0,7.0,86.0,21.0,35.0,95.0,43.0,5.0,151.0,70.0,41.0,19.0,24.0,25.0,5.0,35.0,3.0,117.0,58.0,42.0,911.0
2012/09/30,33.0,6.0,81.0,19.0,34.0,81.0,46.0,5.0,120.0,68.0,34.0,19.0,23.0,27.0,5.0,29.0,3.0,112.0,53.0,43.0,841.0
2012/10/31,35.0,11.0,80.0,21.0,47.0,89.0,45.0,7.0,109.0,71.0,36.0,22.0,28.0,30.0,8.0,32.0,6.0,110.0,65.0,55.0,907.0
2012/11/30,38.0,9.0,81.0,23.0,42.0,101.0,49.0,4.0,110.0,58.0,37.0,26.0,34.0,40.0,10.0,29.0,3.0,112.0,57.0,57.0,920.0
2012/12/31,31.0,10.0,86.0,27.0,57.0,90.0,46.0,5.0,155.0,77.0,39.0,28.0,29.0,40.0,10.0,28.0,8.0,115.0,63.0,51.0,995.0
