date,language,active_editors,new_editors,total_editors,new_articles,total_articles,page_views
2001/01/31,as,0,0,0,0,0,0
2001/01/31,bn,0,0,0,0,0,0
2001/01/31,bh,0,0,0,0,0,0
2001/01/31,bpy,0,0,0,0,0,0
2001/01/31,gu,0,0,0,0,0,0
2001/01/31,hi,0,0,0,0,0,0
2001/01/31,kn,0,0,0,0,0,0
2001/01/31,ks,0,0,0,0,0,0
2001/01/31,ml,0,0,0,0,0,0
2001/01/31,mr,0,0,0,0,0,0
2001/01/31,ne,0,0,0,0,0,0
2001/01/31,new,0,0,0,0,0,0
2001/01/31,or,0,0,0,0,0,0
2001/01/31,pa,0,0,0,0,0,0
2001/01/31,pi,0,0,0,0,0,0
2001/01/31,sa,0,0,0,0,0,0
2001/01/31,sd,0,0,0,0,0,0
2001/01/31,ta,0,0,0,0,0,0
2001/01/31,te,0,0,0,0,0,0
2001/01/31,total,0,0,0,0,0,0
2001/01/31,ur,0,0,0,0,0,0
2001/02/28,as,0,0,0,0,0,0
2001/02/28,bn,0,0,0,0,0,0
2001/02/28,bh,0,0,0,0,0,0
2001/02/28,bpy,0,0,0,0,0,0
2001/02/28,gu,0,0,0,0,0,0
2001/02/28,hi,0,0,0,0,0,0
2001/02/28,kn,0,0,0,0,0,0
2001/02/28,ks,0,0,0,0,0,0
2001/02/28,ml,0,0,0,0,0,0
2001/02/28,mr,0,0,0,0,0,0
2001/02/28,ne,0,0,0,0,0,0
2001/02/28,new,0,0,0,0,0,0
2001/02/28,or,0,0,0,0,0,0
2001/02/28,pa,0,0,0,0,0,0
2001/02/28,pi,0,0,0,0,0,0
2001/02/28,sa,0,0,0,0,0,0
2001/02/28,sd,0,0,0,0,0,0
2001/02/28,ta,0,0,0,0,0,0
2001/02/28,te,0,0,0,0,0,0
2001/02/28,total,0,0,0,0,0,0
2001/02/28,ur,0,0,0,0,0,0
2001/03/31,as,0,0,0,0,0,0
2001/03/31,bn,0,0,0,0,0,0
2001/03/31,bh,0,0,0,0,0,0
2001/03/31,bpy,0,0,0,0,0,0
2001/03/31,gu,0,0,0,0,0,0
