date,Other,bot,total
2002/06/30,588.0,,588.0
2002/07/31,588.0,,588.0
2002/08/31,588.0,,588.0
2002/09/30,588.0,,588.0
2002/10/31,588.0,,588.0
2002/11/30,588.0,,588.0
2002/12/31,588.0,,588.0
2003/01/31,588.0,,588.0
2003/02/28,588.0,,588.0
2003/03/31,588.0,,588.0
2003/04/30,588.0,,588.0
2003/05/31,588.0,,588.0
2003/06/30,588.0,,588.0
2003/07/31,588.0,,588.0
2003/08/31,588.0,,588.0
2003/09/30,588.0,,588.0
2003/10/31,588.0,,588.0
2003/11/30,588.0,,588.0
2003/12/31,587.580645161,,587.580645161
2004/01/31,5313.32258065,,5313.32258065
2004/02/29,5239.4137931,,5239.4137931
2004/03/31,5240.67741935,,5240.67741935
2004/04/30,5238.0,,5238.0
2004/05/31,5238.0,,5238.0
2004/06/30,7177.4,,7177.4
2004/07/31,14935.0,,14935.0
2004/08/31,14935.0,,14935.0
2004/09/30,15357.0333333,,15357.0333333
2004/10/31,15333.0645161,,15333.0645161
2004/11/30,15347.1666667,,15347.1666667
2004/12/31,8339.83870968,,8339.83870968
2005/01/31,7598.29032258,,7598.29032258
2005/02/28,7625.0,,7625.0
2005/03/31,7974.35483871,,7974.35483871
2005/04/30,8678.0,,8678.0
2005/05/31,8678.0,,8678.0
2005/06/30,5364.63333333,,5364.63333333
2005/07/31,4271.90322581,,4271.90322581
2005/08/31,4275.0,,4275.0
2005/09/30,4275.0,,4275.0
2005/10/31,4621.12903226,,4621.12903226
2005/11/30,5003.4,,5003.4
2005/12/31,4895.48387097,,4895.48387097
2006/01/31,5006.0,,5006.0
2006/02/28,5006.0,,5006.0
2006/03/31,5610.12903226,,5610.12903226
2006/04/30,6278.53333333,,6278.53333333
2006/05/31,6095.0,,6095.0
2006/06/30,6106.9,,6106.9
2006/07/31,5250.0,,5250.0
2006/08/31,5175.67741935,,5175.67741935
2006/09/30,4857.6,,4857.6
2006/10/31,5229.0,,5229.0
2006/11/30,5316.83333333,,5316.83333333
2006/12/31,15096.1290323,,15096.1290323
2007/01/31,26077.2903226,,26077.2903226
2007/02/28,30624.8928571,,30624.8928571
2007/03/31,38901.7419355,,38901.7419355
2007/04/30,45941.0666667,,45941.0666667
2007/05/31,179436.967742,51.9565217391,179475.516129
2007/06/30,372353.533333,120.633333333,372474.166667
2007/07/31,385641.483871,230.741935484,385872.225806
2007/08/31,385902.774194,542.903225806,386445.677419
2007/09/30,388973.233333,12793.6666667,401766.9
2007/10/31,395308.290323,21338.8709677,416647.16129
2007/11/30,401810.533333,23500.3666667,425310.9
2007/12/31,402526.129032,28055.5483871,430581.677419
2008/01/31,403775.903226,30670.9354839,434446.83871
2008/02/29,411633.689655,31561.2758621,443194.965517
2008/03/31,416918.16129,31946.1290323,448864.290323
2008/04/30,417511.766667,32393.5,449905.266667
2008/05/31,427770.258065,33077.6451613,460847.903226
2008/06/30,465757.333333,33963.3333333,499720.666667
2008/07/31,517958.225806,34178.2903226,552136.516129
2008/08/31,600782.290323,34472.2258065,635254.516129
2008/09/30,612918.966667,35823.1666667,648742.133333
2008/10/31,628366.903226,33405.5483871,661772.451613
2008/11/30,636618.433333,33021.8,669640.233333
2008/12/31,640051.225806,33099.0,673150.225806
2009/01/31,640642.83871,33150.8387097,673793.677419
2009/02/28,643015.5,33185.2142857,676200.714286
2009/03/31,697955.129032,33388.483871,731343.612903
2009/04/30,793471.466667,33560.2,827031.666667
2009/05/31,817087.258065,33665.9677419,850753.225806
2009/06/30,857772.233333,33943.7,891715.933333
2009/07/31,948158.064516,34096.0322581,982254.096774
2009/08/31,1012794.32258,34627.7096774,1047422.03226
2009/09/30,1020045.53333,35221.0333333,1055266.56667
2009/10/31,1022334.09677,35504.1290323,1057838.22581
2009/11/30,1026090.16667,35665.5666667,1061755.73333
2009/12/31,1035029.41935,36104.5483871,1071133.96774
2010/01/31,1038183.48387,36319.3225806,1074502.80645
2010/02/28,1039257.78571,36467.8214286,1075725.60714
2010/03/31,1059662.32258,36941.7741935,1096604.09677
2010/04/30,1067209.23333,37071.7666667,1104281.0
2010/05/31,1068125.70968,37112.2580645,1105237.96774
2010/06/30,1076040.23333,37196.5,1113236.73333
2010/07/31,1089248.96774,37302.8387097,1126551.80645
2010/08/31,1094929.64516,37436.6774194,1132366.32258
