date,Other,bot,total
2003/02/28,637.0,,637.0
2003/03/31,637.0,,637.0
2003/04/30,637.0,,637.0
2003/05/31,637.0,,637.0
2003/06/30,637.0,,637.0
2003/07/31,637.0,,637.0
2003/08/31,637.0,,637.0
2003/09/30,637.0,,637.0
2003/10/31,637.0,,637.0
2003/11/30,637.0,,637.0
2003/12/31,643.774193548,,643.774193548
2004/01/31,672.0,,672.0
2004/02/29,672.0,,672.0
2004/03/31,543.129032258,,543.129032258
2004/04/30,587.0,,587.0
2004/05/31,587.0,,587.0
2004/06/30,3481.33333333,,3481.33333333
2004/07/31,15056.0,,15056.0
2004/08/31,15056.0,,15056.0
2004/09/30,15063.3666667,,15063.3666667
2004/10/31,15073.0,,15073.0
2004/11/30,15138.1,,15138.1
2004/12/31,15186.8387097,,15186.8387097
2005/01/31,14840.0,,14840.0
2005/02/28,14840.0,,14840.0
2005/03/31,14840.0,,14840.0
2005/04/30,14840.0,,14840.0
2005/05/31,15941.4193548,,15941.4193548
2005/06/30,23376.0,,23376.0
2005/07/31,28822.0645161,,28822.0645161
2005/08/31,23422.1290323,,23422.1290323
2005/09/30,23160.0,,23160.0
2005/10/31,23176.5483871,,23176.5483871
2005/11/30,24261.1666667,,24261.1666667
2005/12/31,23488.5483871,,23488.5483871
2006/01/31,22416.8709677,,22416.8709677
2006/02/28,23289.0,,23289.0
2006/03/31,23088.7419355,,23088.7419355
2006/04/30,24139.2,,24139.2
2006/05/31,31026.6774194,,31026.6774194
2006/06/30,32477.0,,32477.0
2006/07/31,29748.9032258,,29748.9032258
2006/08/31,32492.3225806,,32492.3225806
2006/09/30,30774.0666667,505.0,31144.4
2006/10/31,97241.483871,505.0,97746.483871
2006/11/30,29081.8,505.0,29586.8
2006/12/31,39552.1935484,2437.0,41989.1935484
2007/01/31,48470.6129032,3879.74193548,52350.3548387
2007/02/28,69718.5357143,3500.0,73218.5357143
2007/03/31,324764.193548,3364.09677419,328128.290323
2007/04/30,617165.5,3361.6,620527.1
2007/05/31,1907197.80645,4019.70967742,1911217.51613
2007/06/30,1923921.16667,4313.1,1928234.26667
2007/07/31,1927122.45161,4266.0,1931388.45161
2007/08/31,1929300.25806,36221.5806452,1965521.83871
2007/09/30,1932584.03333,66740.4,1999324.43333
2007/10/31,1935451.45161,1389106.6129,3324558.06452
2007/11/30,1935888.33333,2193202.4,4129090.73333
2007/12/31,2082722.90323,2224782.19355,4307505.09677
2008/01/31,2164607.51613,2282195.03226,4446802.54839
2008/02/29,2181737.58621,2313687.7931,4495425.37931
2008/03/31,2182961.06452,2326578.83871,4509539.90323
2008/04/30,2182204.66667,2329924.13333,4512128.8
2008/05/31,2181718.0,2344013.29032,4525731.29032
