date,Other,bot,total
2004/01/31,235.2,,235.2
2004/02/29,637.0,,637.0
2004/03/31,2971.32258065,,2971.32258065
2004/04/30,3006.13333333,,3006.13333333
2004/05/31,4946.0,,4946.0
2004/06/30,11468.1333333,,11468.1333333
2004/07/31,11568.5483871,,11568.5483871
2004/08/31,16336.9032258,,16336.9032258
2004/09/30,21075.5,,21075.5
2004/10/31,22875.5483871,,22875.5483871
2004/11/30,26084.4333333,,26084.4333333
2004/12/31,32034.9032258,,32034.9032258
2005/01/31,34706.5483871,,34706.5483871
2005/02/28,79271.8571429,,79271.8571429
2005/03/31,300220.612903,,300220.612903
2005/04/30,332122.533333,,332122.533333
2005/05/31,494568.516129,,494568.516129
2005/06/30,628190.7,,628190.7
2005/07/31,640961.032258,-156.285714286,640855.16129
2005/08/31,647812.322581,4826.12903226,652638.451613
2005/09/30,660272.1,8288.8,668560.9
2005/10/31,668372.806452,15804.1935484,684177.0
2005/11/30,702775.433333,27996.0666667,730771.5
2005/12/31,700197.83871,36123.2258065,736321.064516
2006/01/31,487334.225806,39624.7096774,526958.935484
2006/02/28,435917.928571,39706.0,475623.928571
2006/03/31,483724.741935,52403.3225806,536128.064516
2006/04/30,918083.5,74056.5666667,992140.066667
2006/05/31,1555505.80645,89690.4193548,1645196.22581
2006/06/30,2832993.33333,128604.033333,2961597.36667
2006/07/31,4603264.3871,428220.870968,5031485.25806
2006/08/31,7072203.87097,764559.354839,7836763.22581
2006/09/30,10595656.8333,1735291.26667,12330948.1
2006/10/31,11794243.9032,5485646.03226,17279889.9355
2006/11/30,13018834.8,5956822.26667,18975657.0667
2006/12/31,14327973.0968,6219471.12903,20547444.2258
2007/01/31,14901580.0323,7372739.54839,22274319.5806
2007/02/28,15554414.9643,12429941.5,27984356.4643
2007/03/31,16613258.2903,12662098.9355,29275357.2258
2007/04/30,17903361.4333,12815005.4333,30718366.8667
2007/05/31,19519524.7742,13000614.7742,32520139.5484
2007/06/30,21437335.6333,13188788.6667,34626124.3
2007/07/31,23280981.129,13332206.7742,36613187.9032
2007/08/31,24349496.0,13413943.4516,37763439.4516
2007/09/30,25735862.9667,13511596.8667,39247459.8333
2007/10/31,27355561.2903,13914596.4839,41270157.7742
2007/11/30,28744306.3667,15137676.2333,43881982.6
2007/12/31,30087571.3871,15279992.3226,45367563.7097
2008/01/31,32253980.0968,15411412.2581,47665392.3548
2008/02/29,33580235.2069,15544630.4483,49124865.6552
2008/03/31,34956944.0968,15646392.6452,50603336.7419
2008/04/30,36197361.6,15750350.6667,51947712.2667
2008/05/31,37302254.5806,15890388.2581,53192642.8387
2008/06/30,38154797.7667,16036815.5333,54191613.3
2008/07/31,39426596.0645,16305365.0968,55731961.1613
2008/08/31,41615006.8065,16486638.871,58101645.6774
