date,Other,bot,total
2003/12/31,2717.0,,2717.0
2004/01/31,7463.41935484,,7463.41935484
2004/02/29,7486.20689655,,7486.20689655
2004/03/31,7001.96774194,,7001.96774194
2004/04/30,7517.26666667,,7517.26666667
2004/05/31,7682.41935484,,7682.41935484
2004/06/30,8490.43333333,,8490.43333333
2004/07/31,12896.1612903,,12896.1612903
2004/08/31,15813.2903226,,15813.2903226
2004/09/30,13144.6666667,,13144.6666667
2004/10/31,14810.5483871,,14810.5483871
2004/11/30,28499.8666667,,28499.8666667
2004/12/31,47256.4193548,,47256.4193548
2005/01/31,57856.0967742,,57856.0967742
2005/02/28,66496.7142857,,66496.7142857
2005/03/31,86110.6774194,,86110.6774194
2005/04/30,142176.433333,,142176.433333
2005/05/31,236564.741935,,236564.741935
2005/06/30,481760.266667,,481760.266667
2005/07/31,541320.548387,1099.625,542171.870968
2005/08/31,561316.419355,2121.25806452,563437.677419
2005/09/30,561345.866667,2867.96666667,564213.833333
2005/10/31,562456.322581,3197.22580645,565653.548387
2005/11/30,561953.866667,3569.0,565522.866667
2005/12/31,581904.193548,3569.0,585473.193548
2006/01/31,631767.419355,3927.87096774,635695.290323
2006/02/28,643538.178571,4014.0,647552.178571
2006/03/31,645707.903226,10611.0322581,656318.935484
2006/04/30,649925.7,20805.6666667,670731.366667
2006/05/31,1043511.58065,23431.3548387,1066942.93548
2006/06/30,663385.133333,26950.6333333,690335.766667
2006/07/31,670668.548387,31119.6451613,701788.193548
2006/08/31,671120.516129,35938.3548387,707058.870968
2006/09/30,678417.0,39130.3333333,717547.333333
2006/10/31,692668.83871,40342.8709677,733011.709677
2006/11/30,706281.2,41425.3,747706.5
2006/12/31,712110.935484,53549.1290323,765660.064516
2007/01/31,718980.419355,65438.5806452,784419.0
2007/02/28,757132.607143,73261.3928571,830394.0
2007/03/31,849233.322581,79004.5483871,928237.870968
2007/04/30,994363.666667,82277.8,1076641.46667
2007/05/31,1310815.64516,87958.7096774,1398774.35484
2007/06/30,1458495.36667,96702.0666667,1555197.43333
2007/07/31,1461549.64516,99521.0322581,1561070.67742
2007/08/31,1469632.67742,102925.709677,1572558.3871
2007/09/30,1481463.53333,110562.233333,1592025.76667
2007/10/31,1505284.74194,114906.806452,1620191.54839
2007/11/30,1528617.8,123616.566667,1652234.36667
2007/12/31,1554406.41935,130146.225806,1684552.64516
2008/01/31,1633094.09677,135149.677419,1768243.77419
2008/02/29,1724508.86207,142454.448276,1866963.31034
2008/03/31,1869591.0,146752.612903,2016343.6129
2008/04/30,1964685.06667,151948.966667,2116634.03333
2008/05/31,2641827.06452,156493.032258,2798320.09677
2008/06/30,3061733.03333,168304.033333,3230037.06667
2008/07/31,3361851.74194,174421.032258,3536272.77419
2008/08/31,3939437.25806,180580.16129,4120017.41935
2008/09/30,4374903.53333,189749.733333,4564653.26667
2008/10/31,4744712.45161,196772.322581,4941484.77419
2008/11/30,5129471.23333,211396.3,5340867.53333
2008/12/31,5405418.51613,226850.290323,5632268.80645
2009/01/31,5705591.80645,234658.16129,5940249.96774
2009/02/28,6257993.03571,228960.321429,6486953.35714
2009/03/31,6988506.74194,233153.0,7221659.74194
2009/04/30,9141252.0,238517.733333,9379769.73333
2009/05/31,11765916.5161,245280.870968,12011197.3871
2009/06/30,15900617.1,255119.033333,16155736.1333
2009/07/31,18808223.8065,274115.258065,19082339.0645
2009/08/31,20608884.5484,292805.903226,20901690.4516
2009/09/30,23350978.9333,306892.6,23657871.5333
2009/10/31,28512652.3548,323539.451613,28836191.8065
2009/11/30,31567167.7333,336306.833333,31903474.5667
2009/12/31,33693610.7097,350145.935484,34043756.6452
