date,Other,bot,total
2003/07/31,24839.5238095,,24839.5238095
2003/08/31,81653.9354839,,81653.9354839
2003/09/30,97890.2666667,,97890.2666667
2003/10/31,98728.1290323,,98728.1290323
2003/11/30,99150.0333333,,99150.0333333
2003/12/31,103642.322581,,103642.322581
2004/01/31,112313.709677,,112313.709677
2004/02/29,119298.758621,,119298.758621
2004/03/31,162449.774194,,162449.774194
2004/04/30,170768.466667,,170768.466667
2004/05/31,171463.064516,,171463.064516
2004/06/30,186669.166667,,186669.166667
2004/07/31,191703.322581,,191703.322581
2004/08/31,228926.935484,,228926.935484
2004/09/30,237543.4,,237543.4
2004/10/31,261385.354839,,261385.354839
2004/11/30,370640.933333,11694.4285714,378827.033333
2004/12/31,584078.741935,11722.0,595800.741935
2005/01/31,1185802.70968,11837.7419355,1197640.45161
2005/02/28,1513438.17857,17198.2142857,1530636.39286
2005/03/31,1629607.48387,27446.0,1657053.48387
2005/04/30,1683918.46667,27821.2,1711739.66667
2005/05/31,1841987.0,27848.0,1869835.0
2005/06/30,2016455.16667,27848.0,2044303.16667
2005/07/31,2048576.93548,30421.2258065,2078998.16129
2005/08/31,2078639.32258,37862.7741935,2116502.09677
2005/09/30,2118169.9,40082.0,2158251.9
2005/10/31,2206666.83871,40082.0,2246748.83871
2005/11/30,2234272.36667,40082.0,2274354.36667
2005/12/31,2257752.74194,43801.483871,2301554.22581
2006/01/31,2279788.06452,55981.3870968,2335769.45161
2006/02/28,2372957.53571,56290.0,2429247.53571
2006/03/31,2781257.3871,79990.6774194,2861248.06452
2006/04/30,3045698.06667,131130.366667,3176828.43333
2006/05/31,3170240.19355,146201.516129,3316441.70968
2006/06/30,3302484.53333,183195.666667,3485680.2
2006/07/31,3594026.64516,216765.064516,3810791.70968
2006/08/31,4196279.45161,243877.935484,4440157.3871
2006/09/30,5440164.4,268651.433333,5708815.83333
2006/10/31,8007328.32258,291003.322581,8298331.64516
2006/11/30,9458624.66667,326973.566667,9785598.23333
2006/12/31,10096499.2581,378574.322581,10475073.5806
2007/01/31,10763366.871,500623.83871,11263990.7097
2007/02/28,11892644.75,705418.785714,12598063.5357
2007/03/31,12916976.7097,2202204.67742,15119181.3871
2007/04/30,13819751.7,3867438.03333,17687189.7333
2007/05/31,15215029.6129,4038194.25806,19253223.871
2007/06/30,16479828.4667,4309960.3,20789788.7667
2007/07/31,18281312.0645,4432495.3871,22713807.4516
2007/08/31,19552833.2581,4511754.0,24064587.2581
2007/09/30,21084145.5,4594809.7,25678955.2
2007/10/31,22261854.4839,4737767.12903,26999621.6129
2007/11/30,23641798.5,4962322.83333,28604121.3333
2007/12/31,25481049.0,5058416.29032,30539465.2903
2008/01/31,27055401.1935,5183496.93548,32238898.129
2008/02/29,29392625.3103,5300476.2069,34693101.5172
2008/03/31,32385237.6774,5378954.32258,37764192.0
2008/04/30,35336025.5,5454228.53333,40790254.0333
2008/05/31,41304402.4194,5530639.51613,46835041.9355
2008/06/30,45306636.8667,5666173.6,50972810.4667
2008/07/31,47456806.9032,5862655.67742,53319462.5806
2008/08/31,51309521.3548,5989411.70968,57298933.0645
2008/09/30,54575587.4,6098956.13333,60674543.5333
2008/10/31,58693587.2903,6187368.77419,64880956.0645
2008/11/30,66332928.7333,6305183.23333,72638111.9667
2008/12/31,72427301.4839,6464473.32258,78891774.8065
2009/01/31,74026524.9355,6641058.45161,80667583.3871
2009/02/28,77594337.2857,6882783.64286,84477120.9286
2009/03/31,89392148.4516,7078040.19355,96470188.6452
2009/04/30,93504403.9333,7171707.66667,100676111.6
2009/05/31,96878340.7097,7266836.74194,104145177.452
2009/06/30,103487204.9,7361920.9,110849125.8
2009/07/31,109976944.258,7524645.19355,117501589.452
2009/08/31,115019549.581,7717791.22581,122737340.806
2009/09/30,126331649.033,17960244.7667,144291893.8
2009/10/31,133766528.613,22866389.3548,156632917.968
2009/11/30,143144234.733,22969539.7667,166113774.5
2009/12/31,150021891.258,23054490.6774,173076381.935
2010/01/31,158712913.065,23141808.2903,181854721.355
2010/02/28,165091306.607,23243139.2143,188334445.821
2010/03/31,172463909.419,23309800.0,195773709.419
2010/04/30,180979418.167,23420904.8,204400322.967
2010/05/31,189918460.71,23539762.2581,213458222.968
2010/06/30,204961897.7,23637482.6667,228599380.367
