date,Other,bot,total
2003/06/30,37.0,,37.0
2003/07/31,37.0,,37.0
2003/08/31,37.0,,37.0
2003/09/30,37.0,,37.0
2003/10/31,37.0,,37.0
2003/11/30,37.0,,37.0
2003/12/31,39.4838709677,,39.4838709677
2004/01/31,4782.38709677,,4782.38709677
2004/02/29,4827.20689655,,4827.20689655
2004/03/31,4835.0,,4835.0
2004/04/30,4835.0,,4835.0
2004/05/31,4835.0,,4835.0
2004/06/30,6798.4,,6798.4
2004/07/31,17957.7419355,,17957.7419355
2004/08/31,18207.516129,,18207.516129
2004/09/30,15638.1666667,,15638.1666667
2004/10/31,100092.290323,,100092.290323
2004/11/30,437356.166667,1017.0,438068.066667
2004/12/31,837227.967742,1017.0,838244.967742
2005/01/31,1007697.09677,1017.0,1008714.09677
2005/02/28,1064709.57143,1006.64285714,1065716.21429
2005/03/31,1153089.3871,988.0,1154077.3871
2005/04/30,1201887.76667,988.0,1202875.76667
2005/05/31,1240724.0,988.0,1241712.0
2005/06/30,1465742.53333,988.0,1466730.53333
2005/07/31,1634390.45161,988.0,1635378.45161
2005/08/31,1664676.32258,42382.2580645,1707058.58065
2005/09/30,1763852.06667,68526.0,1832378.06667
2005/10/31,1901373.0,69270.0322581,1970643.03226
2005/11/30,2045349.63333,70128.0,2115477.63333
2005/12/31,2180533.12903,70149.6774194,2250682.80645
2006/01/31,2268853.58065,70152.0,2339005.58065
2006/02/28,2378381.67857,70152.0,2448533.67857
2006/03/31,2495771.93548,70152.0,2565923.93548
2006/04/30,3059154.0,70152.0,3129306.0
2006/05/31,3407965.77419,70550.9032258,3478516.67742
2006/06/30,4235126.96667,70619.5666667,4305746.53333
2006/07/31,5406027.3871,72770.5806452,5478797.96774
2006/08/31,6823910.70968,76067.7096774,6899978.41935
2006/09/30,8516263.1,87670.3,8603933.4
2006/10/31,9417857.6129,105976.483871,9523834.09677
2006/11/30,9952333.26667,137977.466667,10090310.7333
2006/12/31,10489929.8065,256258.354839,10746188.1613
2007/01/31,11159596.0968,293128.129032,11452724.2258
2007/02/28,11469082.6071,318945.0,11788027.6071
2007/03/31,11770156.0323,335997.516129,12106153.5484
2007/04/30,12092979.2,364377.833333,12457357.0333
2007/05/31,12395962.871,434306.129032,12830269.0
2007/06/30,12603038.3333,550452.733333,13153491.0667
2007/07/31,12843682.1613,619455.225806,13463137.3871
2007/08/31,13290494.3871,648915.806452,13939410.1935
2007/09/30,13761308.1333,762836.833333,14524144.9667
2007/10/31,14328765.8065,796802.935484,15125568.7419
2007/11/30,15089162.4,1175271.13333,16264433.5333
2007/12/31,15802107.2258,1228267.93548,17030375.1613
2008/01/31,16514370.6452,1260811.87097,17775182.5161
2008/02/29,17112921.2414,1411053.13793,18523974.3793
2008/03/31,17758492.5161,1437512.93548,19196005.4516
2008/04/30,18119997.1667,1504333.8,19624330.9667
2008/05/31,18572093.1935,1538228.70968,20110321.9032
2008/06/30,19042452.7,1585871.36667,20628324.0667
2008/07/31,19819221.0968,1631074.96774,21450296.0645
2008/08/31,20251877.1613,1669355.35484,21921232.5161
2008/09/30,20736497.9333,1700667.53333,22437165.4667
2008/10/31,21257848.6452,1856655.22581,23114503.871
2008/11/30,21542145.7333,1884382.96667,23426528.7
2008/12/31,22047658.7419,1909190.16129,23956848.9032
2009/01/31,22606970.0645,1963635.48387,24570605.5484
2009/02/28,23040328.25,2044203.92857,25084532.1786
2009/03/31,23508799.8387,2072288.58065,25581088.4194
2009/04/30,24073082.6,2114749.66667,26187832.2667
2009/05/31,24382114.7097,2139669.96774,26521784.6774
2009/06/30,24668769.2333,2169318.1,26838087.3333
2009/07/31,25118517.7097,2327509.03226,27446026.7419
2009/08/31,26071233.7419,2419447.6129,28490681.3548
2009/09/30,27326132.3,2499978.23333,29826110.5333
2009/10/31,28974644.9032,2624037.51613,31598682.4194
2009/11/30,37758583.2,2654463.8,40413047.0
2009/12/31,45849861.129,2692544.35484,48542405.4839
2010/01/31,55621119.5161,2728995.3871,58350114.9032
2010/02/28,64289620.4286,2767891.5,67057511.9286
2010/03/31,72739711.4194,2809077.41935,75548788.8387
2010/04/30,82171482.2333,2849307.16667,85020789.4
2010/05/31,91615007.5484,2878894.09677,94493901.6452
2010/06/30,108800704.133,2904743.73333,111705447.867
2010/07/31,124778774.226,2948516.90323,127727291.129
2010/08/31,141279331.323,2989751.93548,144269083.258
2010/09/30,153255099.667,3017755.7,156272855.367
2010/10/31,164852898.258,3032838.32258,167885736.581
2010/11/30,176663705.733,3046787.56667,179710493.3
2010/12/31,184028407.194,3061348.87097,187089756.065
2011/01/31,190314770.71,3082334.35484,193397105.065
2011/02/28,200474966.857,3113424.75,203588391.607
2011/03/31,209145532.903,3135593.51613,212281126.419
2011/04/30,215812170.6,3149532.66667,218961703.267
2011/05/31,222409607.806,3177027.25806,225586635.065
2011/06/30,226454861.3,3192784.56667,229647645.867
2011/07/31,227294686.129,3197648.77419,230492334.903
2011/08/31,227786982.226,3202602.25806,230989584.484
2011/09/30,228255406.467,3206810.06667,231462216.533
2011/10/31,228594167.0,3226141.22581,231820308.226
2011/11/30,229008404.533,3241958.76667,232250363.3
2011/12/31,229529398.355,3257961.70968,232787360.065
2012/01/31,230222871.903,3278061.29032,233500933.194
2012/02/29,231033020.379,3293633.27586,234326653.655
2012/03/31,231810619.677,3300462.25806,235111081.935
2012/04/30,232517772.0,3306007.56667,235823779.567
2012/05/31,233126118.065,3311104.77419,236437222.839
2012/06/30,233904309.7,3314378.73333,237218688.433
2012/07/31,234579897.839,3317157.87097,237897055.71
2012/08/31,236321268.968,3322699.22581,239643968.194
2012/09/30,236865874.433,3326371.8,240192246.233
2012/10/31,237395914.387,3330023.93548,240725938.323
2012/11/30,238368015.133,3333072.3,241701087.433
2012/12/31,239297488.419,3335478.29032,242632966.71
2013/01/31,239783830.194,3337515.35484,243121345.548
2013/02/28,240827234.769,3338705.0,243909116.308
