date,Other,bot,total
2003/07/31,4065.0,,4065.0
2003/08/31,4065.0,,4065.0
2003/09/30,4065.0,,4065.0
2003/10/31,4065.0,,4065.0
2003/11/30,4065.0,,4065.0
2003/12/31,4074.03225806,,4074.03225806
2004/01/31,4079.96774194,,4079.96774194
2004/02/29,3531.86206897,,3531.86206897
2004/03/31,603.322580645,,603.322580645
2004/04/30,667.0,,667.0
2004/05/31,667.612903226,,667.612903226
2004/06/30,7366.1,,7366.1
2004/07/31,14350.0,,14350.0
2004/08/31,14314.9032258,,14314.9032258
2004/09/30,14461.5,,14461.5
2004/10/31,17324.1612903,,17324.1612903
2004/11/30,48826.0333333,,48826.0333333
2004/12/31,51841.9032258,,51841.9032258
2005/01/31,50526.2580645,,50526.2580645
2005/02/28,51754.0,,51754.0
2005/03/31,51754.0,,51754.0
2005/04/30,51756.1333333,,51756.1333333
2005/05/31,51758.0,,51758.0
2005/06/30,51758.0,,51758.0
2005/07/31,51758.0,,51758.0
2005/08/31,51758.0,,51758.0
2005/09/30,51758.0,,51758.0
2005/10/31,53738.7096774,,53738.7096774
2005/11/30,54087.0,,54087.0
2005/12/31,53296.1612903,,53296.1612903
2006/01/31,52630.0645161,,52630.0645161
2006/02/28,52692.0,,52692.0
2006/03/31,52692.0,,52692.0
2006/04/30,52692.0,,52692.0
2006/05/31,52692.0,,52692.0
2006/06/30,52692.0,,52692.0
2006/07/31,52405.7419355,,52405.7419355
2006/08/31,53107.0645161,,53107.0645161
2006/09/30,53211.0,,53211.0
2006/10/31,53057.7096774,,53057.7096774
2006/11/30,52652.6,,52652.6
2006/12/31,53068.7419355,,53068.7419355
2007/01/31,53214.9354839,,53214.9354839
2007/02/28,53393.4642857,,53393.4642857
2007/03/31,53525.1612903,,53525.1612903
2007/04/30,53551.8,2666.66666667,54085.1333333
2007/05/31,53583.9032258,3194.0,56777.9032258
2007/06/30,53772.1,3194.0,56966.1
2007/07/31,53844.2903226,3194.0,57038.2903226
2007/08/31,53888.0,3230.48387097,57118.483871
2007/09/30,53889.4666667,3397.23333333,57286.7
2007/10/31,53934.4193548,3551.48387097,57485.9032258
2007/11/30,54028.0,3734.3,57762.3
2007/12/31,54545.0,3847.41935484,58392.4193548
2008/01/31,54545.0,3883.25806452,58428.2580645
2008/02/29,54555.9655172,6241.17241379,60797.137931
2008/03/31,55061.8064516,6507.35483871,61569.1612903
2008/04/30,55500.1333333,6517.2,62017.3333333
2008/05/31,55568.9032258,6537.58064516,62106.483871
2008/06/30,55762.3333333,6552.0,62314.3333333
2008/07/31,55860.3225806,6552.0,62412.3225806
2008/08/31,55995.2258065,6552.83870968,62548.0645161
2008/09/30,56064.9,7742.76666667,63807.6666667
2008/10/31,56076.0,10146.3548387,66222.3548387
2008/11/30,56158.6333333,10208.3333333,66366.9666667
2008/12/31,56299.6451613,10210.0,66509.6451613
2009/01/31,56531.7419355,10210.0,66741.7419355
2009/02/28,56880.0714286,10210.0,67090.0714286
2009/03/31,57073.2903226,10210.0,67283.2903226
2009/04/30,60727.3333333,10210.0,70937.3333333
2009/05/31,71533.516129,10267.9354839,81801.4516129
2009/06/30,71785.7666667,10383.6,82169.3666667
2009/07/31,71852.2903226,10418.1935484,82270.483871
2009/08/31,71937.5806452,10528.2258065,82465.8064516
2009/09/30,72770.0666667,10642.4,83412.4666667
2009/10/31,75355.0322581,10737.0322581,86092.0645161
2009/11/30,75555.6333333,10801.5333333,86357.1666667
2009/12/31,75708.7741935,10868.3870968,86577.1612903
2010/01/31,75826.0967742,10849.1935484,86675.2903226
2010/02/28,75847.0714286,10848.75,86695.8214286
2010/03/31,76049.0645161,10876.7419355,86925.8064516
2010/04/30,76233.5,10884.7333333,87118.2333333
2010/05/31,76488.6774194,10897.2258065,87385.9032258
2010/06/30,76711.7333333,10919.1666667,87630.9
2010/07/31,76802.5483871,10929.0,87731.5483871
2010/08/31,77004.6774194,10947.4516129,87952.1290323
2010/09/30,77160.2666667,10978.0,88138.2666667
2010/10/31,77351.6774194,10978.0,88329.6774194
2010/11/30,77665.3333333,10978.0,88643.3333333
2010/12/31,77873.0322581,10968.3225806,88841.3548387
2011/01/31,78084.6774194,10953.0,89037.6774194
2011/02/28,78395.3214286,10953.0,89348.3214286
2011/03/31,78555.5806452,10953.0,89508.5806452
2011/04/30,78757.9,10953.0,89710.9
2011/05/31,73085.2258065,10953.0,84038.2258065
2011/06/30,73164.0,10953.0,84117.0
2011/07/31,76563.6129032,10953.0,87516.6129032
2011/08/31,82475.7096774,10953.0,93428.7096774
2011/09/30,82589.5666667,10953.0,93542.5666667
2011/10/31,90708.3870968,10954.6129032,101663.0
2011/11/30,195802.433333,11025.5,206827.933333
2011/12/31,229237.193548,11029.0,240266.193548
2012/01/31,233442.419355,11029.0,244471.419355
2012/02/29,235962.37931,11029.0,246991.37931
2012/03/31,239584.354839,11028.7931034,249901.612903
2012/04/30,240897.7,,240897.7
2012/05/31,242359.967742,,242359.967742
2012/06/30,244122.533333,,244122.533333
2012/07/31,245542.451613,,245542.451613
2012/08/31,246429.83871,,246429.83871
2012/09/30,270026.3,,270026.3
2012/10/31,266116.903226,,266116.903226
2012/11/30,267571.033333,,267571.033333
2012/12/31,269385.419355,,269385.419355
2013/01/31,270033.741935,,270033.741935
2013/02/28,271393.769231,,271393.769231
