date,Other,bot,total
2002/12/31,7686.0,,7686.0
2003/01/31,8742.4516129,,8742.4516129
2003/02/28,13605.75,,13605.75
2003/03/31,13930.0,,13930.0
2003/04/30,13906.6666667,,13906.6666667
2003/05/31,30784.6129032,,30784.6129032
2003/06/30,77960.8666667,,77960.8666667
2003/07/31,81427.5483871,,81427.5483871
2003/08/31,81434.0,,81434.0
2003/09/30,81783.9666667,,81783.9666667
2003/10/31,83228.3225806,,83228.3225806
2003/11/30,84273.0333333,,84273.0333333
2003/12/31,84717.6129032,,84717.6129032
2004/01/31,85228.1612903,,85228.1612903
2004/02/29,86021.2413793,,86021.2413793
2004/03/31,87395.516129,,87395.516129
2004/04/30,103218.8,,103218.8
2004/05/31,159806.870968,,159806.870968
2004/06/30,162635.366667,,162635.366667
2004/07/31,163136.193548,,163136.193548
2004/08/31,167812.483871,,167812.483871
2004/09/30,177792.333333,,177792.333333
2004/10/31,205433.612903,,205433.612903
2004/11/30,227194.766667,,227194.766667
2004/12/31,265201.83871,,265201.83871
2005/01/31,272754.612903,,272754.612903
2005/02/28,283198.428571,,283198.428571
2005/03/31,295955.580645,,295955.580645
2005/04/30,311471.133333,,311471.133333
2005/05/31,318848.483871,,318848.483871
2005/06/30,326190.0,,326190.0
2005/07/31,362944.419355,,362944.419355
2005/08/31,416648.806452,,416648.806452
2005/09/30,512618.833333,,512618.833333
2005/10/31,692921.387097,,692921.387097
2005/11/30,773715.333333,,773715.333333
2005/12/31,930530.935484,,930530.935484
2006/01/31,1260784.80645,,1260784.80645
2006/02/28,1794809.78571,,1794809.78571
2006/03/31,1998379.54839,,1998379.54839
2006/04/30,2269739.33333,,2269739.33333
2006/05/31,2642278.93548,,2642278.93548
2006/06/30,2822002.83333,249.0,2822027.73333
2006/07/31,3167033.48387,5296.22580645,3172329.70968
2006/08/31,3754829.83871,8131.87096774,3762961.70968
2006/09/30,4740250.63333,15302.8666667,4755553.5
2006/10/31,6201758.19355,53844.2903226,6255602.48387
2006/11/30,7873906.06667,109401.7,7983307.76667
2006/12/31,9510134.96774,132911.548387,9643046.51613
2007/01/31,10842327.5161,198077.612903,11040405.129
2007/02/28,11834808.1429,321075.535714,12155883.6786
2007/03/31,13744727.4516,360369.967742,14105097.4194
2007/04/30,15613937.0333,392264.966667,16006202.0
2007/05/31,17031970.5161,473893.645161,17505864.1613
2007/06/30,18745214.7667,539328.2,19284542.9667
2007/07/31,20738314.5806,591946.580645,21330261.1613
2007/08/31,22823526.8065,728733.967742,23552260.7742
2007/09/30,24823480.6,1011545.8,25835026.4
2007/10/31,26742428.4194,1420001.35484,28162429.7742
2007/11/30,28454996.1,1595795.06667,30050791.1667
2007/12/31,30119308.871,1696724.58065,31816033.4516
2008/01/31,31982342.7097,1815676.06452,33798018.7742
2008/02/29,33631280.1724,1965155.2069,35596435.3793
2008/03/31,35012888.9355,2038721.3871,37051610.3226
2008/04/30,36663512.7667,2208738.03333,38872250.8
2008/05/31,38572852.871,2376000.22581,40948853.0968
2008/06/30,40567378.8333,2578838.33333,43146217.1667
2008/07/31,43907643.7742,2800875.6129,46708519.3871
2008/08/31,46778227.2903,3110807.93548,49889035.2258
2008/09/30,49471893.5,3320890.73333,52792784.2333
2008/10/31,52666483.7742,3495867.0,56162350.7742
2008/11/30,55037802.1333,3663830.8,58701632.9333
2008/12/31,56946286.0645,3775383.41935,60721669.4839
2009/01/31,59827634.871,3933424.70968,63761059.5806
2009/02/28,61699522.8929,4064365.28571,65763888.1786
2009/03/31,63517527.8065,4220391.74194,67737919.5484
2009/04/30,65498804.9667,4377654.96667,69876459.9333
2009/05/31,68087487.7097,4577698.35484,72665186.0645
2009/06/30,70953929.9,4963579.83333,75917509.7333
2009/07/31,73189190.3871,5120503.80645,78309694.1935
2009/08/31,76070065.129,5313442.77419,81383507.9032
2009/09/30,78965336.7,5561632.66667,84526969.3667
2009/10/31,82014524.2903,5747496.06452,87762020.3548
2009/11/30,84305824.2333,5893141.66667,90198965.9
2009/12/31,86681955.0323,6063821.48387,92745776.5161
2010/01/31,88983005.2903,6213540.19355,95196545.4839
2010/02/28,91326388.5357,6401445.32143,97727833.8571
