date,Other,bot,total
2003/05/31,12089.0,,12089.0
2003/06/30,12089.0,,12089.0
2003/07/31,12089.0,,12089.0
2003/08/31,12089.0,,12089.0
2003/09/30,12089.0,,12089.0
2003/10/31,13913.0,,13913.0
2003/11/30,16801.0,,16801.0
2003/12/31,16801.0,,16801.0
2004/01/31,21540.8387097,,21540.8387097
2004/02/29,21287.2413793,,21287.2413793
2004/03/31,20601.1935484,,20601.1935484
2004/04/30,21223.0,,21223.0
2004/05/31,21230.0967742,,21230.0967742
2004/06/30,25302.6333333,,25302.6333333
2004/07/31,40763.1935484,,40763.1935484
2004/08/31,40482.8709677,,40482.8709677
2004/09/30,50480.0666667,,50480.0666667
2004/10/31,96420.0,,96420.0
2004/11/30,132769.0,,132769.0
2004/12/31,143366.548387,,143366.548387
2005/01/31,177041.354839,,177041.354839
2005/02/28,205684.857143,,205684.857143
2005/03/31,271920.032258,,271920.032258
2005/04/30,491701.233333,,491701.233333
2005/05/31,687928.064516,,687928.064516
2005/06/30,857255.0,,857255.0
2005/07/31,1047744.67742,2279.3,1049215.19355
2005/08/31,1101314.54839,2721.58064516,1104036.12903
2005/09/30,1122861.26667,6985.93333333,1129847.2
2005/10/31,1151883.48387,9075.67741935,1160959.16129
2005/11/30,1258746.46667,9157.16666667,1267903.63333
2005/12/31,1489302.35484,9428.0,1498730.35484
2006/01/31,1863944.0,9428.0,1873372.0
2006/02/28,2672741.64286,9428.0,2682169.64286
2006/03/31,3453960.93548,9428.0,3463388.93548
2006/04/30,3786862.83333,9428.0,3796290.83333
2006/05/31,4451426.29032,9428.0,4460854.29032
2006/06/30,4930947.63333,9470.86666667,4940418.5
2006/07/31,5816766.58065,12196.6451613,5828963.22581
2006/08/31,6610673.06452,17347.4193548,6628020.48387
2006/09/30,7249795.76667,71465.8666667,7321261.63333
2006/10/31,7845258.90323,93689.1612903,7938948.06452
2006/11/30,8421150.93333,107146.5,8528297.43333
2006/12/31,9092071.25806,124942.709677,9217013.96774
2007/01/31,9900694.0,249460.16129,10150154.1613
2007/02/28,10494888.25,1435656.25,11930544.5
2007/03/31,10984932.5484,1519568.41935,12504500.9677
2007/04/30,11824285.4333,1836617.63333,13660903.0667
2007/05/31,12826756.3226,2046755.12903,14873511.4516
2007/06/30,13373621.8667,2308542.5,15682164.3667
2007/07/31,13844027.0968,2401515.64516,16245542.7419
2007/08/31,14488336.0645,2621822.87097,17110158.9355
2007/09/30,15411880.4667,3054968.06667,18466848.5333
2007/10/31,17301874.4839,3559482.12903,20861356.6129
2007/11/30,18714247.6333,4760410.46667,23474658.1
2007/12/31,20381717.6129,5008074.93548,25389792.5484
2008/01/31,21895194.0968,5110038.87097,27005232.9677
2008/02/29,22848347.4483,5338143.24138,28186490.6897
2008/03/31,23935605.7419,5491146.29032,29426752.0323
2008/04/30,24846968.7667,5604816.26667,30451785.0333
2008/05/31,25879618.4194,6034383.48387,31914001.9032
2008/06/30,27381940.6667,6599799.9,33981740.5667
2008/07/31,28385033.9677,6899097.35484,35284131.3226
2008/08/31,32121984.2581,8007448.25806,40129432.5161
2008/09/30,33502441.7,8398865.86667,41901307.5667
2008/10/31,34347118.0323,8617246.45161,42964364.4839
2008/11/30,35383787.3667,8863330.4,44247117.7667
2008/12/31,36037955.5806,9058288.70968,45096244.2903
2009/01/31,37359226.2258,9262862.67742,46622088.9032
2009/02/28,38905387.7857,9429360.42857,48334748.2143
2009/03/31,39842360.9355,9615442.77419,49457803.7097
2009/04/30,40800503.6667,9766773.93333,50567277.6
2009/05/31,41848198.4194,9930172.90323,51778371.3226
2009/06/30,43062303.9667,10085486.2333,53147790.2
2009/07/31,44244453.3871,10341113.5484,54585566.9355
2009/08/31,46073247.5161,10689855.6452,56763103.1613
2009/09/30,48099007.0,10962185.0333,59061192.0333
2009/10/31,50552052.6129,11232962.9032,61785015.5161
2009/11/30,52397279.6333,11581712.6333,63978992.2667
