date,Other,bot,total
2002/06/30,582.0,,582.0
2002/07/31,582.0,,582.0
2002/08/31,582.0,,582.0
2002/09/30,582.0,,582.0
2002/10/31,582.0,,582.0
2002/11/30,582.0,,582.0
2002/12/31,582.0,,582.0
2003/01/31,582.0,,582.0
2003/02/28,582.0,,582.0
2003/03/31,582.0,,582.0
2003/04/30,582.0,,582.0
2003/05/31,582.0,,582.0
2003/06/30,582.0,,582.0
2003/07/31,582.0,,582.0
2003/08/31,582.0,,582.0
2003/09/30,582.0,,582.0
2003/10/31,582.0,,582.0
2003/11/30,582.0,,582.0
2003/12/31,1447.29032258,,1447.29032258
2004/01/31,5327.41935484,,5327.41935484
2004/02/29,5278.4137931,,5278.4137931
2004/03/31,5155.48387097,,5155.48387097
2004/04/30,5032.0,,5032.0
2004/05/31,5032.0,,5032.0
2004/06/30,6967.8,,6967.8
2004/07/31,14711.0,,14711.0
2004/08/31,14711.0,,14711.0
2004/09/30,15212.5,,15212.5
2004/10/31,24902.1612903,,24902.1612903
2004/11/30,42767.7666667,,42767.7666667
2004/12/31,81906.9354839,,81906.9354839
2005/01/31,87308.6774194,,87308.6774194
2005/02/28,87555.0714286,,87555.0714286
2005/03/31,91698.2258065,,91698.2258065
2005/04/30,140572.133333,,140572.133333
2005/05/31,211508.580645,,211508.580645
2005/06/30,251135.4,,251135.4
2005/07/31,254825.419355,,254825.419355
2005/08/31,265726.322581,,265726.322581
2005/09/30,319170.166667,,319170.166667
2005/10/31,326922.225806,,326922.225806
2005/11/30,341140.7,,341140.7
2005/12/31,366870.612903,,366870.612903
2006/01/31,415775.451613,,415775.451613
2006/02/28,414903.607143,,414903.607143
2006/03/31,416091.83871,,416091.83871
2006/04/30,450088.733333,,450088.733333
2006/05/31,520550.709677,,520550.709677
2006/06/30,527599.8,,527599.8
2006/07/31,595161.83871,,595161.83871
2006/08/31,618710.548387,,618710.548387
2006/09/30,879820.333333,,879820.333333
2006/10/31,1290211.64516,,1290211.64516
2006/11/30,1306998.33333,,1306998.33333
2006/12/31,1336186.12903,,1336186.12903
2007/01/31,1454610.67742,,1454610.67742
2007/02/28,1608556.60714,,1608556.60714
2007/03/31,1798710.54839,,1798710.54839
2007/04/30,1908284.93333,761720.0,1984456.93333
2007/05/31,2015296.87097,810183.580645,2825480.45161
2007/06/30,2555385.03333,877287.0,3432672.03333
2007/07/31,2919234.45161,877287.0,3796521.45161
2007/08/31,3148280.3871,877611.677419,4025892.06452
2007/09/30,3401892.43333,922443.2,4324335.63333
2007/10/31,3584482.54839,1334690.83871,4919173.3871
2007/11/30,4058134.96667,1359876.43333,5418011.4
2007/12/31,4655027.87097,1385505.54839,6040533.41935
2008/01/31,5015173.80645,1409464.96774,6424638.77419
2008/02/29,5195815.58621,1438458.27586,6634273.86207
2008/03/31,5239148.25806,1474295.83871,6713444.09677
2008/04/30,5316321.4,1479560.3,6795881.7
2008/05/31,5377748.16129,1482260.74194,6860008.90323
2008/06/30,5501450.03333,1484931.23333,6986381.26667
2008/07/31,5630823.35484,1486808.41935,7117631.77419
2008/08/31,5693392.12903,1487291.6129,7180683.74194
2008/09/30,5765761.3,1488704.5,7254465.8
2008/10/31,5962631.19355,1493212.12903,7455843.32258
2008/11/30,6004852.66667,1494844.16667,7499696.83333
2008/12/31,6056529.03226,1495590.06452,7552119.09677
2009/01/31,6172988.0,1495959.83871,7668947.83871
2009/02/28,6223565.75,1496357.10714,7719922.85714
2009/03/31,6279785.29032,1496625.19355,7776410.48387
2009/04/30,6446609.53333,1497519.76667,7944129.3
2009/05/31,6699056.32258,1498070.12903,8197126.45161
2009/06/30,6752366.13333,1498560.5,8250926.63333
2009/07/31,6857941.09677,1498714.12903,8356655.22581
2009/08/31,6963272.25806,1499068.6129,8462340.87097
2009/09/30,7348447.16667,1499328.03333,8847775.2
2009/10/31,7488086.45161,1499415.77419,8987502.22581
2009/11/30,7655926.13333,1499608.66667,9155534.8
2009/12/31,8003936.19355,1499887.32258,9503823.51613
2010/01/31,8277295.29032,1500206.0,9777501.29032
2010/02/28,8953166.42857,1500408.60714,10453575.0357
2010/03/31,9510796.48387,1500721.51613,11011518.0
2010/04/30,10275329.4667,1501378.96667,11776708.4333
2010/05/31,11182020.9677,1731579.29032,12913600.2581
2010/06/30,12166945.5,2247122.93333,14414068.4333
2010/07/31,13680190.5806,2251815.45161,15932006.0323
2010/08/31,15246034.6129,2255035.80645,17501070.4194
2010/09/30,16277939.7667,2257729.56667,18535669.3333
2010/10/31,18276050.8065,2259575.80645,20535626.6129
2010/11/30,21993952.3,2264048.03333,24258000.3333
2010/12/31,23770966.2581,2273122.0,26044088.2581
2011/01/31,25571125.6452,2296427.06452,27867552.7097
2011/02/28,27229597.1786,2318144.21429,29547741.3929
2011/03/31,29344923.9677,2348297.45161,31693221.4194
2011/04/30,31156359.7667,2381784.86667,33538144.6333
2011/05/31,33383439.129,2422096.45161,35805535.5806
2011/06/30,36635717.6,2741728.43333,39377446.0333
2011/07/31,38935771.0645,3310538.87097,42246309.9355
2011/08/31,41764060.0968,3290816.32258,45054876.4194
2011/09/30,43448363.2333,3374488.53333,46822851.7667
2011/10/31,45380140.8387,3398194.93548,48778335.7742
2011/11/30,47386218.9,3422860.53333,50809079.4333
2011/12/31,50116932.5161,3607843.90323,53724776.4194
2012/01/31,52318992.0323,4608087.12903,56927079.1613
2012/02/29,53277610.4828,4655657.10345,57933267.5862
2012/03/31,54924188.0323,4702675.74194,59626863.7742
2012/04/30,57253708.6667,4732834.4,61986543.0667
2012/05/31,60084416.871,4751549.90323,64835966.7742
