date,Other,bot,total
2006/06/30,42691.6666667,,42691.6666667
2006/07/31,159720.935484,,159720.935484
2006/08/31,350779.741935,,350779.741935
2006/09/30,346182.6,,346182.6
2006/10/31,553439.967742,,553439.967742
2006/11/30,891770.733333,,891770.733333
2006/12/31,1235546.54839,1203.0,1235624.16129
2007/01/31,2204478.93548,41494.7096774,2245973.64516
2007/02/28,3022738.10714,4504106.85714,7526844.96429
2007/03/31,4154030.45161,12223569.8387,16377600.2903
2007/04/30,4941129.56667,15942568.1667,20883697.7333
2007/05/31,4998939.03226,20043063.7742,25042002.8065
2007/06/30,5296796.66667,30803557.8333,36100354.5
2007/07/31,5575851.83871,40414202.0645,45990053.9032
2007/08/31,5800434.16129,44190020.2581,49990454.4194
2007/09/30,6356612.96667,47339497.8667,53696110.8333
2007/10/31,6719508.16129,50025019.0968,56744527.2581
2007/11/30,7028910.73333,53648535.9333,60677446.6667
2007/12/31,7372914.90323,57316426.2581,64689341.1613
2008/01/31,7772768.70968,60327757.129,68100525.8387
2008/02/29,7892934.24138,61527015.3103,69419949.5517
2008/03/31,7909507.74194,62646357.4194,70555865.1613
2008/04/30,7899514.06667,63461753.0,71361267.0667
2008/05/31,7921322.29032,63931278.0645,71852600.3548
2008/06/30,7977610.9,64690466.3667,72668077.2667
2008/07/31,7995945.09677,64771639.0645,72767584.1613
2008/08/31,8032965.58065,64787839.5806,72820805.1613
2008/09/30,8636884.23333,67048065.2333,75684949.4667
2008/10/31,9062925.16129,67635212.9355,76698138.0968
2008/11/30,9533927.56667,68702799.8667,78236727.4333
2008/12/31,9643439.6129,69906654.5806,79550094.1935
2009/01/31,9727067.87097,70253405.8387,79980473.7097
2009/02/28,9980461.21429,71638848.2143,81619309.4286
2009/03/31,10281230.7419,73222230.2581,83503461.0
2009/04/30,10623858.0667,76946434.8667,87570292.9333
2009/05/31,10791556.4516,79731005.9032,90522562.3548
2009/06/30,11140042.7,83343604.4333,94483647.1333
2009/07/31,11352951.7742,86514283.2903,97867235.0645
2009/08/31,11645000.4516,87247803.3871,98892803.8387
2009/09/30,11696504.9,87474081.1333,99170586.0333
2009/10/31,11932310.0968,92140251.6774,104072561.774
2009/11/30,12151834.1333,96805943.5,108957777.633
2009/12/31,12254469.0,105826764.935,118081233.935
2010/01/31,12482397.5806,128896156.323,141378553.903
2010/02/28,12672396.9643,138644757.929,151317154.893
2010/03/31,12753335.9355,141358099.968,154111435.903
2010/04/30,12855565.4667,149950940.167,162806505.633
2010/05/31,13080779.1935,162712827.129,175793606.323
2010/06/30,13137393.8,178157103.3,191294497.1
2010/07/31,13184326.5806,178168799.226,191353125.806
2010/08/31,13221963.6129,178200880.774,191422844.387
2010/09/30,13276125.1,178242679.267,191518804.367
2010/10/31,13304013.7097,178251835.194,191555848.903
2010/11/30,13329292.9,178256904.9,191586197.8
2010/12/31,13385582.6774,178261139.645,191646722.323
2011/01/31,13411310.7742,178272745.452,191684056.226
2011/02/28,13442687.5,178296948.893,191739636.393
2011/03/31,13461454.871,178330647.452,191792102.323
2011/04/30,13479886.2333,178317952.833,191797839.067
2011/05/31,13887160.0968,178333124.323,192220284.419
2011/06/30,14301942.0667,178352010.3,192653952.367
2011/07/31,14341500.7419,178369672.032,192711172.774
2011/08/31,14543544.7742,178389606.613,192933151.387
2011/09/30,14392769.4667,178396142.267,192788911.733
2011/10/31,14480410.5806,178427340.032,192907750.613
2011/11/30,14595344.8,178448907.6,193044252.4
2011/12/31,14624678.5806,178463718.774,193088397.355
2012/01/31,14768018.5806,178480357.677,193248376.258
2012/02/29,14854292.8621,178494926.276,193349219.138
2012/03/31,14837332.7097,178534446.355,193371779.065
2012/04/30,14852046.6333,178679054.967,193531101.6
2012/05/31,14855807.2903,178684449.645,193540256.935
2012/06/30,14882226.8333,178689352.9,193571579.733
2012/07/31,14904777.3548,178696423.129,193601200.484
2012/08/31,14900698.9677,178707848.516,193608547.484
2012/09/30,14979507.4667,178712682.367,193692189.833
2012/10/31,15041628.4839,178729336.581,193770965.065
2012/11/30,14956580.2667,178749540.9,193706121.167
2012/12/31,14991640.7419,178806964.161,193798604.903
2013/01/31,15286875.0968,178855748.548,194142623.645
2013/02/28,16123762.8462,178883777.538,195007540.385
