date,Other,bot,total
2005/05/31,62.0,,62.0
2005/06/30,55.4,,55.4
2005/07/31,28.0,,28.0
2005/08/31,33.8064516129,,33.8064516129
2005/09/30,412.666666667,,412.666666667
2005/10/31,2111.0,,2111.0
2005/11/30,2111.0,,2111.0
2005/12/31,2097.41935484,,2097.41935484
2006/01/31,2083.19354839,,2083.19354839
2006/02/28,9131.53571429,,9131.53571429
2006/03/31,12363.5483871,,12363.5483871
2006/04/30,12362.0,,12362.0
2006/05/31,12371.0322581,,12371.0322581
2006/06/30,12381.7333333,,12381.7333333
2006/07/31,12502.8709677,,12502.8709677
2006/08/31,12545.0,,12545.0
2006/09/30,14360.0,,14360.0
2006/10/31,13158.4193548,,13158.4193548
2006/11/30,10572.9666667,,10572.9666667
2006/12/31,13017.7419355,,13017.7419355
2007/01/31,18919.7419355,,18919.7419355
2007/02/28,22388.2857143,,22388.2857143
2007/03/31,27062.0645161,,27062.0645161
2007/04/30,31017.7333333,,31017.7333333
2007/05/31,31491.7419355,,31491.7419355
2007/06/30,31055.7666667,,31055.7666667
2007/07/31,31885.6451613,,31885.6451613
2007/08/31,177519.903226,,177519.903226
2007/09/30,481716.133333,127154.966667,608871.1
2007/10/31,497394.225806,376045.612903,873439.83871
2007/11/30,507907.5,432976.733333,940884.233333
2007/12/31,516926.16129,434721.258065,951647.419355
2008/01/31,528290.612903,435915.483871,964206.096774
2008/02/29,536829.689655,435909.482759,972739.172414
2008/03/31,544487.0,436036.225806,980523.225806
2008/04/30,546300.833333,436207.7,982508.533333
2008/05/31,556290.096774,436831.677419,993121.774194
2008/06/30,561711.4,437525.733333,999237.133333
2008/07/31,571343.903226,437722.032258,1009065.93548
2008/08/31,565374.935484,437748.0,1003122.93548
2008/09/30,565832.1,437748.0,1003580.1
2008/10/31,580779.419355,437748.0,1018527.41935
2008/11/30,599402.166667,437748.0,1037150.16667
2008/12/31,609177.774194,437748.0,1046925.77419
2009/01/31,621585.612903,438608.483871,1060194.09677
2009/02/28,627642.571429,438817.821429,1066460.39286
2009/03/31,639180.83871,438822.967742,1078003.80645
2009/04/30,645463.8,438854.0,1084317.8
2009/05/31,702537.741935,439236.967742,1141774.70968
2009/06/30,734429.166667,439328.0,1173757.16667
2009/07/31,744304.774194,439363.225806,1183668.0
2009/08/31,764879.967742,439380.0,1204259.96774
2009/09/30,774252.7,439380.0,1213632.7
2009/10/31,778912.129032,439380.0,1218292.12903
2009/11/30,780175.533333,439380.0,1219555.53333
2009/12/31,781501.16129,439380.0,1220881.16129
2010/01/31,784490.258065,439380.0,1223870.25806
2010/02/28,798467.464286,439380.0,1237847.46429
2010/03/31,871246.903226,439380.0,1310626.90323
2010/04/30,879399.733333,439380.0,1318779.73333
2010/05/31,887731.064516,439380.0,1327111.06452
2010/06/30,923291.2,439380.0,1362671.2
2010/07/31,936989.645161,439380.0,1376369.64516
2010/08/31,971614.483871,439380.0,1410994.48387
2010/09/30,984728.0,439380.0,1424108.0
2010/10/31,1014924.22581,439380.0,1454304.22581
2010/11/30,1053006.16667,439380.0,1492386.16667
2010/12/31,1057918.32258,439380.0,1497298.32258
2011/01/31,1062977.6129,439380.0,1502357.6129
2011/02/28,1096041.78571,439380.0,1535421.78571
2011/03/31,1144859.54839,439380.0,1584239.54839
2011/04/30,1280678.43333,439380.0,1720058.43333
2011/05/31,1699867.64516,439380.0,2139247.64516
2011/06/30,2584593.23333,439380.0,3023973.23333
2011/07/31,3197762.22581,448945.354839,3646707.58065
2011/08/31,3851008.03226,454345.322581,4305353.35484
2011/09/30,4522613.93333,456767.733333,4979381.66667
2011/10/31,4979205.45161,460752.774194,5439958.22581
2011/11/30,5457099.46667,461224.066667,5918323.53333
2011/12/31,5823344.32258,460493.387097,6283837.70968
2012/01/31,6455069.80645,461903.387097,6916973.19355
2012/02/29,7648389.44828,462295.931034,8110685.37931
2012/03/31,8090257.6129,462617.580645,8552875.19355
2012/04/30,8597086.06667,462973.866667,9060059.93333
2012/05/31,9432303.25806,463143.83871,9895447.09677
2012/06/30,10253442.8333,463187.966667,10716630.8
2012/07/31,10974356.9355,462848.709677,11437205.6452
2012/08/31,11837430.8387,467142.580645,12304573.4194
2012/09/30,12779472.9333,469371.0,13248843.9333
2012/10/31,13652212.5484,470876.806452,14123089.3548
2012/11/30,14295690.2,479265.6,14774955.8
2012/12/31,15289990.3548,479262.0,15769252.3548
2013/01/31,16529819.0968,479789.612903,17009608.7097
2013/02/28,17177338.0769,486853.363636,17589290.9231
