date,Other,bot,total
2002/06/30,581.0,,581.0
2002/07/31,581.0,,581.0
2002/08/31,581.0,,581.0
2002/09/30,581.0,,581.0
2002/10/31,581.0,,581.0
2002/11/30,581.0,,581.0
2002/12/31,581.0,,581.0
2003/01/31,581.0,,581.0
2003/02/28,581.0,,581.0
2003/03/31,581.0,,581.0
2003/04/30,581.0,,581.0
2003/05/31,581.0,,581.0
2003/06/30,581.0,,581.0
2003/07/31,581.0,,581.0
2003/08/31,581.0,,581.0
2003/09/30,581.0,,581.0
2003/10/31,581.0,,581.0
2003/11/30,581.0,,581.0
2003/12/31,581.0,,581.0
2004/01/31,6290.19354839,,6290.19354839
2004/02/29,10992.0,,10992.0
2004/03/31,11521.516129,,11521.516129
2004/04/30,11659.2333333,,11659.2333333
2004/05/31,11660.8709677,,11660.8709677
2004/06/30,8984.7,,8984.7
2004/07/31,16048.0,,16048.0
2004/08/31,16070.0645161,,16070.0645161
2004/09/30,15383.2,,15383.2
2004/10/31,14712.0,,14712.0
2004/11/30,14849.4,,14849.4
2004/12/31,14941.0,,14941.0
2005/01/31,14495.0967742,,14495.0967742
2005/02/28,8483.03571429,,8483.03571429
2005/03/31,3675.93548387,,3675.93548387
2005/04/30,3767.0,,3767.0
2005/05/31,18121.4193548,,18121.4193548
2005/06/30,34209.4,,34209.4
2005/07/31,91298.8709677,,91298.8709677
2005/08/31,91519.8387097,,91519.8387097
2005/09/30,101615.466667,,101615.466667
2005/10/31,287146.354839,,287146.354839
2005/11/30,297245.333333,,297245.333333
2005/12/31,319518.387097,,319518.387097
2006/01/31,333414.741935,,333414.741935
2006/02/28,334778.25,,334778.25
2006/03/31,336660.096774,,336660.096774
2006/04/30,336921.666667,,336921.666667
2006/05/31,340747.451613,,340747.451613
2006/06/30,355126.8,,355126.8
2006/07/31,357282.870968,,357282.870968
2006/08/31,357957.548387,,357957.548387
2006/09/30,358473.9,,358473.9
2006/10/31,358701.16129,,358701.16129
2006/11/30,358857.333333,,358857.333333
2006/12/31,362348.709677,,362348.709677
2007/01/31,388902.580645,,388902.580645
