date,Other,bot,total
2004/08/31,1915.0,,1915.0
2004/09/30,1915.0,,1915.0
2004/10/31,1915.0,,1915.0
2004/11/30,1915.0,,1915.0
2004/12/31,1915.0,,1915.0
2005/01/31,3473.58064516,,3473.58064516
2005/02/28,4948.75,,4948.75
2005/03/31,6076.0,,6076.0
2005/04/30,6076.0,,6076.0
2005/05/31,6121.38709677,,6121.38709677
2005/06/30,6134.5,,6134.5
2005/07/31,6144.0,,6144.0
2005/08/31,6144.0,,6144.0
2005/09/30,6144.0,,6144.0
2005/10/31,6144.0,,6144.0
2005/11/30,6144.0,,6144.0
2005/12/31,6144.0,,6144.0
2006/01/31,6151.48387097,,6151.48387097
2006/02/28,6438.78571429,,6438.78571429
2006/03/31,6258.03225806,,6258.03225806
2006/04/30,6517.0,,6517.0
2006/05/31,7276.03225806,,7276.03225806
2006/06/30,7591.63333333,,7591.63333333
2006/07/31,7460.4516129,,7460.4516129
2006/08/31,114817.096774,,114817.096774
2006/09/30,169036.2,,169036.2
2006/10/31,169153.677419,,169153.677419
2006/11/30,169450.266667,,169450.266667
2006/12/31,177226.225806,,177226.225806
2007/01/31,186887.612903,-605.0,186770.516129
2007/02/28,187559.392857,-544.107142857,187015.285714
2007/03/31,188192.193548,2727.0,190919.193548
2007/04/30,191360.0,3182.13333333,194542.133333
2007/05/31,191349.129032,5549.16129032,196898.290323
2007/06/30,1786170.23333,5721.83333333,1791892.06667
2007/07/31,2166804.96774,5686.0,2172490.96774
2007/08/31,2167632.06452,25276.9354839,2192909.0
2007/09/30,2169252.43333,63449.8,2232702.23333
2007/10/31,2660244.58065,151713.16129,2811957.74194
2007/11/30,3592952.36667,746802.866667,4339755.23333
2007/12/31,3616054.93548,773827.322581,4389882.25806
2008/01/31,3667710.70968,777697.516129,4445408.22581
2008/02/29,3698200.27586,778730.689655,4476930.96552
2008/03/31,3692547.51613,782129.032258,4474676.54839
2008/04/30,3669329.56667,783969.833333,4453299.4
2008/05/31,3682066.6129,784819.032258,4466885.64516
2008/06/30,3687795.4,791005.466667,4478800.86667
2008/07/31,3690701.64516,802778.096774,4493479.74194
2008/08/31,3691816.70968,807899.580645,4499716.29032
2008/09/30,3693430.93333,810591.0,4504021.93333
2008/10/31,3697321.29032,820084.612903,4517405.90323
2008/11/30,3699428.0,833674.5,4533102.5
2008/12/31,3700839.87097,835412.032258,4536251.90323
2009/01/31,3730410.70968,848259.322581,4578670.03226
2009/02/28,3747813.82143,844131.392857,4591945.21429
2009/03/31,3755098.12903,849328.354839,4604426.48387
2009/04/30,3764015.1,857035.533333,4621050.63333
2009/05/31,3785962.83871,872673.0,4658635.83871
2009/06/30,3798242.16667,882054.2,4680296.36667
2009/07/31,3836155.12903,887071.258065,4723226.3871
2009/08/31,3896914.3871,889688.258065,4786602.64516
2009/09/30,3907833.46667,891141.233333,4798974.7
2009/10/31,3914740.19355,892938.451613,4807678.64516
2009/11/30,3918464.76667,894179.966667,4812644.73333
2009/12/31,3921157.25806,896085.774194,4817243.03226
2010/01/31,3927115.6129,900563.870968,4827679.48387
2010/02/28,3938487.64286,918812.357143,4857300.0
2010/03/31,3943847.16129,922972.16129,4866819.32258
2010/04/30,3968408.9,926187.466667,4894596.36667
2010/05/31,4004631.54839,928602.129032,4933233.67742
2010/06/30,4010023.03333,946428.5,4956451.53333
2010/07/31,4012938.3871,961569.419355,4974507.80645
2010/08/31,4024497.64516,967281.129032,4991778.77419
2010/09/30,4045369.3,989255.8,5034625.1
2010/10/31,4053977.09677,1001403.41935,5055380.51613
2010/11/30,4055181.93333,1004150.4,5059332.33333
2010/12/31,4055780.16129,1006239.70968,5062019.87097
2011/01/31,4064647.83871,1014858.19355,5079506.03226
2011/02/28,4071633.46429,1027309.46429,5098942.92857
2011/03/31,4070814.16129,1021328.03226,5092142.19355
2011/04/30,4067217.4,1007278.96667,5074496.36667
2011/05/31,4030988.58065,1009587.06452,5040575.64516
2011/06/30,4013375.8,1029303.26667,5042679.06667
2011/07/31,4025072.35484,1129199.80645,5154272.16129
2011/08/31,4042302.54839,1131229.06452,5173531.6129
2011/09/30,4056537.63333,1132844.23333,5189381.86667
2011/10/31,4093191.90323,1135993.58065,5229185.48387
2011/11/30,4122035.43333,1139921.96667,5261957.4
2011/12/31,4124562.12903,1144127.45161,5268689.58065
2012/01/31,4143627.16129,1146758.83871,5290386.0
2012/02/29,4199443.2069,1148156.31034,5347599.51724
2012/03/31,4233873.16129,1150510.83871,5384384.0
2012/04/30,4240343.33333,1153317.66667,5393661.0
2012/05/31,4240692.64516,1155650.48387,5396343.12903
2012/06/30,4256930.5,1156189.0,5413119.5
2012/07/31,4273596.29032,1156189.0,5429785.29032
2012/08/31,4278524.03226,1156189.0,5434713.03226
2012/09/30,4278104.43333,1156193.8,5434298.23333
2012/10/31,4299633.70968,1156201.0,5455834.70968
2012/11/30,4311577.66667,1156201.0,5467778.66667
2012/12/31,4332876.80645,1156201.0,5489077.80645
2013/01/31,4374384.51613,1157090.66667,4710314.06452
2013/02/28,4415333.38462,,4415333.38462
