date,Other,bot,total
2003/12/31,416.0,,416.0
2004/01/31,5934.96774194,,5934.96774194
2004/02/29,10593.2758621,,10593.2758621
2004/03/31,10819.7419355,,10819.7419355
2004/04/30,11254.5333333,,11254.5333333
2004/05/31,11272.7096774,,11272.7096774
2004/06/30,35288.0,,35288.0
2004/07/31,324182.16129,,324182.16129
2004/08/31,353629.774194,,353629.774194
2004/09/30,364120.366667,,364120.366667
2004/10/31,472074.741935,,472074.741935
2004/11/30,478127.933333,,478127.933333
2004/12/31,482664.16129,,482664.16129
2005/01/31,489234.580645,,489234.580645
2005/02/28,489810.714286,,489810.714286
2005/03/31,494780.580645,,494780.580645
2005/04/30,497388.266667,,497388.266667
2005/05/31,532928.225806,,532928.225806
2005/06/30,549287.566667,,549287.566667
2005/07/31,555045.064516,,555045.064516
2005/08/31,563416.677419,,563416.677419
2005/09/30,571699.266667,7461.9375,575678.966667
2005/10/31,550030.225806,7936.0,557966.225806
2005/11/30,561513.066667,7936.0,569449.066667
2005/12/31,571924.870968,7936.0,579860.870968
2006/01/31,602026.709677,7936.0,609962.709677
2006/02/28,623824.285714,7936.0,631760.285714
2006/03/31,627909.806452,7936.0,635845.806452
2006/04/30,630437.133333,7936.0,638373.133333
2006/05/31,634105.903226,7936.0,642041.903226
2006/06/30,636475.5,7936.0,644411.5
2006/07/31,644241.064516,7936.0,652177.064516
2006/08/31,677928.870968,7936.0,685864.870968
2006/09/30,716094.7,7936.0,724030.7
2006/10/31,721593.741935,7936.0,729529.741935
2006/11/30,741304.666667,7936.0,749240.666667
2006/12/31,907892.903226,7936.0,915828.903226
2007/01/31,1051323.51613,7936.0,1059259.51613
2007/02/28,1210066.64286,7936.0,1218002.64286
2007/03/31,1801843.70968,7936.0,1809779.70968
2007/04/30,2315862.36667,7936.0,2323798.36667
2007/05/31,2842419.25806,7936.0,2850355.25806
2007/06/30,2897154.43333,7936.0,2905090.43333
2007/07/31,2903284.22581,9842.5483871,2913126.77419
2007/08/31,2905774.54839,15910.2258065,2921684.77419
2007/09/30,2912374.63333,32648.4666667,2945023.1
2007/10/31,2912570.80645,48182.516129,2960753.32258
2007/11/30,2915502.13333,68107.1666667,2983609.3
2007/12/31,2921394.96774,78682.6129032,3000077.58065
2008/01/31,2933104.19355,84741.0,3017845.19355
2008/02/29,2945127.96552,1958260.03448,4903388.0
2008/03/31,2952086.51613,2501759.87097,5453846.3871
2008/04/30,2968721.1,2508173.6,5476894.7
2008/05/31,3000457.41935,2516450.09677,5516907.51613
2008/06/30,3021891.66667,2537962.1,5559853.76667
2008/07/31,3026111.90323,2546600.58065,5572712.48387
2008/08/31,3023854.77419,2554218.0,5578072.77419
2008/09/30,3036120.43333,2560744.86667,5596865.3
2008/10/31,3061379.80645,2569954.45161,5631334.25806
2008/11/30,3084957.33333,2574226.23333,5659183.56667
2008/12/31,3091950.16129,2576606.74194,5668556.90323
2009/01/31,3141859.22581,2581669.22581,5723528.45161
2009/02/28,3175995.14286,2583914.71429,5759909.85714
2009/03/31,3211204.19355,2585494.35484,5796698.54839
2009/04/30,3244185.13333,2588106.5,5832291.63333
2009/05/31,3274220.32258,2596780.3871,5871000.70968
2009/06/30,3294999.86667,2610539.83333,5905539.7
2009/07/31,3349614.77419,2620980.93548,5970595.70968
2009/08/31,3418910.64516,2626732.45161,6045643.09677
2009/09/30,3466389.63333,2632626.9,6099016.53333
2009/10/31,3495605.0,2638507.6129,6134112.6129
2009/11/30,3527742.53333,2640026.46667,6167769.0
2009/12/31,3568449.03226,2643173.54839,6211622.58065
2010/01/31,3654250.12903,2645376.22581,6299626.35484
2010/02/28,3737889.35714,2646527.78571,6384417.14286
2010/03/31,3796133.06452,2648444.22581,6444577.29032
2010/04/30,3874448.6,2650731.8,6525180.4
2010/05/31,3940892.12903,2654041.58065,6594933.70968
2010/06/30,3992403.83333,2656217.5,6648621.33333
2010/07/31,4033054.83871,2658314.03226,6691368.87097
2010/08/31,4063821.03226,2660799.70968,6724620.74194
2010/09/30,4123336.73333,2663945.16667,6787281.9
2010/10/31,4200785.0,2665821.6129,6866606.6129
2010/11/30,4322005.76667,2669107.3,6991113.06667
2010/12/31,4352711.48387,2672497.67742,7025209.16129
2011/01/31,4401941.77419,2677168.93548,7079110.70968
2011/02/28,4442470.89286,2683820.64286,7126291.53571
2011/03/31,4496446.3871,2680942.25806,7177388.64516
2011/04/30,4650400.3,2673340.86667,7323741.16667
2011/05/31,5156638.48387,2686295.06452,7842933.54839
2011/06/30,6433082.1,2692838.96667,9125921.06667
2011/07/31,6846525.09677,2699063.54839,9545588.64516
2011/08/31,8219625.03226,2701910.45161,10921535.4839
2011/09/30,10620256.8333,2705354.26667,13325611.1
2011/10/31,13834325.6774,2710007.87097,16544333.5484
2011/11/30,16442994.9333,2716489.3,19159484.2333
2011/12/31,18807154.6774,2726736.70968,21533891.3871
2012/01/31,20094971.1935,2734412.64516,22829383.8387
2012/02/29,21986390.0,2736873.10345,24723263.1034
2012/03/31,24270952.2903,2738216.54839,27009168.8387
2012/04/30,26321570.9667,2738868.2,29060439.1667
2012/05/31,28050565.871,2739196.90323,30789762.7742
2012/06/30,29485709.1333,2740004.16667,32225713.3
2012/07/31,30911003.5161,2737242.51613,33648246.0323
2012/08/31,31743320.6452,2737128.6129,34480449.2581
2012/09/30,33415485.6667,2738013.76667,36153499.4333
2012/10/31,35307110.5161,2738331.0,38045441.5161
2012/11/30,36442280.2333,2738545.46667,39180825.7
2012/12/31,37167375.2258,2740443.29032,39907818.5161
2013/01/31,37906771.6774,2741071.64516,40647843.3226
2013/02/28,38495265.9231,,38495265.9231
