date,Other,bot,total
2003/12/31,3910.0,,3910.0
2004/01/31,4782.41935484,,4782.41935484
2004/02/29,4801.0,,4801.0
2004/03/31,4848.48387097,,4848.48387097
2004/04/30,4943.0,,4943.0
2004/05/31,4943.0,,4943.0
2004/06/30,6870.86666667,,6870.86666667
2004/07/31,14591.0,,14591.0
2004/08/31,14591.0,,14591.0
2004/09/30,14591.0,,14591.0
2004/10/31,14522.9032258,,14522.9032258
2004/11/30,14338.6,,14338.6
2004/12/31,14472.0,,14472.0
2005/01/31,14472.0,,14472.0
2005/02/28,14472.0,,14472.0
2005/03/31,14472.0,,14472.0
2005/04/30,14472.0,,14472.0
2005/05/31,14485.8387097,,14485.8387097
2005/06/30,14748.5,,14748.5
2005/07/31,14796.0,,14796.0
2005/08/31,15257.4193548,,15257.4193548
2005/09/30,16911.0,,16911.0
2005/10/31,16911.1290323,,16911.1290323
2005/11/30,17807.3666667,,17807.3666667
2005/12/31,17569.6129032,,17569.6129032
2006/01/31,17074.0,,17074.0
2006/02/28,21596.75,,21596.75
2006/03/31,205650.967742,,205650.967742
2006/04/30,397447.333333,,397447.333333
2006/05/31,497773.806452,,497773.806452
2006/06/30,506236.366667,,506236.366667
2006/07/31,509868.129032,,509868.129032
2006/08/31,514177.16129,,514177.16129
2006/09/30,545334.366667,,545334.366667
2006/10/31,693365.16129,,693365.16129
2006/11/30,730546.166667,,730546.166667
2006/12/31,784465.290323,,784465.290323
2007/01/31,804509.645161,,804509.645161
2007/02/28,847119.607143,,847119.607143
2007/03/31,1003772.77419,,1003772.77419
2007/04/30,1101714.23333,,1101714.23333
2007/05/31,1134517.48387,,1134517.48387
2007/06/30,1157149.13333,,1157149.13333
2007/07/31,1213223.93548,,1213223.93548
2007/08/31,1244132.19355,,1244132.19355
2007/09/30,1282287.23333,242.08,1282488.96667
2007/10/31,1372464.64516,1440.06451613,1373904.70968
2007/11/30,1359092.26667,2515.66666667,1361607.93333
2007/12/31,1426789.25806,5337.38709677,1432126.64516
2008/01/31,1432411.35484,5603.80645161,1438015.16129
2008/02/29,1489659.65517,5886.44827586,1495546.10345
2008/03/31,1526163.51613,6357.64516129,1532521.16129
2008/04/30,1559533.96667,6493.16666667,1566027.13333
2008/05/31,1584952.74194,8652.09677419,1593604.83871
2008/06/30,1603909.86667,11616.0666667,1615525.93333
2008/07/31,1611138.03226,17331.3870968,1628469.41935
2008/08/31,1618078.77419,22883.6451613,1640962.41935
2008/09/30,1621795.6,22908.6666667,1644704.26667
2008/10/31,1632643.58065,23096.2903226,1655739.87097
2008/11/30,1634167.76667,23196.9,1657364.66667
2008/12/31,1636542.51613,23369.516129,1659912.03226
2009/01/31,1660863.0,23471.4193548,1684334.41935
2009/02/28,1670264.71429,23495.5,1693760.21429
2009/03/31,1673777.41935,23510.6451613,1697288.06452
2009/04/30,1687885.93333,23627.5,1711513.43333
2009/05/31,1710326.25806,23691.6451613,1734017.90323
2009/06/30,1713776.06667,23767.6666667,1737543.73333
2009/07/31,1733019.45161,23790.8064516,1756810.25806
2009/08/31,1749983.80645,23810.5806452,1773794.3871
2009/09/30,1714705.4,23816.0,1738521.4
2009/10/31,1717722.70968,23816.0,1741538.70968
2009/11/30,1722496.76667,23816.0,1746312.76667
2009/12/31,1734510.48387,23816.0,1758326.48387
2010/01/31,1742307.25806,23816.0,1766123.25806
2010/02/28,1747572.35714,23816.0,1771388.35714
2010/03/31,1764498.58065,23816.0,1788314.58065
2010/04/30,1828938.3,23816.0,1852754.3
2010/05/31,1869283.35484,23816.0,1893099.35484
2010/06/30,1888683.8,23816.0,1912499.8
2010/07/31,1911302.6129,23816.0,1935118.6129
2010/08/31,1926199.29032,23816.0,1950015.29032
2010/09/30,1926679.03333,23816.0,1950495.03333
2010/10/31,1927111.0,23816.0,1950927.0
2010/11/30,1938398.53333,23816.0,1962214.53333
2010/12/31,1949285.93548,23820.0967742,1973106.03226
2011/01/31,1955688.22581,23831.5416667,1974138.45161
2011/02/28,1971647.85714,,1971647.85714
2011/03/31,1986108.29032,,1986108.29032
2011/04/30,1994521.13333,,1994521.13333
2011/05/31,1998033.48387,,1998033.48387
2011/06/30,2032570.3,,2032570.3
2011/07/31,2326875.80645,,2326875.80645
2011/08/31,2485640.58065,,2485640.58065
2011/09/30,2497465.06667,,2497465.06667
2011/10/31,2511071.29032,,2511071.29032
2011/11/30,2546111.3,,2546111.3
2011/12/31,2634621.0,,2634621.0
2012/01/31,2658787.48387,,2658787.48387
2012/02/29,2669784.27586,,2669784.27586
2012/03/31,2668162.19355,,2668162.19355
2012/04/30,2537361.2,,2537361.2
2012/05/31,2311287.0,,2311287.0
2012/06/30,2336215.53333,,2336215.53333
2012/07/31,2363569.77419,,2363569.77419
2012/08/31,2390682.41935,,2390682.41935
2012/09/30,2406176.06667,,2406176.06667
2012/10/31,2432282.32258,,2432282.32258
2012/11/30,2468824.33333,,2468824.33333
2012/12/31,2552154.96774,,2552154.96774
2013/01/31,2691809.96774,,2691809.96774
2013/02/28,2709995.16667,,2709995.16667
