date,Other,bot,total
2003/09/30,84.0,,84.0
2003/10/31,2706.93548387,,2706.93548387
2003/11/30,19831.5,,19831.5
2003/12/31,377116.612903,,377116.612903
2004/01/31,745564.387097,,745564.387097
2004/02/29,1062675.37931,,1062675.37931
2004/03/31,1409078.83871,,1409078.83871
2004/04/30,1631706.5,,1631706.5
2004/05/31,1865497.96774,,1865497.96774
2004/06/30,1954865.0,,1954865.0
2004/07/31,2073072.3871,,2073072.3871
2004/08/31,2208287.70968,,2208287.70968
2004/09/30,2213022.7,,2213022.7
2004/10/31,2332867.77419,,2332867.77419
2004/11/30,2416003.1,,2416003.1
2004/12/31,2479538.74194,,2479538.74194
2005/01/31,2495988.96774,,2495988.96774
2005/02/28,2530812.14286,,2530812.14286
2005/03/31,2611105.25806,,2611105.25806
2005/04/30,2983024.76667,,2983024.76667
2005/05/31,3574310.64516,,3574310.64516
2005/06/30,3886354.3,,3886354.3
2005/07/31,4192298.29032,830.25,4192833.93548
2005/08/31,4837061.80645,9942.22580645,4847004.03226
2005/09/30,5727207.46667,34534.0333333,5761741.5
2005/10/31,6555951.96774,63257.516129,6619209.48387
2005/11/30,7107935.7,77899.3666667,7185835.06667
2005/12/31,7490306.74194,127079.516129,7617386.25806
2006/01/31,7988879.29032,205786.354839,8194665.64516
2006/02/28,8627495.92857,225341.428571,8852837.35714
2006/03/31,9297639.22581,244005.935484,9541645.16129
2006/04/30,10146916.6667,269112.0,10416028.6667
2006/05/31,11179818.8387,298126.645161,11477945.4839
2006/06/30,11797504.7667,331451.133333,12128955.9
2006/07/31,13256295.3871,393510.258065,13649805.6452
2006/08/31,15192283.9355,434514.935484,15626798.871
2006/09/30,17164113.8667,484118.766667,17648232.6333
2006/10/31,19039545.5484,843591.322581,19883136.871
2006/11/30,20668251.2333,1390891.86667,22059143.1
2006/12/31,21891133.2903,1493180.45161,23384313.7419
2007/01/31,23055025.5806,1845676.29032,24900701.871
2007/02/28,24790018.4643,3548271.46429,28338289.9286
2007/03/31,27587342.9355,3599885.96774,31187228.9032
2007/04/30,30869599.7667,3697883.0,34567482.7667
2007/05/31,33815282.2258,4265525.83871,38080808.0645
2007/06/30,35058405.4,4389846.1,39448251.5
2007/07/31,36288242.3871,4506414.77419,40794657.1613
2007/08/31,38000431.6452,4587303.35484,42587735.0
2007/09/30,40093751.2667,4759689.83333,44853441.1
2007/10/31,42203913.2903,4851007.64516,47054920.9355
2007/11/30,44015384.5333,5033241.46667,49048626.0
2007/12/31,45645031.9355,5186588.54839,50831620.4839
2008/01/31,47338458.0323,5307787.12903,52646245.1613
2008/02/29,49019074.6207,5393956.75862,54413031.3793
2008/03/31,51043428.0323,5466728.12903,56510156.1613
2008/04/30,53603714.1,5549060.8,59152774.9
2008/05/31,55778089.6129,5671998.6129,61450088.2258
2008/06/30,57949672.6333,5813845.93333,63763518.5667
2008/07/31,60114624.129,5945979.80645,66060603.9355
2008/08/31,62375593.0323,6093241.54839,68468834.5806
2008/09/30,64561205.3,6256774.46667,70817979.7667
2008/10/31,66969271.0968,6454298.3871,73423569.4839
2008/11/30,68918562.4333,6595808.33333,75514370.7667
2008/12/31,71085537.9677,6746847.3871,77832385.3548
2009/01/31,73005063.0,6884467.93548,79889530.9355
2009/02/28,74838638.25,7029139.60714,81867777.8571
2009/03/31,77373513.129,7167757.0,84541270.129
2009/04/30,79961928.5667,7298187.6,87260116.1667
2009/05/31,81854278.5484,7415000.70968,89269279.2581
2009/06/30,84012171.0333,7532134.36667,91544305.4
2009/07/31,86952970.129,7654261.80645,94607231.9355
2009/08/31,91031419.5161,7719231.64516,98750651.1613
2009/09/30,95871211.5667,7771117.26667,103642328.833
2009/10/31,101634862.71,7477493.41935,109112356.129
2009/11/30,111306194.433,7412757.03333,118718951.467
2009/12/31,124336490.516,6680015.90323,131016506.419
2010/01/31,140089439.613,6183424.06452,146272863.677
2010/02/28,153134217.0,5986783.28571,159121000.286
2010/03/31,169876188.097,6027251.32258,175903439.419
2010/04/30,184712897.567,5813557.93333,190526455.5
2010/05/31,194934905.774,5526725.41935,200461631.194
2010/06/30,210446543.367,5637781.13333,216084324.5
2010/07/31,216968724.258,5498124.77419,222466849.032
2010/08/31,220162291.968,5655942.93548,225818234.903
2010/09/30,223184124.2,5712975.13333,228897099.333
2010/10/31,227144579.774,5764495.93548,232909075.71
2010/11/30,230374162.3,6042472.16667,236416634.467
2010/12/31,235052821.645,6178473.29032,241231294.935
2011/01/31,240265765.806,6205077.3871,246470843.194
2011/02/28,245714270.107,6390080.57143,252104350.679
2011/03/31,251145209.258,6579818.03226,257725027.29
2011/04/30,258340718.633,6768917.7,265109636.333
2011/05/31,265071650.677,6950885.58065,272022536.258
2011/06/30,270201015.167,7227552.4,277428567.567
2011/07/31,274725558.968,7387510.03226,282113069.0
2011/08/31,280772894.903,7575089.67742,288347984.581
2011/09/30,286807367.2,7745913.46667,294553280.667
2011/10/31,294315495.29,7884403.12903,302199898.419
2011/11/30,301937728.533,7991372.26667,309929100.8
2011/12/31,307870562.774,8086946.22581,315957509.0
2012/01/31,313396651.29,7836389.64516,321233040.935
2012/02/29,318211913.552,6693728.24138,324905641.793
2012/03/31,323220015.935,6481836.96774,329701852.903
2012/04/30,328399971.167,6602905.56667,335002876.733
2012/05/31,332970237.419,6747215.51613,339717452.935
2012/06/30,337572110.2,6859346.66667,344431456.867
2012/07/31,341928584.258,6953678.41935,348882262.677
2012/08/31,345686226.29,7037014.48387,352723240.774
2012/09/30,349363987.633,7081187.8,356445175.433
2012/10/31,354329125.226,7148938.48387,361478063.71
2012/11/30,358801044.333,7220546.16667,366021590.5
2012/12/31,362796301.645,7285526.16129,370081827.806
2013/01/31,366623445.129,7352808.80645,373976253.935
2013/02/28,369502700.923,7394298.53846,376896999.462
