date,Other,bot,total
2003/12/31,93.0,,93.0
2004/01/31,98.4193548387,,98.4193548387
2004/02/29,117.0,,117.0
2004/03/31,132.322580645,,132.322580645
2004/04/30,5548.6,,5548.6
2004/05/31,5913.0,,5913.0
2004/06/30,7679.0,,7679.0
2004/07/31,7901.19354839,,7901.19354839
2004/08/31,25525.1935484,,25525.1935484
2004/09/30,26827.7333333,,26827.7333333
2004/10/31,27653.6451613,,27653.6451613
2004/11/30,39408.8,,39408.8
2004/12/31,156638.322581,,156638.322581
2005/01/31,233470.064516,,233470.064516
2005/02/28,294907.857143,,294907.857143
2005/03/31,296544.516129,,296544.516129
2005/04/30,310521.866667,,310521.866667
2005/05/31,530671.451613,,530671.451613
2005/06/30,1288979.06667,,1288979.06667
2005/07/31,1917491.35484,,1917491.35484
2005/08/31,2279153.32258,,2279153.32258
2005/09/30,3263714.66667,,3263714.66667
2005/10/31,4093438.48387,0.0,4093438.48387
2005/11/30,4619490.13333,476.8,4619966.93333
2005/12/31,5161406.58065,596.0,5162002.58065
2006/01/31,5865392.54839,596.0,5865988.54839
2006/02/28,6584972.96429,596.0,6585568.96429
2006/03/31,7017081.41935,596.0,7017677.41935
2006/04/30,7194877.16667,223005.433333,7417882.6
2006/05/31,7422637.51613,778064.0,8200701.51613
2006/06/30,7604655.36667,778064.0,8382719.36667
2006/07/31,7866815.58065,777425.096774,8644240.67742
2006/08/31,8301106.3871,1160836.6129,9461943.0
2006/09/30,8732284.1,3437132.06667,12169416.1667
2006/10/31,9310963.6129,7640188.29032,16951151.9032
2006/11/30,9953303.33333,8922401.23333,18875704.5667
2006/12/31,10686749.0,9183037.25806,19869786.2581
2007/01/31,11419280.5161,9437539.41935,20856819.9355
2007/02/28,12214330.4286,9476405.71429,21690736.1429
2007/03/31,13500836.5484,9521980.87097,23022817.4194
2007/04/30,14796783.8333,9574276.73333,24371060.5667
2007/05/31,15917298.8065,9606269.6129,25523568.4194
2007/06/30,16960636.2,9939849.86667,26900486.0667
2007/07/31,18209965.8065,11163174.6129,29373140.4194
2007/08/31,19416307.0645,11775577.9677,31191885.0323
2007/09/30,21686069.8333,12525643.5333,34211713.3667
2007/10/31,23566676.8065,12821025.9355,36387702.7419
