date,Other,bot,total
2004/01/31,275.0,,275.0
2004/02/29,292.931034483,,292.931034483
2004/03/31,21225.1290323,,21225.1290323
2004/04/30,175699.866667,23.0,175711.366667
2004/05/31,365852.516129,23.0,365875.516129
2004/06/30,379624.833333,23.0,379647.833333
2004/07/31,405186.0,23.0,405209.0
2004/08/31,405694.774194,23.0,405717.774194
2004/09/30,407210.6,23.0,407233.6
2004/10/31,408164.967742,23.0,408187.967742
2004/11/30,412595.566667,-226.9,412368.666667
2004/12/31,422245.419355,-1048.0,421197.419355
2005/01/31,426888.870968,-1048.0,425840.870968
2005/02/28,436249.607143,-1048.0,435201.607143
2005/03/31,439628.322581,-1048.0,438580.322581
2005/04/30,440446.133333,-1048.0,439398.133333
2005/05/31,451724.129032,-1048.0,450676.129032
2005/06/30,496612.633333,-1048.0,495564.633333
2005/07/31,517547.83871,-1048.0,516499.83871
2005/08/31,562433.419355,-793.838709677,561639.580645
2005/09/30,993852.366667,-197.0,993655.366667
2005/10/31,1370870.22581,160.032258065,1371030.25806
2005/11/30,1613162.53333,7932.4,1621094.93333
2005/12/31,1759263.45161,13476.0,1772739.45161
2006/01/31,1827072.51613,13476.0,1840548.51613
2006/02/28,1864196.5,13476.0,1877672.5
2006/03/31,1905225.96774,13476.0,1918701.96774
2006/04/30,1969918.2,13476.0,1983394.2
2006/05/31,2234074.67742,15981.9032258,2250056.58065
2006/06/30,3203180.86667,17424.0333333,3220604.9
2006/07/31,5913929.70968,32395.9677419,5946325.67742
2006/08/31,7036490.51613,93497.9032258,7129988.41935
2006/09/30,8160365.06667,133502.766667,8293867.83333
2006/10/31,8765646.35484,177643.193548,8943289.54839
2006/11/30,9865467.73333,195200.533333,10060668.2667
2006/12/31,11333540.9677,348886.064516,11682427.0323
2007/01/31,12485291.2258,621536.741935,13106827.9677
2007/02/28,13617830.9643,781572.928571,14399403.8929
2007/03/31,14238594.7419,861711.774194,15100306.5161
2007/04/30,15263724.3,1059142.9,16322867.2
2007/05/31,16363476.0968,1161875.12903,17525351.2258
2007/06/30,17176249.0333,1226891.63333,18403140.6667
2007/07/31,18180153.9355,1271553.19355,19451707.129
2007/08/31,18739184.2903,1330651.87097,20069836.1613
2007/09/30,19283761.4667,1445367.33333,20729128.8
2007/10/31,19754139.8387,1542497.74194,21296637.5806
2007/11/30,20072841.5667,1669919.03333,21742760.6
2007/12/31,20523496.3871,1718763.16129,22242259.5484
2008/01/31,21083795.6129,1762960.87097,22846756.4839
2008/02/29,21678024.7931,1819468.31034,23497493.1034
2008/03/31,22553866.5806,1864931.12903,24418797.7097
2008/04/30,23171998.9667,2071171.36667,25243170.3333
2008/05/31,23543883.6129,2180615.48387,25724499.0968
2008/06/30,24040756.0333,2262085.63333,26302841.6667
2008/07/31,24442699.4194,2355958.83871,26798658.2581
2008/08/31,25110179.4839,2459797.48387,27569976.9677
2008/09/30,25825154.4333,2564430.43333,28389584.8667
2008/10/31,26560480.1935,2785947.29032,29346427.4839
2008/11/30,27196310.9667,2965105.73333,30161416.7
2008/12/31,28147063.7097,3176032.87097,31323096.5806
2009/01/31,28871111.3871,3283009.0,32154120.3871
2009/02/28,29506426.1071,3405815.46429,32912241.5714
2009/03/31,29875601.3871,3523343.77419,33398945.1613
2009/04/30,31196511.5667,3644430.63333,34840942.2
2009/05/31,31332372.0968,3784060.58065,35116432.6774
2009/06/30,31547406.9667,4009456.33333,35556863.3
2009/07/31,32094923.7742,4142959.09677,36237882.871
2009/08/31,32813507.9355,4440065.83871,37253573.7742
2009/09/30,33360702.5333,4651581.63333,38012284.1667
2009/10/31,34061073.2258,4775495.12903,38836568.3548
2009/11/30,35060140.4,5069845.5,40129985.9
2009/12/31,36581287.9032,5486907.12903,42068195.0323
2010/01/31,37416083.1935,6077614.87097,43493698.0645
2010/02/28,37666170.8929,6166507.92857,43832678.8214
2010/03/31,38175250.129,6259435.6129,44434685.7419
2010/04/30,39091443.5,6534672.5,45626116.0
2010/05/31,39841685.2903,6656777.67742,46498462.9677
2010/06/30,40578514.9333,6916579.43333,47495094.3667
2010/07/31,41312001.4516,7345620.35484,48657621.8065
2010/08/31,42132628.2258,7625814.83871,49758443.0645
2010/09/30,42658294.1667,8202244.46667,50860538.6333
2010/10/31,43119021.6774,8601009.93548,51720031.6129
2010/11/30,43414885.0667,8831736.13333,52246621.2
2010/12/31,43625464.7742,8944516.29032,52569981.0645
2011/01/31,44348489.129,9388602.0,53737091.129
2011/02/28,45381476.9286,10351306.1786,55732783.1071
2011/03/31,45938578.7097,10472578.3226,56411157.0323
2011/04/30,46302111.8333,10543177.7,56845289.5333
2011/05/31,46666594.3871,10657979.9677,57324574.3548
2011/06/30,47165407.2,10794077.6667,57959484.8667
2011/07/31,47670595.129,10926042.6129,58596637.7419
2011/08/31,47890119.7742,11038179.5806,58928299.3548
2011/09/30,48097964.7333,11135635.7,59233600.4333
2011/10/31,48249468.3871,11258185.8065,59507654.1935
2011/11/30,48612780.0667,11375332.1333,59988112.2
2011/12/31,48857746.2258,11455025.2258,60312771.4516
2012/01/31,49029075.0,11563104.9355,60592179.9355
2012/02/29,49195639.0345,11680850.2414,60876489.2759
2012/03/31,49536528.5484,11787413.6129,61323942.1613
2012/04/30,50107093.8667,11902879.6333,62009973.5
2012/05/31,50471406.3871,12014313.9032,62485720.2903
2012/06/30,51327106.3667,12248350.4667,63575456.8333
