date,as,bh,bn,bpy,gu,hi,kn,ks,ml,mr,ne,new,or,pa,pi,sa,sd,ta,te,ur,Total
2001/01/31,,,,,,,,,,,,,,,,,,,,,0.0
2001/02/28,,,,,,,,,,,,,,,,,,,,,0.0
2001/03/31,,,,,,,,,,,,,,,,,,,,,0.0
2001/04/30,,,,,,,,,,,,,,,,,,,,,0.0
2001/05/31,,,,,,,,,,,,,,,,,,,,,0.0
2001/06/30,,,,,,,,,,,,,,,,,,,,,0.0
2001/07/31,,,,,,,,,,,,,,,,,,,,,0.0
2001/08/31,,,,,,,,,,,,,,,,,,,,,0.0
2001/09/30,,,,,,,,,,,,,,,,,,,,,0.0
2001/10/31,,,,,,,,,,,,,,,,,,,,,0.0
2001/11/30,,,,,,,,,,,,,,,,,,,,,0.0
2001/12/31,,,,,,,,,,,,,,,,,,,,,0.0
2002/01/31,,,,,,,,,,,,,,,,,,,,,0.0
2002/02/28,,,,,,,,,,,,,,,,,,,,,0.0
2002/03/31,,,,,,,,,,,,,,,,,,,,,0.0
2002/04/30,,,,,,,,,,,,,,,,,,,,,0.0
2002/05/31,,,,,,,,,,,,,,,,,,,,,0.0
2002/06/30,-,,,,,,,,,,1.0,,,1.0,,,,,,,0.0
2002/07/31,-,,,,,,,,,,1.0,,,1.0,,,,,,,0.0
2002/08/31,-,,,,,,,,,,1.0,,,1.0,,,,,,,0.0
2002/09/30,-,,,,,,,,,,1.0,,,1.0,,,,,,,0.0
2002/10/31,-,,,,,,,,,,1.0,,,1.0,,,,,,,0.0
2002/11/30,-,,,,,,,,,,1.0,,,1.0,,,,,,,0.0
2002/12/31,-,,,,,,,,5.6,,1.0,,,1.0,,,,,,,0.0
2003/01/31,-,,,,,,,,5.8,,1.0,,,1.0,,,,,,,0.0
2003/02/28,-,-,,,,,,,6.4,,1.0,,,1.0,,,,,,,0.0
2003/03/31,-,-,,,,,,,6.4,,1.0,,,1.0,,,,,,,0.0
2003/04/30,-,-,,,,,,,6.9,,1.0,,,1.0,,,,,,,0.0
2003/05/31,-,-,,,,,,,5.2,1.3,1.0,,,1.0,,,,,,,0.0
2003/06/30,-,-,,,,,1.0,,5.7,1.3,1.0,,,1.0,,,,,,,0.0
2003/07/31,-,-,,,,16.5,1.0,1.0,5.8,1.3,1.0,,,1.0,,,,,,,0.0
2003/08/31,-,-,,,,8.9,1.0,1.0,5.8,1.3,1.0,,,1.0,,,,,,,0.0
2003/09/30,-,-,,,,8.9,1.0,1.0,6.2,1.3,1.0,,,1.0,,,,1.0,,,0.0
2003/10/31,-,-,,,,9.1,1.0,1.0,6.2,1.2,1.0,,,1.0,,,,1.0,,,0.0
2003/11/30,-,-,,,,9.2,1.0,1.0,6.3,1.2,1.0,,,1.0,,,,10.9,,,0.0
2003/12/31,-,-,,,1.0,9.1,2.0,2.0,6.5,1.2,2.0,,,1.0,,-,-,6.5,1.0,,0.0
2004/01/31,-,-,-,,3.0,8.9,4.0,4.0,4.3,2.0,4.0,,,3.0,,-,-,5.3,2.0,-,0.0
2004/02/29,-,-,-,,5.0,5.9,6.0,6.0,4.5,2.2,6.0,,,4.0,,-,-,4.7,2.0,-,0.0
2004/03/31,-,-,-,,10.0,6.4,6.0,9.0,4.6,3.5,7.0,,,22.0,,10.0,-,4.3,7.0,20.7,0.0
