date,language,value
2008/01/31,as,16.2
2008/02/29,as,16.4
2008/03/31,as,16.9
2008/04/30,as,17.2
2008/05/31,as,17.9
2008/06/30,as,19.3
2008/07/31,as,21.5
2008/08/31,as,23
2008/09/30,as,23
2008/10/31,as,23.5
2008/11/30,as,23.4
2008/12/31,as,23.7
2009/01/31,as,24.3
2009/02/28,as,24.5
2009/03/31,as,24.9
2009/04/30,as,25.1
2009/05/31,as,25.6
2009/06/30,as,23.2
2009/07/31,as,22.6
2009/08/31,as,22.5
2009/09/30,as,23
2009/10/31,as,23.3
2009/11/30,as,23.3
2009/12/31,as,24.1
2010/01/31,as,24.1
2010/02/28,as,24.3
2010/03/31,as,24.6
2010/04/30,as,24.8
2010/05/31,as,25.5
2010/06/30,as,26.4
2010/07/31,as,27
2010/08/31,as,27.3
2010/09/30,as,27.6
2010/10/31,as,28
2010/11/30,as,29.3
2010/12/31,as,29.3
2011/01/31,as,29
2011/02/28,as,26.9
2011/03/31,as,27.6
2011/04/30,as,26.7
2011/05/31,as,26.9
2011/06/30,as,24.1
2011/07/31,as,23.1
2011/08/31,as,22.2
2011/09/30,as,20.7
2011/10/31,as,21.1
2011/11/30,as,21.6
2011/12/31,as,21.5
2012/01/31,as,21.7
2012/02/29,as,23.6
2012/03/31,as,33.3
2012/04/30,as,33.5
2012/05/31,as,33.1
2012/06/30,as,32.9
2012/07/31,as,32.7
2012/08/31,as,32.6
2012/09/30,as,32.6
2012/10/31,as,32.6
2012/11/30,as,32.6
2012/12/31,as,29.2
2008/01/31,bh,5.2
2008/02/29,bh,6.2
2008/03/31,bh,6.4
2008/04/30,bh,6.9
2008/05/31,bh,7.6
2008/06/30,bh,8
2008/07/31,bh,8.5
2008/08/31,bh,8.7
2008/09/30,bh,8.8
2008/10/31,bh,9.6
2008/11/30,bh,9.7
2008/12/31,bh,9.9
2009/01/31,bh,11.2
2009/02/28,bh,11.6
2009/03/31,bh,12
2009/04/30,bh,13.3
2009/05/31,bh,14.3
2009/06/30,bh,14.7
2009/07/31,bh,16.4
2009/08/31,bh,16.9
2009/09/30,bh,17.2
2009/10/31,bh,17.5
2009/11/30,bh,17.5
2009/12/31,bh,17.7
2010/01/31,bh,18
2010/02/28,bh,19.1
2010/03/31,bh,19.4
2010/04/30,bh,20.7
2010/05/31,bh,20.7
2010/06/30,bh,21.7
2010/07/31,bh,21.7
2010/08/31,bh,22.3
2010/09/30,bh,23.9
2010/10/31,bh,24.1
2010/11/30,bh,24.2
2010/12/31,bh,24.4
2011/01/31,bh,25.2
2011/02/28,bh,25.5
2011/03/31,bh,26.5
2011/04/30,bh,26.6
