date,language,active_editors,new_editors,total_editors,new_articles,total_articles,page_views
2001/01/31,Assamese,0,0,0,0,0,NA
2001/01/31,Bengali,0,0,0,0,0,NA
2001/01/31,Bhojpuri,0,0,0,0,0,NA
2001/01/31,"Bishnupriya Manipuri",0,0,0,0,0,NA
2001/01/31,Gujarati,0,0,0,0,0,NA
2001/01/31,Hindi,0,0,0,0,0,NA
2001/01/31,Kannada,0,0,0,0,0,NA
2001/01/31,Kashmiri,0,0,0,0,0,NA
2001/01/31,Malayalam,0,0,0,0,0,NA
2001/01/31,Marathi,0,0,0,0,0,NA
2001/01/31,Nepali,0,0,0,0,0,NA
2001/01/31,Newari,0,0,0,0,0,NA
2001/01/31,Oriya,0,0,0,0,0,NA
2001/01/31,Pali,0,0,0,0,0,NA
2001/01/31,Punjabi,0,0,0,0,0,NA
2001/01/31,Sanskrit,0,0,0,0,0,NA
2001/01/31,Sindhi,0,0,0,0,0,NA
2001/01/31,Tamil,0,0,0,0,0,NA
2001/01/31,Telugu,0,0,0,0,0,NA
2001/01/31,Total,0,0,0,0,0,NA
2001/01/31,Urdu,0,0,0,0,0,NA
2001/02/28,Assamese,0,0,0,0,0,NA
2001/02/28,Bengali,0,0,0,0,0,NA
2001/02/28,Bhojpuri,0,0,0,0,0,NA
2001/02/28,"Bishnupriya Manipuri",0,0,0,0,0,NA
2001/02/28,Gujarati,0,0,0,0,0,NA
2001/02/28,Hindi,0,0,0,0,0,NA
2001/02/28,Kannada,0,0,0,0,0,NA
2001/02/28,Kashmiri,0,0,0,0,0,NA
2001/02/28,Malayalam,0,0,0,0,0,NA
2001/02/28,Marathi,0,0,0,0,0,NA
2001/02/28,Nepali,0,0,0,0,0,NA
2001/02/28,Newari,0,0,0,0,0,NA
2001/02/28,Oriya,0,0,0,0,0,NA
2001/02/28,Pali,0,0,0,0,0,NA
2001/02/28,Punjabi,0,0,0,0,0,NA
2001/02/28,Sanskrit,0,0,0,0,0,NA
2001/02/28,Sindhi,0,0,0,0,0,NA
2001/02/28,Tamil,0,0,0,0,0,NA
2001/02/28,Telugu,0,0,0,0,0,NA
2001/02/28,Total,0,0,0,0,0,NA
2001/02/28,Urdu,0,0,0,0,0,NA
2001/03/31,Assamese,0,0,0,0,0,NA
2001/03/31,Bengali,0,0,0,0,0,NA
2001/03/31,Bhojpuri,0,0,0,0,0,NA
2001/03/31,"Bishnupriya Manipuri",0,0,0,0,0,NA
2001/03/31,Gujarati,0,0,0,0,0,NA
2001/03/31,Hindi,0,0,0,0,0,NA
2001/03/31,Kannada,0,0,0,0,0,NA
2001/03/31,Kashmiri,0,0,0,0,0,NA
2001/03/31,Malayalam,0,0,0,0,0,NA
2001/03/31,Marathi,0,0,0,0,0,NA
2001/03/31,Nepali,0,0,0,0,0,NA
2001/03/31,Newari,0,0,0,0,0,NA
2001/03/31,Oriya,0,0,0,0,0,NA
2001/03/31,Pali,0,0,0,0,0,NA
2001/03/31,Punjabi,0,0,0,0,0,NA
2001/03/31,Sanskrit,0,0,0,0,0,NA
2001/03/31,Sindhi,0,0,0,0,0,NA
2001/03/31,Tamil,0,0,0,0,0,NA
2001/03/31,Telugu,0,0,0,0,0,NA
2001/03/31,Total,0,0,0,0,0,NA
2001/03/31,Urdu,0,0,0,0,0,NA
2001/04/30,Assamese,0,0,0,0,0,NA
2001/04/30,Bengali,0,0,0,0,0,NA
2001/04/30,Bhojpuri,0,0,0,0,0,NA
2001/04/30,"Bishnupriya Manipuri",0,0,0,0,0,NA
2001/04/30,Gujarati,0,0,0,0,0,NA
2001/04/30,Hindi,0,0,0,0,0,NA
2001/04/30,Kannada,0,0,0,0,0,NA
2001/04/30,Kashmiri,0,0,0,0,0,NA
2001/04/30,Malayalam,0,0,0,0,0,NA
2001/04/30,Marathi,0,0,0,0,0,NA
2001/04/30,Nepali,0,0,0,0,0,NA
2001/04/30,Newari,0,0,0,0,0,NA
2001/04/30,Oriya,0,0,0,0,0,NA
2001/04/30,Pali,0,0,0,0,0,NA
2001/04/30,Punjabi,0,0,0,0,0,NA
2001/04/30,Sanskrit,0,0,0,0,0,NA
2001/04/30,Sindhi,0,0,0,0,0,NA
2001/04/30,Tamil,0,0,0,0,0,NA
2001/04/30,Telugu,0,0,0,0,0,NA
2001/04/30,Total,0,0,0,0,0,NA
2001/04/30,Urdu,0,0,0,0,0,NA
2001/05/31,Assamese,0,0,0,0,0,NA
2001/05/31,Bengali,0,0,0,0,0,NA
2001/05/31,Bhojpuri,0,0,0,0,0,NA
2001/05/31,"Bishnupriya Manipuri",0,0,0,0,0,NA
2001/05/31,Gujarati,0,0,0,0,0,NA
2001/05/31,Hindi,0,0,0,0,0,NA
2001/05/31,Kannada,0,0,0,0,0,NA
2001/05/31,Kashmiri,0,0,0,0,0,NA
2001/05/31,Malayalam,0,0,0,0,0,NA
2001/05/31,Marathi,0,0,0,0,0,NA
2001/05/31,Nepali,0,0,0,0,0,NA
2001/05/31,Newari,0,0,0,0,0,NA
2001/05/31,Oriya,0,0,0,0,0,NA
2001/05/31,Pali,0,0,0,0,0,NA
2001/05/31,Punjabi,0,0,0,0,0,NA
2001/05/31,Sanskrit,0,0,0,0,0,NA
2001/05/31,Sindhi,0,0,0,0,0,NA
2001/05/31,Tamil,0,0,0,0,0,NA
2001/05/31,Telugu,0,0,0,0,0,NA
2001/05/31,Total,0,0,0,0,0,NA
2001/05/31,Urdu,0,0,0,0,0,NA
2001/06/30,Assamese,0,0,0,0,0,NA
2001/06/30,Bengali,0,0,0,0,0,NA
2001/06/30,Bhojpuri,0,0,0,0,0,NA
2001/06/30,"Bishnupriya Manipuri",0,0,0,0,0,NA
2001/06/30,Gujarati,0,0,0,0,0,NA
2001/06/30,Hindi,0,0,0,0,0,NA
2001/06/30,Kannada,0,0,0,0,0,NA
2001/06/30,Kashmiri,0,0,0,0,0,NA
2001/06/30,Malayalam,0,0,0,0,0,NA
2001/06/30,Marathi,0,0,0,0,0,NA
2001/06/30,Nepali,0,0,0,0,0,NA
2001/06/30,Newari,0,0,0,0,0,NA
2001/06/30,Oriya,0,0,0,0,0,NA
2001/06/30,Pali,0,0,0,0,0,NA
2001/06/30,Punjabi,0,0,0,0,0,NA
2001/06/30,Sanskrit,0,0,0,0,0,NA
2001/06/30,Sindhi,0,0,0,0,0,NA
2001/06/30,Tamil,0,0,0,0,0,NA
2001/06/30,Telugu,0,0,0,0,0,NA
2001/06/30,Total,0,0,0,0,0,NA
2001/06/30,Urdu,0,0,0,0,0,NA
2001/07/31,Assamese,0,0,0,0,0,NA
2001/07/31,Bengali,0,0,0,0,0,NA
2001/07/31,Bhojpuri,0,0,0,0,0,NA
2001/07/31,"Bishnupriya Manipuri",0,0,0,0,0,NA
2001/07/31,Gujarati,0,0,0,0,0,NA
2001/07/31,Hindi,0,0,0,0,0,NA
2001/07/31,Kannada,0,0,0,0,0,NA
2001/07/31,Kashmiri,0,0,0,0,0,NA
2001/07/31,Malayalam,0,0,0,0,0,NA
2001/07/31,Marathi,0,0,0,0,0,NA
2001/07/31,Nepali,0,0,0,0,0,NA
2001/07/31,Newari,0,0,0,0,0,NA
2001/07/31,Oriya,0,0,0,0,0,NA
2001/07/31,Pali,0,0,0,0,0,NA
2001/07/31,Punjabi,0,0,0,0,0,NA
2001/07/31,Sanskrit,0,0,0,0,0,NA
2001/07/31,Sindhi,0,0,0,0,0,NA
2001/07/31,Tamil,0,0,0,0,0,NA
2001/07/31,Telugu,0,0,0,0,0,NA
2001/07/31,Total,0,0,0,0,0,NA
2001/07/31,Urdu,0,0,0,0,0,NA
2001/08/31,Assamese,0,0,0,0,0,NA
2001/08/31,Bengali,0,0,0,0,0,NA
2001/08/31,Bhojpuri,0,0,0,0,0,NA
2001/08/31,"Bishnupriya Manipuri",0,0,0,0,0,NA
