date,as,bh,bn,bpy,gu,hi,kn,ks,ml,mr,ne,new,or,pa,pi,sa,sd,ta,te,ur,Total
2002/01/31,,,,,,,,,,,,,,,,,,,,,
2002/02/28,,,,,,,,,,,,,,,,,,,,,
2002/03/31,,,,,,,,,,,,,,,,,,,,,
2002/04/30,,,,,,,,,,,,,,,,,,,,,
2002/05/31,,,,,,,,,,,,,,,,,,,,,
2002/06/30,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,3.0
2002/07/31,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0
2002/08/31,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0
2002/09/30,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0
2002/10/31,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0
2002/11/30,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0
2002/12/31,0.0,,,,,,,,2.0,,0.0,,,0.0,,,,,,,2.0
2003/01/31,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0
2003/02/28,0.0,1.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,1.0
2003/03/31,0.0,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0
2003/04/30,0.0,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0
2003/05/31,0.0,0.0,,,,,,,1.0,1.0,0.0,,,0.0,,,,,,,2.0
2003/06/30,0.0,0.0,,,,,1.0,,0.0,0.0,0.0,,,0.0,,,,,,,1.0
2003/07/31,0.0,0.0,,,,3.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,4.0
2003/08/31,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0
2003/09/30,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,1.0,,,1.0
2003/10/31,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0
2003/11/30,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,2.0,,,2.0
2003/12/31,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,1.0,1.0,1.0,,5.0
2004/01/31,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,1.0,0.0,1.0,3.0
2004/02/29,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
2004/03/31,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,1.0,2.0
2004/04/30,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,2.0,2.0
2004/05/31,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,2.0,2.0
2004/06/30,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
