date,as,bh,bn,bpy,gu,hi,kn,ks,ml,mr,ne,new,or,pa,pi,sa,sd,ta,te,ur,Total
2001/01/31,,,,,,,,,,,,,,,,,,,,,
2001/02/28,,,,,,,,,,,,,,,,,,,,,
2001/03/31,,,,,,,,,,,,,,,,,,,,,
2001/04/30,,,,,,,,,,,,,,,,,,,,,
2001/05/31,,,,,,,,,,,,,,,,,,,,,
2001/06/30,,,,,,,,,,,,,,,,,,,,,
2001/07/31,,,,,,,,,,,,,,,,,,,,,
2001/08/31,,,,,,,,,,,,,,,,,,,,,
2001/09/30,,,,,,,,,,,,,,,,,,,,,
2001/10/31,,,,,,,,,,,,,,,,,,,,,
2001/11/30,,,,,,,,,,,,,,,,,,,,,
2001/12/31,,,,,,,,,,,,,,,,,,,,,
2002/01/31,,,,,,,,,,,,,,,,,,,,,
2002/02/28,,,,,,,,,,,,,,,,,,,,,
2002/03/31,,,,,,,,,,,,,,,,,,,,,
2002/04/30,,,,,,,,,,,,,,,,,,,,,
2002/05/31,,,,,,,,,,,,,,,,,,,,,
2002/06/30,0.0,,,,,,,,,,1.0,,,1.0,,,,,,,2.0
2002/07/31,0.0,,,,,,,,,,1.0,,,1.0,,,,,,,2.0
2002/08/31,0.0,,,,,,,,,,1.0,,,1.0,,,,,,,2.0
2002/09/30,0.0,,,,,,,,,,1.0,,,1.0,,,,,,,2.0
2002/10/31,0.0,,,,,,,,,,1.0,,,1.0,,,,,,,2.0
2002/11/30,0.0,,,,,,,,,,1.0,,,1.0,,,,,,,2.0
2002/12/31,0.0,,,,,,,,5.0,,1.0,,,1.0,,,,,,,7.0
2003/01/31,0.0,,,,,,,,5.0,,1.0,,,1.0,,,,,,,7.0
2003/02/28,0.0,0.0,,,,,,,7.0,,1.0,,,1.0,,,,,,,9.0
2003/03/31,0.0,0.0,,,,,,,7.0,,1.0,,,1.0,,,,,,,9.0
2003/04/30,0.0,0.0,,,,,,,7.0,,1.0,,,1.0,,,,,,,9.0
2003/05/31,0.0,0.0,,,,,,,28.0,3.0,1.0,,,1.0,,,,,,,33.0
2003/06/30,0.0,0.0,,,,,1.0,,31.0,3.0,1.0,,,1.0,,,,,,,37.0
2003/07/31,0.0,0.0,,,,13.0,1.0,1.0,31.0,3.0,1.0,,,1.0,,,,,,,51.0
2003/08/31,0.0,0.0,,,,43.0,1.0,1.0,31.0,3.0,1.0,,,1.0,,,,,,,81.0
2003/09/30,0.0,0.0,,,,45.0,1.0,1.0,31.0,3.0,1.0,,,1.0,,,,1.0,,,84.0
2003/10/31,0.0,0.0,,,,45.0,1.0,1.0,32.0,4.0,1.0,,,1.0,,,,2.0,,,87.0
2003/11/30,0.0,0.0,,,,45.0,1.0,1.0,32.0,4.0,1.0,,,1.0,,,,10.0,,,95.0
2003/12/31,0.0,0.0,,,1.0,47.0,1.0,1.0,33.0,4.0,1.0,,,1.0,,0.0,0.0,64.0,1.0,,154.0
2004/01/31,0.0,0.0,0.0,,1.0,49.0,1.0,1.0,56.0,4.0,1.0,,,1.0,,0.0,0.0,127.0,1.0,0.0,242.0
2004/02/29,0.0,0.0,0.0,,1.0,103.0,1.0,1.0,57.0,4.0,1.0,,,1.0,,0.0,0.0,193.0,1.0,0.0,363.0
2004/03/31,0.0,0.0,0.0,,1.0,105.0,1.0,1.0,57.0,4.0,1.0,,,1.0,,1.0,0.0,267.0,1.0,14.0,454.0
2004/04/30,0.0,0.0,0.0,,1.0,105.0,1.0,1.0,58.0,4.0,1.0,,,1.0,,1.0,0.0,309.0,1.0,103.0,586.0
2004/05/31,0.0,0.0,1.0,,1.0,107.0,1.0,1.0,69.0,4.0,1.0,,,1.0,,1.0,0.0,321.0,1.0,125.0,634.0
2004/06/30,0.0,0.0,2.0,,2.0,123.0,1.0,1.0,72.0,5.0,1.0,,,1.0,,76.0,0.0,348.0,1.0,145.0,778.0
2004/07/31,0.0,0.0,2.0,,6.0,131.0,3.0,1.0,76.0,6.0,1.0,,,1.0,,177.0,0.0,373.0,1.0,150.0,928.0
2004/08/31,0.0,0.0,2.0,,9.0,138.0,3.0,1.0,77.0,7.0,1.0,,,1.0,0.0,178.0,0.0,380.0,4.0,151.0,952.0
2004/09/30,0.0,0.0,2.0,,13.0,143.0,9.0,5.0,88.0,24.0,1.0,,,1.0,0.0,418.0,0.0,397.0,4.0,152.0,1257.0
2004/10/31,0.0,0.0,3.0,,16.0,150.0,32.0,12.0,92.0,39.0,8.0,,,1.0,0.0,514.0,0.0,419.0,5.0,152.0,1443.0
2004/11/30,0.0,0.0,6.0,,25.0,160.0,125.0,13.0,101.0,43.0,18.0,,,1.0,0.0,518.0,0.0,442.0,17.0,157.0,1626.0
2004/12/31,0.0,0.0,9.0,,33.0,362.0,182.0,13.0,122.0,44.0,19.0,,,1.0,0.0,521.0,0.0,454.0,43.0,159.0,1962.0
2005/01/31,0.0,0.0,10.0,,38.0,781.0,191.0,13.0,122.0,105.0,20.0,,,1.0,4.0,521.0,0.0,456.0,129.0,165.0,2556.0
2005/02/28,0.0,0.0,242.0,,42.0,844.0,207.0,13.0,125.0,119.0,20.0,,,2.0,4.0,521.0,0.0,467.0,130.0,166.0,2902.0
2005/03/31,1.0,0.0,367.0,,59.0,867.0,226.0,13.0,131.0,268.0,22.0,,,3.0,4.0,521.0,0.0,504.0,130.0,167.0,3283.0
2005/04/30,1.0,0.0,368.0,,66.0,890.0,246.0,13.0,132.0,674.0,23.0,,,3.0,4.0,526.0,0.0,609.0,141.0,180.0,3876.0
2005/05/31,1.0,1.0,374.0,,93.0,944.0,337.0,13.0,133.0,1126.0,29.0,,1.0,7.0,4.0,531.0,0.0,649.0,201.0,183.0,4627.0
2005/06/23,,,,,,,,,,,,,,,,,,,,,
2005/06/30,1.0,1.0,380.0,,144.0,956.0,604.0,13.0,139.0,1230.0,30.0,,1.0,7.0,5.0,531.0,0.0,699.0,410.0,187.0,5338.0
2005/07/31,1.0,1.0,395.0,,144.0,968.0,687.0,13.0,143.0,1387.0,30.0,,1.0,8.0,5.0,531.0,0.0,804.0,592.0,198.0,5908.0
2005/08/31,1.0,1.0,396.0,,144.0,979.0,703.0,13.0,158.0,1408.0,43.0,,1.0,8.0,5.0,532.0,0.0,1063.0,898.0,389.0,6742.0
2005/09/30,1.0,1.0,408.0,,145.0,990.0,749.0,13.0,193.0,1416.0,49.0,,1.0,22.0,5.0,533.0,0.0,1305.0,1267.0,427.0,7525.0
