date,Other,bot,total
2002/06/30,1.0,,1.0
2002/07/31,,,
2002/08/31,,,
2002/09/30,,,
2002/10/31,,,
2002/11/30,,,
2002/12/31,,,
2003/01/31,,,
2003/02/28,,,
2003/03/31,,,
2003/04/30,,,
2003/05/31,,,
2003/06/30,,,
2003/07/31,,,
2003/08/31,,,
2003/09/30,,,
2003/10/31,,,
2003/11/30,,,
2003/12/31,1.0,,1.0
2004/01/31,2.0,,2.0
2004/02/29,1.0,,1.0
2004/03/31,2.0,,2.0
2004/04/30,,,
2004/05/31,,,
2004/06/30,2.0,,2.0
2004/07/31,3.0,,3.0
2004/08/31,,,
2004/09/30,5.0,,5.0
2004/10/31,3.0,,3.0
2004/11/30,5.0,,5.0
2004/12/31,2.0,,2.0
2005/01/31,3.0,,3.0
2005/02/28,1.0,,1.0
2005/03/31,4.0,,4.0
2005/04/30,,,
2005/05/31,,,
2005/06/30,8.0,,8.0
2005/07/31,3.0,,3.0
2005/08/31,,,
2005/09/30,,,
2005/10/31,4.0,,4.0
2005/11/30,1.0,,1.0
2005/12/31,9.0,,9.0
2006/01/31,,,
2006/02/28,2.0,,2.0
2006/03/31,3.0,,3.0
2006/04/30,2.0,,2.0
2006/05/31,3.0,,3.0
2006/06/30,7.0,,7.0
2006/07/31,2.0,,2.0
2006/08/31,10.0,,10.0
2006/09/30,7.0,,7.0
2006/10/31,2.0,,2.0
2006/11/30,22.0,,22.0
2006/12/31,71.0,,71.0
2007/01/31,129.0,,129.0
2007/02/28,31.0,,31.0
2007/03/31,47.0,,47.0
2007/04/30,18.0,,18.0
2007/05/31,345.0,2.0,347.0
2007/06/30,85.0,6.0,91.0
2007/07/31,34.0,2.0,36.0
2007/08/31,9.0,16.0,25.0
2007/09/30,6.0,51.0,57.0
2007/10/31,50.0,61.0,111.0
2007/11/30,7.0,55.0,62.0
2007/12/31,8.0,38.0,46.0
2008/01/31,57.0,42.0,99.0
2008/02/29,44.0,35.0,79.0
2008/03/31,19.0,21.0,40.0
2008/04/30,9.0,33.0,42.0
2008/05/31,66.0,36.0,102.0
2008/06/30,136.0,18.0,154.0
2008/07/31,241.0,17.0,258.0
2008/08/31,160.0,22.0,182.0
2008/09/30,46.0,26.0,72.0
2008/10/31,39.0,29.0,68.0
2008/11/30,60.0,7.0,67.0
2008/12/31,31.0,,31.0
2009/01/31,50.0,6.0,56.0
2009/02/28,42.0,2.0,44.0
2009/03/31,96.0,15.0,111.0
2009/04/30,47.0,5.0,52.0
2009/05/31,62.0,11.0,73.0
2009/06/30,142.0,13.0,155.0
2009/07/31,160.0,10.0,170.0
2009/08/31,103.0,46.0,149.0
2009/09/30,49.0,24.0,73.0
2009/10/31,75.0,10.0,85.0
2009/11/30,60.0,16.0,76.0
2009/12/31,80.0,27.0,107.0
2010/01/31,48.0,5.0,53.0
2010/02/28,43.0,18.0,61.0
2010/03/31,62.0,21.0,83.0
2010/04/30,36.0,6.0,42.0
2010/05/31,90.0,6.0,96.0
2010/06/30,418.0,9.0,427.0
2010/07/31,105.0,6.0,111.0
2010/08/31,76.0,12.0,88.0
2010/09/30,61.0,10.0,71.0
2010/10/31,67.0,4.0,71.0
2010/11/30,611.0,14.0,625.0
2010/12/31,312.0,5.0,317.0
2011/01/31,196.0,5.0,201.0
2011/02/28,247.0,,247.0
2011/03/31,277.0,,277.0
2011/04/30,106.0,,106.0
2011/05/31,153.0,1.0,154.0
2011/06/30,379.0,,379.0
2011/07/31,541.0,,541.0
2011/08/31,1026.0,,1026.0
2011/09/30,1156.0,,1156.0
2011/10/31,928.0,,928.0
2011/11/30,1199.0,,1199.0
2011/12/31,3181.0,,3181.0
2012/01/31,2374.0,,2374.0
2012/02/29,2553.0,848.0,3401.0
2012/03/31,2695.0,8666.0,11361.0
2012/04/30,2276.0,,2276.0
2012/05/31,1268.0,,1268.0
2012/06/30,2409.0,,2409.0
2012/07/31,1648.0,,1648.0
2012/08/31,1730.0,,1730.0
2012/09/30,2427.0,,2427.0
2012/10/31,3026.0,,3026.0
2012/11/30,1845.0,,1845.0
2012/12/31,2306.0,,2306.0
2013/01/31,2341.0,5.0,2346.0
2013/02/28,1161.0,,1161.0
