date,Other,bot,total
2003/02/28,1.0,,1.0
2003/03/31,,,
2003/04/30,,,
2003/05/31,,,
2003/06/30,,,
2003/07/31,,,
2003/08/31,,,
2003/09/30,,,
2003/10/31,,,
2003/11/30,,,
2003/12/31,1.0,,1.0
2004/01/31,,,
2004/02/29,,,
2004/03/31,2.0,,2.0
2004/04/30,,,
2004/05/31,,,
2004/06/30,2.0,,2.0
2004/07/31,,,
2004/08/31,,,
2004/09/30,2.0,,2.0
2004/10/31,,,
2004/11/30,2.0,,2.0
2004/12/31,2.0,,2.0
2005/01/31,,,
2005/02/28,,,
2005/03/31,,,
2005/04/30,,,
2005/05/31,1.0,,1.0
2005/06/30,,,
2005/07/31,2.0,,2.0
2005/08/31,5.0,,5.0
2005/09/30,,,
2005/10/31,3.0,,3.0
2005/11/30,33.0,,33.0
2005/12/31,44.0,,44.0
2006/01/31,6.0,,6.0
2006/02/28,,,
2006/03/31,4.0,,4.0
2006/04/30,5.0,,5.0
2006/05/31,17.0,,17.0
2006/06/30,,,
2006/07/31,8.0,,8.0
2006/08/31,1.0,,1.0
2006/09/30,19.0,1.0,20.0
2006/10/31,36.0,,36.0
2006/11/30,8.0,,8.0
2006/12/31,204.0,9.0,213.0
2007/01/31,13.0,7.0,20.0
2007/02/28,8.0,5.0,13.0
2007/03/31,423.0,10.0,433.0
2007/04/30,1700.0,1.0,1701.0
2007/05/31,23.0,4.0,27.0
2007/06/30,10.0,5.0,15.0
2007/07/31,50.0,,50.0
2007/08/31,14.0,126.0,140.0
2007/09/30,43.0,105.0,148.0
2007/10/31,34.0,4337.0,4371.0
2007/11/30,8.0,1602.0,1610.0
2007/12/31,80.0,3162.0,3242.0
2008/01/31,26.0,249.0,275.0
2008/02/29,19.0,2323.0,2342.0
2008/03/31,76.0,353.0,429.0
2008/04/30,122.0,1209.0,1331.0
2008/05/31,156.0,1534.0,1690.0
2008/06/30,229.0,816.0,1045.0
2008/07/31,72.0,1113.0,1185.0
2008/08/31,16.0,365.0,381.0
2008/09/30,17.0,258.0,275.0
2008/10/31,83.0,1874.0,1957.0
2008/11/30,78.0,142.0,220.0
2008/12/31,265.0,190.0,455.0
2009/01/31,1137.0,2137.0,3274.0
2009/02/28,156.0,882.0,1038.0
2009/03/31,114.0,764.0,878.0
2009/04/30,1564.0,1510.0,3074.0
2009/05/31,1232.0,1341.0,2573.0
2009/06/30,584.0,274.0,858.0
2009/07/31,2923.0,1225.0,4148.0
2009/08/31,1059.0,351.0,1410.0
2009/09/30,429.0,241.0,670.0
2009/10/31,480.0,171.0,651.0
2009/11/30,172.0,147.0,319.0
2009/12/31,195.0,406.0,601.0
2010/01/31,312.0,543.0,855.0
2010/02/28,105.0,2649.0,2754.0
2010/03/31,204.0,836.0,1040.0
2010/04/30,501.0,2801.0,3302.0
2010/05/31,569.0,1394.0,1963.0
2010/06/30,419.0,2417.0,2836.0
2010/07/31,382.0,467.0,849.0
2010/08/31,1321.0,972.0,2293.0
2010/09/30,2501.0,1946.0,4447.0
2010/10/31,274.0,194.0,468.0
2010/11/30,282.0,85.0,367.0
2010/12/31,329.0,136.0,465.0
2011/01/31,1295.0,1099.0,2394.0
2011/02/28,343.0,594.0,937.0
2011/03/31,589.0,2280.0,2869.0
2011/04/30,192.0,73.0,265.0
2011/05/31,267.0,322.0,589.0
2011/06/30,1208.0,221.0,1429.0
2011/07/31,543.0,146.0,689.0
2011/08/31,572.0,383.0,955.0
2011/09/30,1011.0,903.0,1914.0
2011/10/31,2087.0,748.0,2835.0
2011/11/30,329.0,390.0,719.0
2011/12/31,274.0,184.0,458.0
2012/01/31,274.0,109.0,383.0
2012/02/29,299.0,19.0,318.0
2012/03/31,381.0,78.0,459.0
2012/04/30,673.0,40.0,713.0
2012/05/31,997.0,1.0,998.0
2012/06/30,312.0,4.0,316.0
2012/07/31,525.0,2.0,527.0
2012/08/31,231.0,3.0,234.0
2012/09/30,271.0,4.0,275.0
2012/10/31,1122.0,53.0,1175.0
2012/11/30,281.0,1.0,282.0
2012/12/31,1203.0,,1203.0
2013/01/31,2609.0,374.0,2983.0
2013/02/28,518.0,659.0,1177.0
