date,Other,bot,total
2004/01/31,2.0,,2.0
2004/02/29,9.0,,9.0
2004/03/31,5.0,,5.0
2004/04/30,12.0,,12.0
2004/05/31,15.0,,15.0
2004/06/30,5.0,,5.0
2004/07/31,1.0,,1.0
2004/08/31,4.0,,4.0
2004/09/30,10.0,,10.0
2004/10/31,8.0,,8.0
2004/11/30,46.0,,46.0
2004/12/31,29.0,,29.0
2005/01/31,3.0,,3.0
2005/02/28,374.0,,374.0
2005/03/31,278.0,,278.0
2005/04/30,32.0,,32.0
2005/05/31,46.0,,46.0
2005/06/30,278.0,,278.0
2005/07/31,249.0,27.0,276.0
2005/08/31,47.0,225.0,272.0
2005/09/30,45.0,28.0,73.0
2005/10/31,46.0,155.0,201.0
2005/11/30,43.0,226.0,269.0
2005/12/31,16.0,132.0,148.0
2006/01/31,60.0,1.0,61.0
2006/02/28,45.0,,45.0
2006/03/31,222.0,239.0,461.0
2006/04/30,2186.0,444.0,2630.0
2006/05/31,1859.0,322.0,2181.0
2006/06/30,4224.0,472.0,4696.0
2006/07/31,4191.0,1490.0,5681.0
2006/08/31,9168.0,1344.0,10512.0
2006/09/30,6385.0,4702.0,11087.0
2006/10/31,2825.0,8082.0,10907.0
2006/11/30,3506.0,1848.0,5354.0
2006/12/31,1933.0,4491.0,6424.0
2007/01/31,1038.0,7029.0,8067.0
2007/02/28,1690.0,5787.0,7477.0
2007/03/31,1487.0,6478.0,7965.0
2007/04/30,1798.0,4705.0,6503.0
2007/05/31,1678.0,5618.0,7296.0
2007/06/30,2378.0,4452.0,6830.0
2007/07/31,1639.0,1729.0,3368.0
2007/08/31,997.0,4175.0,5172.0
2007/09/30,1754.0,5560.0,7314.0
2007/10/31,1660.0,12200.0,13860.0
2007/11/30,1765.0,6964.0,8729.0
2007/12/31,2002.0,6372.0,8374.0
2008/01/31,2408.0,3516.0,5924.0
2008/02/29,1873.0,5714.0,7587.0
2008/03/31,2021.0,4084.0,6105.0
2008/04/30,1657.0,6187.0,7844.0
2008/05/31,1263.0,6457.0,7720.0
2008/06/30,1091.0,7347.0,8438.0
2008/07/31,1959.0,5361.0,7320.0
2008/08/31,2983.0,7555.0,10538.0
2008/09/30,1352.0,4229.0,5581.0
2008/10/31,1581.0,5808.0,7389.0
2008/11/30,2404.0,4182.0,6586.0
2008/12/31,2374.0,5463.0,7837.0
2009/01/31,2080.0,7463.0,9543.0
2009/02/28,2440.0,4755.0,7195.0
2009/03/31,1833.0,5079.0,6912.0
2009/04/30,1341.0,6829.0,8170.0
2009/05/31,1900.0,6720.0,8620.0
2009/06/30,2582.0,9388.0,11970.0
2009/07/31,2204.0,7915.0,10119.0
2009/08/31,2851.0,7307.0,10158.0
2009/09/30,2693.0,5147.0,7840.0
2009/10/31,3179.0,5459.0,8638.0
2009/11/30,3118.0,5908.0,9026.0
2009/12/31,3520.0,5235.0,8755.0
2010/01/31,2704.0,5140.0,7844.0
2010/02/28,3481.0,9956.0,13437.0
2010/03/31,3527.0,10827.0,14354.0
2010/04/30,2397.0,10031.0,12428.0
2010/05/31,997.0,5952.0,6949.0
2010/06/30,1692.0,8281.0,9973.0
2010/07/31,3221.0,5957.0,9178.0
2010/08/31,2367.0,11486.0,13853.0
2010/09/30,3635.0,9559.0,13194.0
2010/10/31,2569.0,17370.0,19939.0
2010/11/30,2967.0,13234.0,16201.0
2010/12/31,2592.0,111004.0,113596.0
2011/01/31,2481.0,8673.0,11154.0
2011/02/28,2721.0,6354.0,9075.0
2011/03/31,2276.0,8926.0,11202.0
2011/04/30,2971.0,5631.0,8602.0
2011/05/31,2419.0,14987.0,17406.0
2011/06/30,2359.0,6443.0,8802.0
2011/07/31,2054.0,5761.0,7815.0
2011/08/31,2425.0,5765.0,8190.0
2011/09/30,2244.0,6818.0,9062.0
2011/10/31,3028.0,7171.0,10199.0
2011/11/30,3401.0,5460.0,8861.0
2011/12/31,4964.0,5367.0,10331.0
2012/01/31,4854.0,5271.0,10125.0
2012/02/29,3536.0,5100.0,8636.0
2012/03/31,5438.0,6180.0,11618.0
2012/04/30,3894.0,5141.0,9035.0
2012/05/31,3570.0,6083.0,9653.0
2012/06/30,2923.0,10666.0,13589.0
2012/07/31,3072.0,5550.0,8622.0
2012/08/31,4129.0,5496.0,9625.0
2012/09/30,3658.0,4003.0,7661.0
2012/10/31,3331.0,8108.0,11439.0
2012/11/30,3950.0,4625.0,8575.0
2012/12/31,4317.0,7244.0,11561.0
2013/01/31,5582.0,9110.0,14692.0
2013/02/28,1988.0,4321.0,6309.0
