date,Other,bot,total
2003/12/31,1.0,,1.0
2004/01/31,2.0,,2.0
2004/02/29,2.0,,2.0
2004/03/31,5.0,,5.0
2004/04/30,3.0,,3.0
2004/05/31,1.0,,1.0
2004/06/30,1.0,,1.0
2004/07/31,14.0,,14.0
2004/08/31,11.0,,11.0
2004/09/30,66.0,,66.0
2004/10/31,58.0,,58.0
2004/11/30,67.0,,67.0
2004/12/31,54.0,,54.0
2005/01/31,48.0,,48.0
2005/02/28,24.0,,24.0
2005/03/31,98.0,,98.0
2005/04/30,84.0,,84.0
2005/05/31,387.0,,387.0
2005/06/30,458.0,,458.0
2005/07/31,32.0,10.0,42.0
2005/08/31,15.0,5.0,20.0
2005/09/30,26.0,3.0,29.0
2005/10/31,11.0,4.0,15.0
2005/11/30,24.0,,24.0
2005/12/31,193.0,,193.0
2006/01/31,217.0,1.0,218.0
2006/02/28,26.0,,26.0
2006/03/31,33.0,96.0,129.0
2006/04/30,24.0,127.0,151.0
2006/05/31,53.0,73.0,126.0
2006/06/30,18.0,112.0,130.0
2006/07/31,25.0,105.0,130.0
2006/08/31,28.0,50.0,78.0
2006/09/30,32.0,15.0,47.0
2006/10/31,61.0,9.0,70.0
2006/11/30,20.0,24.0,44.0
2006/12/31,68.0,262.0,330.0
2007/01/31,28.0,234.0,262.0
2007/02/28,134.0,142.0,276.0
2007/03/31,299.0,204.0,503.0
2007/04/30,328.0,59.0,387.0
2007/05/31,200.0,202.0,402.0
2007/06/30,103.0,130.0,233.0
2007/07/31,48.0,25.0,73.0
2007/08/31,62.0,167.0,229.0
2007/09/30,188.0,157.0,345.0
2007/10/31,215.0,277.0,492.0
2007/11/30,117.0,288.0,405.0
2007/12/31,212.0,250.0,462.0
2008/01/31,253.0,207.0,460.0
2008/02/29,280.0,209.0,489.0
2008/03/31,377.0,193.0,570.0
2008/04/30,305.0,211.0,516.0
2008/05/31,948.0,265.0,1213.0
2008/06/30,673.0,452.0,1125.0
2008/07/31,772.0,1091.0,1863.0
2008/08/31,1188.0,709.0,1897.0
2008/09/30,580.0,255.0,835.0
2008/10/31,541.0,237.0,778.0
2008/11/30,526.0,363.0,889.0
2008/12/31,409.0,214.0,623.0
2009/01/31,608.0,201.0,809.0
2009/02/28,592.0,180.0,772.0
2009/03/31,1418.0,219.0,1637.0
2009/04/30,2509.0,304.0,2813.0
2009/05/31,1702.0,3722.0,5424.0
2009/06/30,1527.0,471.0,1998.0
2009/07/31,1735.0,488.0,2223.0
2009/08/31,2682.0,789.0,3471.0
2009/09/30,2878.0,461.0,3339.0
2009/10/31,2938.0,429.0,3367.0
2009/11/30,2654.0,632.0,3286.0
2009/12/31,3185.0,665.0,3850.0
2010/01/31,3596.0,646.0,4242.0
2010/02/28,3884.0,495.0,4379.0
2010/03/31,4477.0,730.0,5207.0
2010/04/30,3617.0,678.0,4295.0
2010/05/31,3808.0,275.0,4083.0
2010/06/30,3259.0,367.0,3626.0
2010/07/31,3201.0,302.0,3503.0
2010/08/31,4214.0,3991.0,8205.0
2010/09/30,3504.0,320.0,3824.0
2010/10/31,3863.0,213.0,4076.0
2010/11/30,3540.0,317.0,3857.0
2010/12/31,3266.0,325.0,3591.0
2011/01/31,3885.0,564.0,4449.0
2011/02/28,2661.0,464.0,3125.0
2011/03/31,3557.0,575.0,4132.0
2011/04/30,3192.0,293.0,3485.0
2011/05/31,4072.0,996.0,5068.0
2011/06/30,3172.0,216.0,3388.0
2011/07/31,3455.0,185.0,3640.0
2011/08/31,2703.0,227.0,2930.0
2011/09/30,3185.0,441.0,3626.0
2011/10/31,2738.0,235.0,2973.0
2011/11/30,2807.0,318.0,3125.0
2011/12/31,2996.0,809.0,3805.0
2012/01/31,2886.0,357.0,3243.0
2012/02/29,2087.0,202.0,2289.0
2012/03/31,1704.0,171.0,1875.0
2012/04/30,2081.0,163.0,2244.0
2012/05/31,2704.0,44.0,2748.0
2012/06/30,3412.0,40.0,3452.0
2012/07/31,2229.0,799.0,3028.0
2012/08/31,1841.0,54.0,1895.0
2012/09/30,2102.0,220.0,2322.0
2012/10/31,2494.0,9256.0,11750.0
2012/11/30,2252.0,10156.0,12408.0
2012/12/31,3873.0,442.0,4315.0
2013/01/31,2785.0,467.0,3252.0
2013/02/28,1603.0,39.0,1642.0
