date,Other,bot,total
2003/07/31,214.0,,214.0
2003/08/31,169.0,,169.0
2003/09/30,17.0,,17.0
2003/10/31,10.0,,10.0
2003/11/30,4.0,,4.0
2003/12/31,13.0,,13.0
2004/01/31,11.0,,11.0
2004/02/29,165.0,,165.0
2004/03/31,68.0,,68.0
2004/04/30,11.0,,11.0
2004/05/31,36.0,,36.0
2004/06/30,141.0,,141.0
2004/07/31,264.0,,264.0
2004/08/31,138.0,,138.0
2004/09/30,57.0,,57.0
2004/10/31,221.0,,221.0
2004/11/30,87.0,89.0,176.0
2004/12/31,1146.0,,1146.0
2005/01/31,1557.0,1.0,1558.0
2005/02/28,424.0,145.0,569.0
2005/03/31,219.0,,219.0
2005/04/30,192.0,1.0,193.0
2005/05/31,183.0,,183.0
2005/06/30,182.0,,182.0
2005/07/31,153.0,44.0,197.0
2005/08/31,162.0,28.0,190.0
2005/09/30,140.0,,140.0
2005/10/31,376.0,,376.0
2005/11/30,137.0,,137.0
2005/12/31,352.0,190.0,542.0
2006/01/31,265.0,5.0,270.0
2006/02/28,399.0,,399.0
2006/03/31,832.0,342.0,1174.0
2006/04/30,261.0,542.0,803.0
2006/05/31,376.0,351.0,727.0
2006/06/30,551.0,454.0,1005.0
2006/07/31,902.0,485.0,1387.0
2006/08/31,1058.0,501.0,1559.0
2006/09/30,2099.0,212.0,2311.0
2006/10/31,2800.0,397.0,3197.0
2006/11/30,2507.0,586.0,3093.0
2006/12/31,1638.0,821.0,2459.0
2007/01/31,4006.0,1786.0,5792.0
2007/02/28,3785.0,1195.0,4980.0
2007/03/31,4132.0,6935.0,11067.0
2007/04/30,2031.0,3355.0,5386.0
2007/05/31,3542.0,4756.0,8298.0
2007/06/30,3131.0,3864.0,6995.0
2007/07/31,2353.0,1948.0,4301.0
2007/08/31,2710.0,4452.0,7162.0
2007/09/30,2391.0,4719.0,7110.0
2007/10/31,2795.0,7438.0,10233.0
2007/11/30,2850.0,4597.0,7447.0
2007/12/31,2476.0,4765.0,7241.0
2008/01/31,3479.0,2575.0,6054.0
2008/02/29,3546.0,4597.0,8143.0
2008/03/31,3932.0,3326.0,7258.0
2008/04/30,3975.0,4042.0,8017.0
2008/05/31,4624.0,4489.0,9113.0
2008/06/30,3426.0,5310.0,8736.0
2008/07/31,3097.0,4066.0,7163.0
2008/08/31,3393.0,6311.0,9704.0
2008/09/30,3200.0,3031.0,6231.0
2008/10/31,4427.0,4513.0,8940.0
2008/11/30,5003.0,3642.0,8645.0
2008/12/31,4258.0,4700.0,8958.0
2009/01/31,3544.0,5655.0,9199.0
2009/02/28,6043.0,4733.0,10776.0
2009/03/31,7709.0,3853.0,11562.0
2009/04/30,8656.0,5269.0,13925.0
2009/05/31,11131.0,5215.0,16346.0
2009/06/30,6049.0,4331.0,10380.0
2009/07/31,7490.0,6935.0,14425.0
2009/08/31,11784.0,5601.0,17385.0
2009/09/30,12636.0,12175.0,24811.0
2009/10/31,7558.0,4599.0,12157.0
2009/11/30,6655.0,4269.0,10924.0
2009/12/31,6454.0,5052.0,11506.0
2010/01/31,5702.0,4680.0,10382.0
2010/02/28,4592.0,6972.0,11564.0
2010/03/31,4139.0,5370.0,9509.0
2010/04/30,5480.0,6623.0,12103.0
2010/05/31,6968.0,4710.0,11678.0
2010/06/30,7418.0,6028.0,13446.0
2010/07/31,30180.0,3802.0,33982.0
2010/08/31,23900.0,5281.0,29181.0
2010/09/30,44507.0,6086.0,50593.0
2010/10/31,6294.0,3907.0,10201.0
2010/11/30,5886.0,3428.0,9314.0
2010/12/31,6234.0,3203.0,9437.0
2011/01/31,43801.0,5855.0,49656.0
2011/02/28,5631.0,3701.0,9332.0
2011/03/31,17729.0,6025.0,23754.0
2011/04/30,65656.0,3655.0,69311.0
2011/05/31,67252.0,4195.0,71447.0
2011/06/30,8834.0,28701.0,37535.0
2011/07/31,10781.0,3488.0,14269.0
2011/08/31,48768.0,3366.0,52134.0
2011/09/30,110547.0,3992.0,114539.0
2011/10/31,12392.0,10988.0,23380.0
2011/11/30,6820.0,8117.0,14937.0
2011/12/31,49087.0,28845.0,77932.0
2012/01/31,9784.0,7944.0,17728.0
2012/02/29,8956.0,3591.0,12547.0
2012/03/31,10545.0,3034.0,13579.0
2012/04/30,8818.0,2493.0,11311.0
2012/05/31,8814.0,3106.0,11920.0
2012/06/30,9871.0,3795.0,13666.0
2012/07/31,9725.0,3712.0,13437.0
2012/08/31,8539.0,2952.0,11491.0
2012/09/30,8255.0,2949.0,11204.0
2012/10/31,8695.0,12770.0,21465.0
2012/11/30,8532.0,9000.0,17532.0
2012/12/31,6900.0,4244.0,11144.0
2013/01/31,6877.0,5705.0,12582.0
2013/02/28,3161.0,25101.0,28262.0
