date,Other,bot,total
2003/06/30,1.0,,1.0
2003/07/31,,,
2003/08/31,,,
2003/09/30,,,
2003/10/31,,,
2003/11/30,,,
2003/12/31,1.0,,1.0
2004/01/31,2.0,,2.0
2004/02/29,2.0,,2.0
2004/03/31,,,
2004/04/30,,,
2004/05/31,,,
2004/06/30,1.0,,1.0
2004/07/31,11.0,,11.0
2004/08/31,23.0,,23.0
2004/09/30,68.0,,68.0
2004/10/31,127.0,,127.0
2004/11/30,501.0,13.0,514.0
2004/12/31,319.0,,319.0
2005/01/31,36.0,,36.0
2005/02/28,139.0,1.0,140.0
2005/03/31,114.0,,114.0
2005/04/30,189.0,,189.0
2005/05/31,450.0,,450.0
2005/06/30,968.0,,968.0
2005/07/31,289.0,,289.0
2005/08/31,83.0,165.0,248.0
2005/09/30,238.0,,238.0
2005/10/31,202.0,5.0,207.0
2005/11/30,199.0,,199.0
2005/12/31,183.0,1.0,184.0
2006/01/31,375.0,,375.0
2006/02/28,176.0,,176.0
2006/03/31,719.0,,719.0
2006/04/30,1038.0,,1038.0
2006/05/31,757.0,1.0,758.0
2006/06/30,1927.0,1.0,1928.0
2006/07/31,2182.0,9.0,2191.0
2006/08/31,3195.0,27.0,3222.0
2006/09/30,2085.0,76.0,2161.0
2006/10/31,1371.0,90.0,1461.0
2006/11/30,1075.0,503.0,1578.0
2006/12/31,756.0,301.0,1057.0
2007/01/31,649.0,844.0,1493.0
2007/02/28,301.0,457.0,758.0
2007/03/31,418.0,715.0,1133.0
2007/04/30,402.0,276.0,678.0
2007/05/31,370.0,644.0,1014.0
2007/06/30,353.0,574.0,927.0
2007/07/31,343.0,292.0,635.0
2007/08/31,373.0,825.0,1198.0
2007/09/30,818.0,1033.0,1851.0
2007/10/31,793.0,1572.0,2365.0
2007/11/30,968.0,1675.0,2643.0
2007/12/31,860.0,1238.0,2098.0
2008/01/31,793.0,925.0,1718.0
2008/02/29,932.0,760.0,1692.0
2008/03/31,599.0,1228.0,1827.0
2008/04/30,697.0,1410.0,2107.0
2008/05/31,756.0,1402.0,2158.0
2008/06/30,662.0,1889.0,2551.0
2008/07/31,1212.0,1633.0,2845.0
2008/08/31,782.0,1661.0,2443.0
2008/09/30,1052.0,1040.0,2092.0
2008/10/31,960.0,957.0,1917.0
2008/11/30,1006.0,994.0,2000.0
2008/12/31,1187.0,760.0,1947.0
2009/01/31,1660.0,1293.0,2953.0
2009/02/28,1394.0,613.0,2007.0
2009/03/31,1588.0,832.0,2420.0
2009/04/30,1459.0,930.0,2389.0
2009/05/31,1556.0,1114.0,2670.0
2009/06/30,1410.0,1170.0,2580.0
2009/07/31,2521.0,2007.0,4528.0
2009/08/31,2300.0,1675.0,3975.0
2009/09/30,2116.0,1250.0,3366.0
2009/10/31,2358.0,1111.0,3469.0
2009/11/30,1601.0,1227.0,2828.0
2009/12/31,1724.0,1333.0,3057.0
2010/01/31,1592.0,1238.0,2830.0
2010/02/28,2060.0,1310.0,3370.0
2010/03/31,1975.0,1525.0,3500.0
2010/04/30,3016.0,1072.0,4088.0
2010/05/31,2586.0,629.0,3215.0
2010/06/30,2850.0,1043.0,3893.0
2010/07/31,2297.0,953.0,3250.0
2010/08/31,3343.0,1428.0,4771.0
2010/09/30,3178.0,913.0,4091.0
2010/10/31,3783.0,497.0,4280.0
2010/11/30,3331.0,594.0,3925.0
2010/12/31,3310.0,675.0,3985.0
2011/01/31,3632.0,1268.0,4900.0
2011/02/28,2905.0,1041.0,3946.0
2011/03/31,3813.0,1871.0,5684.0
2011/04/30,3302.0,1093.0,4395.0
2011/05/31,3322.0,1663.0,4985.0
2011/06/30,3328.0,429.0,3757.0
2011/07/31,3347.0,408.0,3755.0
2011/08/31,3215.0,263.0,3478.0
2011/09/30,2986.0,939.0,3925.0
2011/10/31,2786.0,743.0,3529.0
2011/11/30,3001.0,1063.0,4064.0
2011/12/31,2486.0,1226.0,3712.0
2012/01/31,3022.0,905.0,3927.0
2012/02/29,3141.0,605.0,3746.0
2012/03/31,3609.0,331.0,3940.0
2012/04/30,4394.0,245.0,4639.0
2012/05/31,3953.0,137.0,4090.0
2012/06/30,4638.0,152.0,4790.0
2012/07/31,3536.0,143.0,3679.0
2012/08/31,3017.0,101.0,3118.0
2012/09/30,2754.0,123.0,2877.0
2012/10/31,3570.0,197.0,3767.0
2012/11/30,2968.0,104.0,3072.0
2012/12/31,3859.0,141.0,4000.0
2013/01/31,3534.0,111.0,3645.0
2013/02/28,1716.0,115.0,1831.0
