date,Other,bot,total
2003/07/31,1.0,,1.0
2003/08/31,,,
2003/09/30,,,
2003/10/31,,,
2003/11/30,,,
2003/12/31,1.0,,1.0
2004/01/31,2.0,,2.0
2004/02/29,2.0,,2.0
2004/03/31,3.0,,3.0
2004/04/30,2.0,,2.0
2004/05/31,1.0,,1.0
2004/06/30,20.0,,20.0
2004/07/31,2.0,,2.0
2004/08/31,5.0,,5.0
2004/09/30,25.0,,25.0
2004/10/31,123.0,,123.0
2004/11/30,26.0,,26.0
2004/12/31,3.0,,3.0
2005/01/31,10.0,,10.0
2005/02/28,,,
2005/03/31,,,
2005/04/30,1.0,,1.0
2005/05/31,,,
2005/06/30,,,
2005/07/31,,,
2005/08/31,,,
2005/09/30,,,
2005/10/31,4.0,,4.0
2005/11/30,2.0,,2.0
2005/12/31,13.0,,13.0
2006/01/31,1.0,,1.0
2006/02/28,,,
2006/03/31,,,
2006/04/30,,,
2006/05/31,,,
2006/06/30,,,
2006/07/31,12.0,,12.0
2006/08/31,1.0,,1.0
2006/09/30,,,
2006/10/31,1.0,,1.0
2006/11/30,1.0,,1.0
2006/12/31,3.0,,3.0
2007/01/31,5.0,,5.0
2007/02/28,4.0,,4.0
2007/03/31,3.0,,3.0
2007/04/30,1.0,4.0,5.0
2007/05/31,4.0,,4.0
2007/06/30,4.0,,4.0
2007/07/31,2.0,,2.0
2007/08/31,,5.0,5.0
2007/09/30,2.0,7.0,9.0
2007/10/31,1.0,5.0,6.0
2007/11/30,9.0,3.0,12.0
2007/12/31,,4.0,4.0
2008/01/31,,2.0,2.0
2008/02/29,1.0,10.0,11.0
2008/03/31,4.0,2.0,6.0
2008/04/30,1.0,4.0,5.0
2008/05/31,6.0,4.0,10.0
2008/06/30,6.0,1.0,7.0
2008/07/31,8.0,,8.0
2008/08/31,9.0,4.0,13.0
2008/09/30,1.0,11.0,12.0
2008/10/31,,3.0,3.0
2008/11/30,9.0,2.0,11.0
2008/12/31,10.0,,10.0
2009/01/31,11.0,,11.0
2009/02/28,15.0,,15.0
2009/03/31,4.0,,4.0
2009/04/30,16.0,,16.0
2009/05/31,19.0,7.0,26.0
2009/06/30,20.0,4.0,24.0
2009/07/31,13.0,4.0,17.0
2009/08/31,15.0,4.0,19.0
2009/09/30,14.0,2.0,16.0
2009/10/31,16.0,2.0,18.0
2009/11/30,19.0,4.0,23.0
2009/12/31,5.0,4.0,9.0
2010/01/31,5.0,1.0,6.0
2010/02/28,10.0,3.0,13.0
2010/03/31,9.0,3.0,12.0
2010/04/30,11.0,1.0,12.0
2010/05/31,14.0,1.0,15.0
2010/06/30,14.0,2.0,16.0
2010/07/31,11.0,1.0,12.0
2010/08/31,10.0,3.0,13.0
2010/09/30,4.0,,4.0
2010/10/31,14.0,,14.0
2010/11/30,8.0,1.0,9.0
2010/12/31,6.0,1.0,7.0
2011/01/31,16.0,,16.0
2011/02/28,9.0,,9.0
2011/03/31,13.0,,13.0
2011/04/30,12.0,,12.0
2011/05/31,19.0,,19.0
2011/06/30,22.0,,22.0
2011/07/31,16.0,,16.0
2011/08/31,10.0,,10.0
2011/09/30,11.0,,11.0
2011/10/31,184.0,1.0,185.0
2011/11/30,181.0,5.0,186.0
2011/12/31,81.0,,81.0
2012/01/31,83.0,,83.0
2012/02/29,73.0,,73.0
2012/03/31,95.0,1.0,96.0
2012/04/30,73.0,,73.0
2012/05/31,80.0,,80.0
2012/06/30,73.0,,73.0
2012/07/31,70.0,,70.0
2012/08/31,66.0,,66.0
2012/09/30,121.0,,121.0
2012/10/31,165.0,,165.0
2012/11/30,71.0,,71.0
2012/12/31,53.0,,53.0
2013/01/31,54.0,,54.0
2013/02/28,35.0,,35.0
