date,Other,bot,total
2002/12/31,28.0,,28.0
2003/01/31,1.0,,1.0
2003/02/28,16.0,,16.0
2003/03/31,,,
2003/04/30,3.0,,3.0
2003/05/31,99.0,,99.0
2003/06/30,31.0,,31.0
2003/07/31,1.0,,1.0
2003/08/31,,,
2003/09/30,12.0,,12.0
2003/10/31,6.0,,6.0
2003/11/30,6.0,,6.0
2003/12/31,11.0,,11.0
2004/01/31,29.0,,29.0
2004/02/29,12.0,,12.0
2004/03/31,8.0,,8.0
2004/04/30,9.0,,9.0
2004/05/31,15.0,,15.0
2004/06/30,9.0,,9.0
2004/07/31,16.0,,16.0
2004/08/31,37.0,,37.0
2004/09/30,48.0,,48.0
2004/10/31,7.0,,7.0
2004/11/30,36.0,,36.0
2004/12/31,91.0,,91.0
2005/01/31,8.0,,8.0
2005/02/28,11.0,,11.0
2005/03/31,15.0,,15.0
2005/04/30,6.0,,6.0
2005/05/31,18.0,,18.0
2005/06/30,37.0,,37.0
2005/07/31,68.0,,68.0
2005/08/31,120.0,,120.0
2005/09/30,208.0,,208.0
2005/10/31,95.0,,95.0
2005/11/30,72.0,,72.0
2005/12/31,205.0,,205.0
2006/01/31,447.0,,447.0
2006/02/28,241.0,,241.0
2006/03/31,153.0,,153.0
2006/04/30,228.0,,228.0
2006/05/31,233.0,,233.0
2006/06/30,426.0,1.0,427.0
2006/07/31,510.0,10.0,520.0
2006/08/31,1506.0,8.0,1514.0
2006/09/30,1186.0,16.0,1202.0
2006/10/31,1898.0,114.0,2012.0
2006/11/30,1701.0,171.0,1872.0
2006/12/31,2917.0,160.0,3077.0
2007/01/31,2133.0,481.0,2614.0
2007/02/28,1854.0,233.0,2087.0
2007/03/31,4574.0,522.0,5096.0
2007/04/30,3461.0,120.0,3581.0
2007/05/31,3172.0,792.0,3964.0
2007/06/30,3390.0,940.0,4330.0
2007/07/31,3875.0,526.0,4401.0
2007/08/31,4732.0,1574.0,6306.0
2007/09/30,5913.0,2507.0,8420.0
2007/10/31,4654.0,3560.0,8214.0
2007/11/30,3961.0,2843.0,6804.0
2007/12/31,4329.0,2190.0,6519.0
2008/01/31,5489.0,2192.0,7681.0
2008/02/29,3769.0,1681.0,5450.0
2008/03/31,3810.0,1953.0,5763.0
2008/04/30,4885.0,3295.0,8180.0
2008/05/31,4712.0,2966.0,7678.0
2008/06/30,6583.0,3117.0,9700.0
2008/07/31,5057.0,3488.0,8545.0
2008/08/31,6956.0,4525.0,11481.0
2008/09/30,6104.0,3098.0,9202.0
2008/10/31,7907.0,4277.0,12184.0
2008/11/30,4567.0,3441.0,8008.0
2008/12/31,4007.0,2794.0,6801.0
2009/01/31,6379.0,4364.0,10743.0
2009/02/28,4055.0,3039.0,7094.0
2009/03/31,3761.0,3688.0,7449.0
2009/04/30,5280.0,3114.0,8394.0
2009/05/31,7491.0,11597.0,19088.0
2009/06/30,7623.0,3774.0,11397.0
2009/07/31,9730.0,3523.0,13253.0
2009/08/31,10447.0,4893.0,15340.0
2009/09/30,8390.0,3005.0,11395.0
2009/10/31,7897.0,4356.0,12253.0
2009/11/30,6958.0,5979.0,12937.0
2009/12/31,7448.0,3609.0,11057.0
2010/01/31,7646.0,3201.0,10847.0
2010/02/28,7003.0,19942.0,26945.0
2010/03/31,6793.0,3439.0,10232.0
2010/04/30,7978.0,14647.0,22625.0
2010/05/31,9072.0,4138.0,13210.0
2010/06/30,8377.0,2600.0,10977.0
2010/07/31,9290.0,2402.0,11692.0
2010/08/31,11479.0,2825.0,14304.0
2010/09/30,8852.0,6635.0,15487.0
2010/10/31,10575.0,2056.0,12631.0
2010/11/30,12944.0,3222.0,16166.0
2010/12/31,10262.0,2988.0,13250.0
2011/01/31,9916.0,4764.0,14680.0
2011/02/28,8160.0,3825.0,11985.0
2011/03/31,11223.0,4270.0,15493.0
2011/04/30,7004.0,3081.0,10085.0
2011/05/31,9908.0,3907.0,13815.0
2011/06/30,8914.0,2652.0,11566.0
2011/07/31,14752.0,2211.0,16963.0
2011/08/31,18709.0,2142.0,20851.0
2011/09/30,14169.0,2098.0,16267.0
2011/10/31,12716.0,2900.0,15616.0
2011/11/30,14848.0,5479.0,20327.0
2011/12/31,14221.0,3722.0,17943.0
2012/01/31,13114.0,3252.0,16366.0
2012/02/29,10733.0,2289.0,13022.0
2012/03/31,10904.0,2383.0,13287.0
2012/04/30,7739.0,2866.0,10605.0
2012/05/31,10444.0,3690.0,14134.0
2012/06/30,19308.0,892.0,20200.0
2012/07/31,17736.0,993.0,18729.0
2012/08/31,16241.0,1016.0,17257.0
2012/09/30,14067.0,896.0,14963.0
2012/10/31,14536.0,1016.0,15552.0
2012/11/30,11751.0,1183.0,12934.0
2012/12/31,19667.0,1665.0,21332.0
2013/01/31,21146.0,2812.0,23958.0
2013/02/28,8758.0,672.0,9430.0
