date,Other,bot,total
2003/05/31,4.0,,4.0
2003/06/30,,,
2003/07/31,,,
2003/08/31,,,
2003/09/30,,,
2003/10/31,1.0,,1.0
2003/11/30,,,
2003/12/31,,,
2004/01/31,3.0,,3.0
2004/02/29,1.0,,1.0
2004/03/31,5.0,,5.0
2004/04/30,,,
2004/05/31,1.0,,1.0
2004/06/30,16.0,,16.0
2004/07/31,45.0,,45.0
2004/08/31,16.0,,16.0
2004/09/30,111.0,,111.0
2004/10/31,62.0,,62.0
2004/11/30,107.0,,107.0
2004/12/31,9.0,,9.0
2005/01/31,231.0,,231.0
2005/02/28,86.0,,86.0
2005/03/31,363.0,,363.0
2005/04/30,661.0,,661.0
2005/05/31,751.0,,751.0
2005/06/30,368.0,,368.0
2005/07/31,595.0,4.0,599.0
2005/08/31,103.0,2.0,105.0
2005/09/30,98.0,20.0,118.0
2005/10/31,47.0,2.0,49.0
2005/11/30,381.0,1.0,382.0
2005/12/31,956.0,,956.0
2006/01/31,1641.0,,1641.0
2006/02/28,3056.0,,3056.0
2006/03/31,987.0,,987.0
2006/04/30,1774.0,,1774.0
2006/05/31,1811.0,,1811.0
2006/06/30,2568.0,2.0,2570.0
2006/07/31,3132.0,13.0,3145.0
2006/08/31,2135.0,35.0,2170.0
2006/09/30,1499.0,283.0,1782.0
2006/10/31,1461.0,246.0,1707.0
2006/11/30,2277.0,256.0,2533.0
2006/12/31,2613.0,266.0,2879.0
2007/01/31,2520.0,1544.0,4064.0
2007/02/28,2433.0,1535.0,3968.0
2007/03/31,2720.0,4522.0,7242.0
2007/04/30,3921.0,4957.0,8878.0
2007/05/31,3026.0,8423.0,11449.0
2007/06/30,2170.0,4895.0,7065.0
2007/07/31,2277.0,1348.0,3625.0
2007/08/31,5023.0,4742.0,9765.0
2007/09/30,5984.0,5624.0,11608.0
2007/10/31,4768.0,8563.0,13331.0
2007/11/30,4850.0,6794.0,11644.0
2007/12/31,6208.0,6112.0,12320.0
2008/01/31,2813.0,1773.0,4586.0
2008/02/29,2908.0,5298.0,8206.0
2008/03/31,2724.0,2815.0,5539.0
2008/04/30,2204.0,4088.0,6292.0
2008/05/31,3966.0,9600.0,13566.0
2008/06/30,3290.0,5416.0,8706.0
2008/07/31,2933.0,5104.0,8037.0
2008/08/31,2606.0,7779.0,10385.0
2008/09/30,2340.0,4455.0,6795.0
2008/10/31,3019.0,5682.0,8701.0
2008/11/30,2435.0,4015.0,6450.0
2008/12/31,1738.0,4212.0,5950.0
2009/01/31,3012.0,8254.0,11266.0
2009/02/28,2109.0,4665.0,6774.0
2009/03/31,2330.0,5143.0,7473.0
2009/04/30,1788.0,7578.0,9366.0
2009/05/31,2548.0,7029.0,9577.0
2009/06/30,1718.0,5746.0,7464.0
2009/07/31,2274.0,8776.0,11050.0
2009/08/31,4025.0,8034.0,12059.0
2009/09/30,3352.0,5919.0,9271.0
2009/10/31,3748.0,5551.0,9299.0
2009/11/30,1975.0,5669.0,7644.0
2009/12/31,3394.0,5844.0,9238.0
2010/01/31,5173.0,6549.0,11722.0
2010/02/28,3506.0,9453.0,12959.0
2010/03/31,2919.0,7110.0,10029.0
2010/04/30,1690.0,8700.0,10390.0
2010/05/31,2536.0,6927.0,9463.0
2010/06/30,5681.0,11018.0,16699.0
2010/07/31,3407.0,6982.0,10389.0
2010/08/31,3569.0,9894.0,13463.0
2010/09/30,3863.0,11347.0,15210.0
2010/10/31,3054.0,6215.0,9269.0
2010/11/30,2880.0,6737.0,9617.0
2010/12/31,2260.0,6261.0,8521.0
2011/01/31,3341.0,27804.0,31145.0
2011/02/28,3461.0,6669.0,10130.0
2011/03/31,4036.0,10335.0,14371.0
2011/04/30,3001.0,7820.0,10821.0
2011/05/31,3707.0,10070.0,13777.0
2011/06/30,3833.0,8965.0,12798.0
2011/07/31,4836.0,7923.0,12759.0
2011/08/31,3182.0,8732.0,11914.0
2011/09/30,4470.0,9164.0,13634.0
2011/10/31,4772.0,10722.0,15494.0
2011/11/30,3552.0,6603.0,10155.0
2011/12/31,3487.0,28320.0,31807.0
2012/01/31,3749.0,8426.0,12175.0
2012/02/29,2321.0,7604.0,9925.0
2012/03/31,2989.0,6111.0,9100.0
2012/04/30,4519.0,6839.0,11358.0
2012/05/31,4140.0,8549.0,12689.0
2012/06/30,5525.0,7411.0,12936.0
2012/07/31,4670.0,7956.0,12626.0
2012/08/31,4540.0,6463.0,11003.0
2012/09/30,3459.0,4642.0,8101.0
2012/10/31,4475.0,7456.0,11931.0
2012/11/30,4390.0,5257.0,9647.0
2012/12/31,3427.0,6843.0,10270.0
2013/01/31,3466.0,9284.0,12750.0
2013/02/28,1282.0,3706.0,4988.0
