date,Other,bot,total
2002/06/30,1.0,,1.0
2002/07/31,,,
2002/08/31,,,
2002/09/30,,,
2002/10/31,,,
2002/11/30,,,
2002/12/31,,,
2003/01/31,,,
2003/02/28,,,
2003/03/31,,,
2003/04/30,,,
2003/05/31,,,
2003/06/30,,,
2003/07/31,,,
2003/08/31,,,
2003/09/30,,,
2003/10/31,,,
2003/11/30,,,
2003/12/31,1.0,,1.0
2004/01/31,2.0,,2.0
2004/02/29,2.0,,2.0
2004/03/31,1.0,,1.0
2004/04/30,1.0,,1.0
2004/05/31,,,
2004/06/30,1.0,,1.0
2004/07/31,,,
2004/08/31,,,
2004/09/30,10.0,,10.0
2004/10/31,22.0,,22.0
2004/11/30,54.0,,54.0
2004/12/31,16.0,,16.0
2005/01/31,6.0,,6.0
2005/02/28,6.0,,6.0
2005/03/31,12.0,,12.0
2005/04/30,26.0,,26.0
2005/05/31,16.0,,16.0
2005/06/30,10.0,,10.0
2005/07/31,11.0,,11.0
2005/08/31,41.0,,41.0
2005/09/30,15.0,,15.0
2005/10/31,21.0,,21.0
2005/11/30,15.0,,15.0
2005/12/31,35.0,,35.0
2006/01/31,33.0,,33.0
2006/02/28,5.0,,5.0
2006/03/31,9.0,,9.0
2006/04/30,206.0,,206.0
2006/05/31,72.0,,72.0
2006/06/30,15.0,,15.0
2006/07/31,110.0,,110.0
2006/08/31,139.0,,139.0
2006/09/30,249.0,,249.0
2006/10/31,125.0,,125.0
2006/11/30,135.0,,135.0
2006/12/31,219.0,,219.0
2007/01/31,486.0,,486.0
2007/02/28,399.0,,399.0
2007/03/31,454.0,,454.0
2007/04/30,250.0,477.0,727.0
2007/05/31,693.0,73.0,766.0
2007/06/30,901.0,,901.0
2007/07/31,444.0,,444.0
2007/08/31,634.0,46.0,680.0
2007/09/30,569.0,410.0,979.0
2007/10/31,457.0,484.0,941.0
2007/11/30,1070.0,234.0,1304.0
2007/12/31,1358.0,182.0,1540.0
2008/01/31,663.0,187.0,850.0
2008/02/29,426.0,161.0,587.0
2008/03/31,334.0,213.0,547.0
2008/04/30,440.0,144.0,584.0
2008/05/31,649.0,148.0,797.0
2008/06/30,551.0,124.0,675.0
2008/07/31,429.0,68.0,497.0
2008/08/31,632.0,28.0,660.0
2008/09/30,484.0,63.0,547.0
2008/10/31,397.0,100.0,497.0
2008/11/30,400.0,53.0,453.0
2008/12/31,461.0,6.0,467.0
2009/01/31,491.0,26.0,517.0
2009/02/28,420.0,14.0,434.0
2009/03/31,652.0,48.0,700.0
2009/04/30,685.0,21.0,706.0
2009/05/31,722.0,36.0,758.0
2009/06/30,1285.0,19.0,1304.0
2009/07/31,510.0,4.0,514.0
2009/08/31,1062.0,51.0,1113.0
2009/09/30,1173.0,5.0,1178.0
2009/10/31,783.0,2.0,785.0
2009/11/30,1061.0,6.0,1067.0
2009/12/31,936.0,8.0,944.0
2010/01/31,763.0,13.0,776.0
2010/02/28,1679.0,4.0,1683.0
2010/03/31,1684.0,15.0,1699.0
2010/04/30,1808.0,33.0,1841.0
2010/05/31,1880.0,965.0,2845.0
2010/06/30,2331.0,55.0,2386.0
2010/07/31,4081.0,155.0,4236.0
2010/08/31,2673.0,135.0,2808.0
2010/09/30,2064.0,67.0,2131.0
2010/10/31,4347.0,93.0,4440.0
2010/11/30,3113.0,172.0,3285.0
2010/12/31,1824.0,233.0,2057.0
2011/01/31,2960.0,368.0,3328.0
2011/02/28,2372.0,384.0,2756.0
2011/03/31,5137.0,467.0,5604.0
2011/04/30,2607.0,467.0,3074.0
2011/05/31,4704.0,877.0,5581.0
2011/06/30,5373.0,16834.0,22207.0
2011/07/31,4188.0,1889.0,6077.0
2011/08/31,5095.0,1066.0,6161.0
2011/09/30,8552.0,3737.0,12289.0
2011/10/31,4369.0,4537.0,8906.0
2011/11/30,2854.0,722.0,3576.0
2011/12/31,4487.0,9899.0,14386.0
2012/01/31,3538.0,6949.0,10487.0
2012/02/29,3072.0,810.0,3882.0
2012/03/31,3082.0,10989.0,14071.0
2012/04/30,2847.0,6699.0,9546.0
2012/05/31,2979.0,829.0,3808.0
2012/06/30,3485.0,48.0,3533.0
2012/07/31,3921.0,68.0,3989.0
2012/08/31,3059.0,5678.0,8737.0
2012/09/30,3313.0,125.0,3438.0
2012/10/31,3229.0,737.0,3966.0
2012/11/30,2214.0,283.0,2497.0
2012/12/31,3046.0,3461.0,6507.0
2013/01/31,3664.0,81.0,3745.0
2013/02/28,1890.0,2.0,1892.0
