date,Other,bot,total
2006/06/30,69.0,,69.0
2006/07/31,43.0,,43.0
2006/08/31,81.0,,81.0
2006/09/30,394.0,,394.0
2006/10/31,3021.0,,3021.0
2006/11/30,220.0,,220.0
2006/12/31,983.0,3.0,986.0
2007/01/31,1036.0,264.0,1300.0
2007/02/28,1337.0,6057.0,7394.0
2007/03/31,7683.0,3524.0,11207.0
2007/04/30,2796.0,3702.0,6498.0
2007/05/31,3132.0,2509.0,5641.0
2007/06/30,2922.0,6990.0,9912.0
2007/07/31,320.0,3904.0,4224.0
2007/08/31,1444.0,3114.0,4558.0
2007/09/30,2252.0,6976.0,9228.0
2007/10/31,1893.0,5639.0,7532.0
2007/11/30,979.0,6515.0,7494.0
2007/12/31,3599.0,2824.0,6423.0
2008/01/31,1932.0,2136.0,4068.0
2008/02/29,895.0,2654.0,3549.0
2008/03/31,1409.0,1212.0,2621.0
2008/04/30,689.0,3707.0,4396.0
2008/05/31,2952.0,2311.0,5263.0
2008/06/30,1139.0,1152.0,2291.0
2008/07/31,1247.0,547.0,1794.0
2008/08/31,1030.0,847.0,1877.0
2008/09/30,645.0,1786.0,2431.0
2008/10/31,3138.0,442.0,3580.0
2008/11/30,1683.0,765.0,2448.0
2008/12/31,1146.0,1564.0,2710.0
2009/01/31,3624.0,1029.0,4653.0
2009/02/28,1751.0,1824.0,3575.0
2009/03/31,1718.0,1773.0,3491.0
2009/04/30,4190.0,2933.0,7123.0
2009/05/31,2204.0,3100.0,5304.0
2009/06/30,2397.0,2540.0,4937.0
2009/07/31,5225.0,2499.0,7724.0
2009/08/31,2465.0,339.0,2804.0
2009/09/30,1527.0,737.0,2264.0
2009/10/31,1634.0,2200.0,3834.0
2009/11/30,1326.0,502.0,1828.0
2009/12/31,1769.0,4030.0,5799.0
2010/01/31,1883.0,2889.0,4772.0
2010/02/28,4894.0,1145.0,6039.0
2010/03/31,1763.0,748.0,2511.0
2010/04/30,5904.0,37842.0,43746.0
2010/05/31,1836.0,13357.0,15193.0
2010/06/30,5344.0,3725.0,9069.0
2010/07/31,1225.0,375.0,1600.0
2010/08/31,3424.0,1266.0,4690.0
2010/09/30,3994.0,1507.0,5501.0
2010/10/31,1089.0,283.0,1372.0
2010/11/30,924.0,231.0,1155.0
2010/12/31,1345.0,285.0,1630.0
2011/01/31,2388.0,1597.0,3985.0
2011/02/28,1313.0,967.0,2280.0
2011/03/31,1436.0,5099.0,6535.0
2011/04/30,979.0,377.0,1356.0
2011/05/31,1440.0,1348.0,2788.0
2011/06/30,1551.0,1135.0,2686.0
2011/07/31,1763.0,932.0,2695.0
2011/08/31,2082.0,791.0,2873.0
2011/09/30,2709.0,1026.0,3735.0
2011/10/31,3687.0,1862.0,5549.0
2011/11/30,1538.0,656.0,2194.0
2011/12/31,2247.0,713.0,2960.0
2012/01/31,1242.0,528.0,1770.0
2012/02/29,938.0,398.0,1336.0
2012/03/31,929.0,518.0,1447.0
2012/04/30,1405.0,626.0,2031.0
2012/05/31,1655.0,257.0,1912.0
2012/06/30,1355.0,280.0,1635.0
2012/07/31,1303.0,1092.0,2395.0
2012/08/31,898.0,300.0,1198.0
2012/09/30,791.0,283.0,1074.0
2012/10/31,4475.0,1221.0,5696.0
2012/11/30,1333.0,325.0,1658.0
2012/12/31,4422.0,1246.0,5668.0
2013/01/31,4710.0,2153.0,6863.0
2013/02/28,2632.0,1229.0,3861.0
