date,Other,bot,total
2005/05/31,2.0,,2.0
2005/06/30,8.0,,8.0
2005/07/31,,,
2005/08/31,1.0,,1.0
2005/09/30,1.0,,1.0
2005/10/31,,,
2005/11/30,,,
2005/12/31,2.0,,2.0
2006/01/31,2.0,,2.0
2006/02/28,10.0,,10.0
2006/03/31,1.0,,1.0
2006/04/30,,,
2006/05/31,1.0,,1.0
2006/06/30,1.0,,1.0
2006/07/31,2.0,,2.0
2006/08/31,,,
2006/09/30,2.0,,2.0
2006/10/31,14.0,,14.0
2006/11/30,7.0,,7.0
2006/12/31,9.0,,9.0
2007/01/31,25.0,,25.0
2007/02/28,23.0,,23.0
2007/03/31,33.0,,33.0
2007/04/30,13.0,,13.0
2007/05/31,22.0,,22.0
2007/06/30,18.0,,18.0
2007/07/31,3.0,,3.0
2007/08/31,530.0,,530.0
2007/09/30,409.0,443.0,852.0
2007/10/31,1037.0,128.0,1165.0
2007/11/30,637.0,142.0,779.0
2007/12/31,723.0,183.0,906.0
2008/01/31,39.0,24.0,63.0
2008/02/29,557.0,34.0,591.0
2008/03/31,42.0,14.0,56.0
2008/04/30,35.0,52.0,87.0
2008/05/31,543.0,32.0,575.0
2008/06/30,87.0,24.0,111.0
2008/07/31,113.0,9.0,122.0
2008/08/31,52.0,,52.0
2008/09/30,72.0,,72.0
2008/10/31,594.0,,594.0
2008/11/30,38.0,,38.0
2008/12/31,49.0,,49.0
2009/01/31,684.0,97.0,781.0
2009/02/28,410.0,2.0,412.0
2009/03/31,280.0,2.0,282.0
2009/04/30,453.0,,453.0
2009/05/31,767.0,45.0,812.0
2009/06/30,243.0,,243.0
2009/07/31,1074.0,4.0,1078.0
2009/08/31,153.0,,153.0
2009/09/30,132.0,,132.0
2009/10/31,205.0,,205.0
2009/11/30,121.0,,121.0
2009/12/31,181.0,,181.0
2010/01/31,206.0,,206.0
2010/02/28,1102.0,,1102.0
2010/03/31,459.0,,459.0
2010/04/30,829.0,,829.0
2010/05/31,223.0,,223.0
2010/06/30,771.0,,771.0
2010/07/31,140.0,,140.0
2010/08/31,766.0,,766.0
2010/09/30,1082.0,,1082.0
2010/10/31,117.0,,117.0
2010/11/30,129.0,,129.0
2010/12/31,133.0,,133.0
2011/01/31,498.0,,498.0
2011/02/28,667.0,,667.0
2011/03/31,1363.0,,1363.0
2011/04/30,613.0,,613.0
2011/05/31,1496.0,,1496.0
2011/06/30,1656.0,,1656.0
2011/07/31,1081.0,1018.0,2099.0
2011/08/31,1437.0,102.0,1539.0
2011/09/30,1739.0,23.0,1762.0
2011/10/31,1853.0,10.0,1863.0
2011/11/30,906.0,28.0,934.0
2011/12/31,1573.0,22.0,1595.0
2012/01/31,1285.0,11.0,1296.0
2012/02/29,1320.0,8.0,1328.0
2012/03/31,1114.0,18.0,1132.0
2012/04/30,1731.0,12.0,1743.0
2012/05/31,2277.0,4.0,2281.0
2012/06/30,2065.0,2.0,2067.0
2012/07/31,2290.0,16.0,2306.0
2012/08/31,2156.0,566.0,2722.0
2012/09/30,2573.0,,2573.0
2012/10/31,1591.0,1552.0,3143.0
2012/11/30,1570.0,2.0,1572.0
2012/12/31,2344.0,,2344.0
2013/01/31,3286.0,10.0,3296.0
2013/02/28,1143.0,2415.0,3558.0
