date,Other,bot,total
2002/06/30,1.0,,1.0
2002/07/31,,,
2002/08/31,,,
2002/09/30,,,
2002/10/31,,,
2002/11/30,,,
2002/12/31,,,
2003/01/31,,,
2003/02/28,,,
2003/03/31,,,
2003/04/30,,,
2003/05/31,,,
2003/06/30,,,
2003/07/31,,,
2003/08/31,,,
2003/09/30,,,
2003/10/31,,,
2003/11/30,,,
2003/12/31,,,
2004/01/31,2.0,,2.0
2004/02/29,1.0,,1.0
2004/03/31,18.0,,18.0
2004/04/30,2.0,,2.0
2004/05/31,2.0,,2.0
2004/06/30,3.0,,3.0
2004/07/31,,,
2004/08/31,1.0,,1.0
2004/09/30,4.0,,4.0
2004/10/31,,,
2004/11/30,2.0,,2.0
2004/12/31,,,
2005/01/31,14.0,,14.0
2005/02/28,29.0,,29.0
2005/03/31,3.0,,3.0
2005/04/30,,,
2005/05/31,25.0,,25.0
2005/06/30,2.0,,2.0
2005/07/31,28.0,,28.0
2005/08/31,7.0,,7.0
2005/09/30,35.0,,35.0
2005/10/31,20.0,,20.0
2005/11/30,5.0,,5.0
2005/12/31,13.0,,13.0
2006/01/31,16.0,,16.0
2006/02/28,14.0,,14.0
2006/03/31,10.0,,10.0
2006/04/30,5.0,,5.0
2006/05/31,45.0,,45.0
2006/06/30,30.0,,30.0
2006/07/31,14.0,,14.0
2006/08/31,6.0,,6.0
2006/09/30,6.0,,6.0
2006/10/31,6.0,,6.0
2006/11/30,7.0,,7.0
2006/12/31,48.0,,48.0
2007/01/31,75.0,,75.0
2007/02/28,41.0,,41.0
2007/03/31,69.0,,69.0
2007/04/30,20.0,,20.0
2007/05/31,236.0,15.0,251.0
2007/06/30,327.0,28.0,355.0
2007/07/31,148.0,26.0,174.0
2007/08/31,21.0,61.0,82.0
2007/09/30,29.0,138.0,167.0
2007/10/31,72.0,191.0,263.0
2007/11/30,56.0,121.0,177.0
2007/12/31,78.0,87.0,165.0
2008/01/31,159.0,76.0,235.0
2008/02/29,41.0,90.0,131.0
2008/03/31,162.0,59.0,221.0
2008/04/30,48.0,73.0,121.0
2008/05/31,96.0,46.0,142.0
2008/06/30,189.0,44.0,233.0
2008/07/31,384.0,29.0,413.0
2008/08/31,539.0,39.0,578.0
2008/09/30,195.0,96.0,291.0
2008/10/31,167.0,71.0,238.0
2008/11/30,214.0,19.0,233.0
2008/12/31,329.0,8.0,337.0
2009/01/31,314.0,15.0,329.0
2009/02/28,330.0,64.0,394.0
2009/03/31,944.0,36.0,980.0
2009/04/30,683.0,193.0,876.0
2009/05/31,717.0,109.0,826.0
2009/06/30,323.0,67.0,390.0
2009/07/31,367.0,101.0,468.0
2009/08/31,305.0,137.0,442.0
2009/09/30,389.0,89.0,478.0
2009/10/31,397.0,61.0,458.0
2009/11/30,230.0,62.0,292.0
2009/12/31,292.0,70.0,362.0
2010/01/31,590.0,27.0,617.0
2010/02/28,713.0,69.0,782.0
2010/03/31,1240.0,68.0,1308.0
2010/04/30,1967.0,46.0,2013.0
2010/05/31,955.0,32.0,987.0
2010/06/30,1291.0,92.0,1383.0
2010/07/31,1408.0,26.0,1434.0
2010/08/31,1629.0,145.0,1774.0
2010/09/30,1482.0,84.0,1566.0
2010/10/31,1165.0,23.0,1188.0
2010/11/30,714.0,54.0,768.0
2010/12/31,832.0,89.0,921.0
2011/01/31,859.0,622.0,1481.0
2011/02/28,1091.0,337.0,1428.0
2011/03/31,1030.0,934.0,1964.0
2011/04/30,516.0,120.0,636.0
2011/05/31,763.0,1121.0,1884.0
2011/06/30,732.0,63.0,795.0
2011/07/31,994.0,31.0,1025.0
2011/08/31,1170.0,47.0,1217.0
2011/09/30,4759.0,2.0,4761.0
2011/10/31,2053.0,,2053.0
2011/11/30,1002.0,215.0,1217.0
2011/12/31,586.0,499.0,1085.0
2012/01/31,762.0,191.0,953.0
2012/02/29,810.0,17.0,827.0
2012/03/31,766.0,20.0,786.0
2012/04/30,1048.0,13.0,1061.0
2012/05/31,1251.0,1.0,1252.0
2012/06/30,1291.0,,1291.0
2012/07/31,1101.0,,1101.0
2012/08/31,2096.0,,2096.0
2012/09/30,2329.0,1.0,2330.0
2012/10/31,3205.0,,3205.0
2012/11/30,5735.0,,5735.0
2012/12/31,5341.0,,5341.0
2013/01/31,3948.0,11.0,3959.0
2013/02/28,1631.0,2.0,1633.0
