date,Other,bot,total
2004/08/31,1.0,,1.0
2004/09/30,,,
2004/10/31,,,
2004/11/30,,,
2004/12/31,,,
2005/01/31,31.0,,31.0
2005/02/28,1.0,,1.0
2005/03/31,,,
2005/04/30,,,
2005/05/31,3.0,,3.0
2005/06/30,1.0,,1.0
2005/07/31,,,
2005/08/31,,,
2005/09/30,,,
2005/10/31,2.0,,2.0
2005/11/30,,,
2005/12/31,,,
2006/01/31,1.0,,1.0
2006/02/28,1.0,,1.0
2006/03/31,2.0,,2.0
2006/04/30,,,
2006/05/31,10.0,,10.0
2006/06/30,1.0,,1.0
2006/07/31,2.0,,2.0
2006/08/31,29.0,,29.0
2006/09/30,2.0,,2.0
2006/10/31,4.0,,4.0
2006/11/30,2.0,,2.0
2006/12/31,202.0,,202.0
2007/01/31,8.0,1.0,9.0
2007/02/28,18.0,5.0,23.0
2007/03/31,36.0,5.0,41.0
2007/04/30,,2.0,2.0
2007/05/31,12.0,7.0,19.0
2007/06/30,2104.0,4.0,2108.0
2007/07/31,6.0,,6.0
2007/08/31,5.0,87.0,92.0
2007/09/30,101.0,18.0,119.0
2007/10/31,1780.0,295.0,2075.0
2007/11/30,865.0,736.0,1601.0
2007/12/31,2542.0,619.0,3161.0
2008/01/31,178.0,81.0,259.0
2008/02/29,2224.0,114.0,2338.0
2008/03/31,144.0,286.0,430.0
2008/04/30,843.0,526.0,1369.0
2008/05/31,1251.0,243.0,1494.0
2008/06/30,221.0,674.0,895.0
2008/07/31,313.0,923.0,1236.0
2008/08/31,179.0,242.0,421.0
2008/09/30,231.0,98.0,329.0
2008/10/31,262.0,1695.0,1957.0
2008/11/30,48.0,140.0,188.0
2008/12/31,341.0,182.0,523.0
2009/01/31,1446.0,1698.0,3144.0
2009/02/28,731.0,252.0,983.0
2009/03/31,423.0,451.0,874.0
2009/04/30,1701.0,1284.0,2985.0
2009/05/31,1404.0,1064.0,2468.0
2009/06/30,431.0,405.0,836.0
2009/07/31,3669.0,505.0,4174.0
2009/08/31,1271.0,118.0,1389.0
2009/09/30,615.0,66.0,681.0
2009/10/31,532.0,137.0,669.0
2009/11/30,124.0,85.0,209.0
2009/12/31,367.0,209.0,576.0
2010/01/31,408.0,434.0,842.0
2010/02/28,1073.0,1639.0,2712.0
2010/03/31,757.0,239.0,996.0
2010/04/30,2957.0,245.0,3202.0
2010/05/31,1462.0,165.0,1627.0
2010/06/30,1187.0,1576.0,2763.0
2010/07/31,472.0,128.0,600.0
2010/08/31,1435.0,610.0,2045.0
2010/09/30,1847.0,2483.0,4330.0
2010/10/31,151.0,211.0,362.0
2010/11/30,117.0,130.0,247.0
2010/12/31,91.0,258.0,349.0
2011/01/31,1194.0,1011.0,2205.0
2011/02/28,192.0,615.0,807.0
2011/03/31,717.0,2007.0,2724.0
2011/04/30,82.0,82.0,164.0
2011/05/31,600.0,235.0,835.0
2011/06/30,1161.0,1072.0,2233.0
2011/07/31,443.0,123.0,566.0
2011/08/31,666.0,181.0,847.0
2011/09/30,1634.0,131.0,1765.0
2011/10/31,2509.0,255.0,2764.0
2011/11/30,318.0,271.0,589.0
2011/12/31,65.0,168.0,233.0
2012/01/31,77.0,158.0,235.0
2012/02/29,56.0,126.0,182.0
2012/03/31,115.0,180.0,295.0
2012/04/30,417.0,212.0,629.0
2012/05/31,810.0,103.0,913.0
2012/06/30,329.0,,329.0
2012/07/31,498.0,,498.0
2012/08/31,152.0,,152.0
2012/09/30,184.0,1.0,185.0
2012/10/31,1000.0,,1000.0
2012/11/30,208.0,,208.0
2012/12/31,1149.0,,1149.0
2013/01/31,2702.0,206.0,2908.0
2013/02/28,1053.0,,1053.0
