date,Other,bot,total
2003/12/31,1.0,,1.0
2004/01/31,2.0,,2.0
2004/02/29,3.0,,3.0
2004/03/31,4.0,,4.0
2004/04/30,3.0,,3.0
2004/05/31,2.0,,2.0
2004/06/30,253.0,,253.0
2004/07/31,245.0,,245.0
2004/08/31,193.0,,193.0
2004/09/30,639.0,,639.0
2004/10/31,978.0,,978.0
2004/11/30,50.0,,50.0
2004/12/31,23.0,,23.0
2005/01/31,20.0,,20.0
2005/02/28,11.0,,11.0
2005/03/31,32.0,,32.0
2005/04/30,53.0,,53.0
2005/05/31,43.0,,43.0
2005/06/30,21.0,,21.0
2005/07/31,33.0,,33.0
2005/08/31,29.0,,29.0
2005/09/30,58.0,35.0,93.0
2005/10/31,24.0,,24.0
2005/11/30,33.0,,33.0
2005/12/31,74.0,,74.0
2006/01/31,67.0,,67.0
2006/02/28,32.0,,32.0
2006/03/31,23.0,,23.0
2006/04/30,49.0,,49.0
2006/05/31,86.0,,86.0
2006/06/30,44.0,,44.0
2006/07/31,70.0,,70.0
2006/08/31,128.0,,128.0
2006/09/30,73.0,,73.0
2006/10/31,33.0,,33.0
2006/11/30,549.0,,549.0
2006/12/31,891.0,,891.0
2007/01/31,1437.0,,1437.0
2007/02/28,591.0,,591.0
2007/03/31,2841.0,,2841.0
2007/04/30,781.0,,781.0
2007/05/31,391.0,,391.0
2007/06/30,239.0,,239.0
2007/07/31,62.0,79.0,141.0
2007/08/31,88.0,142.0,230.0
2007/09/30,98.0,388.0,486.0
2007/10/31,55.0,560.0,615.0
2007/11/30,84.0,570.0,654.0
2007/12/31,138.0,371.0,509.0
2008/01/31,125.0,316.0,441.0
2008/02/29,135.0,2603.0,2738.0
2008/03/31,458.0,454.0,912.0
2008/04/30,564.0,1215.0,1779.0
2008/05/31,1533.0,674.0,2207.0
2008/06/30,900.0,382.0,1282.0
2008/07/31,1162.0,385.0,1547.0
2008/08/31,712.0,662.0,1374.0
2008/09/30,279.0,594.0,873.0
2008/10/31,2061.0,383.0,2444.0
2008/11/30,786.0,219.0,1005.0
2008/12/31,752.0,82.0,834.0
2009/01/31,3058.0,478.0,3536.0
2009/02/28,1457.0,92.0,1549.0
2009/03/31,1460.0,176.0,1636.0
2009/04/30,3373.0,281.0,3654.0
2009/05/31,1542.0,1150.0,2692.0
2009/06/30,911.0,639.0,1550.0
2009/07/31,3706.0,705.0,4411.0
2009/08/31,1788.0,375.0,2163.0
2009/09/30,1245.0,240.0,1485.0
2009/10/31,1177.0,133.0,1310.0
2009/11/30,840.0,133.0,973.0
2009/12/31,1080.0,223.0,1303.0
2010/01/31,1265.0,49.0,1314.0
2010/02/28,3168.0,142.0,3310.0
2010/03/31,1614.0,214.0,1828.0
2010/04/30,3415.0,137.0,3552.0
2010/05/31,1899.0,115.0,2014.0
2010/06/30,2804.0,208.0,3012.0
2010/07/31,1123.0,30.0,1153.0
2010/08/31,2142.0,264.0,2406.0
2010/09/30,4392.0,218.0,4610.0
2010/10/31,1062.0,30.0,1092.0
2010/11/30,1087.0,92.0,1179.0
2010/12/31,741.0,137.0,878.0
2011/01/31,2506.0,603.0,3109.0
2011/02/28,1052.0,236.0,1288.0
2011/03/31,1551.0,1726.0,3277.0
2011/04/30,1555.0,163.0,1718.0
2011/05/31,4722.0,500.0,5222.0
2011/06/30,3082.0,278.0,3360.0
2011/07/31,2474.0,136.0,2610.0
2011/08/31,1981.0,215.0,2196.0
2011/09/30,8620.0,151.0,8771.0
2011/10/31,4501.0,437.0,4938.0
2011/11/30,4196.0,223.0,4419.0
2011/12/31,14303.0,367.0,14670.0
2012/01/31,2747.0,221.0,2968.0
2012/02/29,3526.0,95.0,3621.0
2012/03/31,3068.0,73.0,3141.0
2012/04/30,2821.0,55.0,2876.0
2012/05/31,3948.0,47.0,3995.0
2012/06/30,2374.0,24.0,2398.0
2012/07/31,2382.0,41.0,2423.0
2012/08/31,1589.0,6.0,1595.0
2012/09/30,2521.0,5.0,2526.0
2012/10/31,3299.0,17.0,3316.0
2012/11/30,2602.0,38.0,2640.0
2012/12/31,2987.0,39.0,3026.0
2013/01/31,4965.0,25.0,4990.0
2013/02/28,2120.0,,2120.0
