date,Other,bot,total
2003/12/31,1.0,,1.0
2004/01/31,3.0,,3.0
2004/02/29,,,
2004/03/31,3.0,,3.0
2004/04/30,,,
2004/05/31,,,
2004/06/30,2.0,,2.0
2004/07/31,,,
2004/08/31,,,
2004/09/30,,,
2004/10/31,5.0,,5.0
2004/11/30,1.0,,1.0
2004/12/31,,,
2005/01/31,,,
2005/02/28,,,
2005/03/31,,,
2005/04/30,,,
2005/05/31,2.0,,2.0
2005/06/30,1.0,,1.0
2005/07/31,,,
2005/08/31,17.0,,17.0
2005/09/30,5.0,,5.0
2005/10/31,2.0,,2.0
2005/11/30,19.0,,19.0
2005/12/31,27.0,,27.0
2006/01/31,,,
2006/02/28,220.0,,220.0
2006/03/31,278.0,,278.0
2006/04/30,427.0,,427.0
2006/05/31,194.0,,194.0
2006/06/30,9.0,,9.0
2006/07/31,13.0,,13.0
2006/08/31,45.0,,45.0
2006/09/30,242.0,,242.0
2006/10/31,123.0,,123.0
2006/11/30,123.0,,123.0
2006/12/31,274.0,,274.0
2007/01/31,98.0,,98.0
2007/02/28,88.0,,88.0
2007/03/31,181.0,,181.0
2007/04/30,276.0,,276.0
2007/05/31,35.0,,35.0
2007/06/30,74.0,,74.0
2007/07/31,42.0,,42.0
2007/08/31,45.0,,45.0
2007/09/30,216.0,7.0,223.0
2007/10/31,197.0,29.0,226.0
2007/11/30,137.0,20.0,157.0
2007/12/31,398.0,20.0,418.0
2008/01/31,85.0,13.0,98.0
2008/02/29,304.0,15.0,319.0
2008/03/31,305.0,9.0,314.0
2008/04/30,251.0,11.0,262.0
2008/05/31,116.0,14.0,130.0
2008/06/30,42.0,16.0,58.0
2008/07/31,86.0,13.0,99.0
2008/08/31,65.0,3.0,68.0
2008/09/30,82.0,8.0,90.0
2008/10/31,41.0,13.0,54.0
2008/11/30,48.0,5.0,53.0
2008/12/31,65.0,4.0,69.0
2009/01/31,83.0,3.0,86.0
2009/02/28,92.0,1.0,93.0
2009/03/31,72.0,5.0,77.0
2009/04/30,80.0,1.0,81.0
2009/05/31,75.0,5.0,80.0
2009/06/30,70.0,2.0,72.0
2009/07/31,93.0,1.0,94.0
2009/08/31,158.0,1.0,159.0
2009/09/30,98.0,,98.0
2009/10/31,83.0,,83.0
2009/11/30,235.0,,235.0
2009/12/31,82.0,,82.0
2010/01/31,98.0,,98.0
2010/02/28,77.0,,77.0
2010/03/31,152.0,,152.0
2010/04/30,145.0,,145.0
2010/05/31,118.0,,118.0
2010/06/30,223.0,,223.0
2010/07/31,95.0,,95.0
2010/08/31,117.0,,117.0
2010/09/30,82.0,,82.0
2010/10/31,121.0,,121.0
2010/11/30,183.0,,183.0
2010/12/31,139.0,2.0,141.0
2011/01/31,134.0,1.0,135.0
2011/02/28,136.0,,136.0
2011/03/31,130.0,,130.0
2011/04/30,94.0,,94.0
2011/05/31,111.0,,111.0
2011/06/30,114.0,,114.0
2011/07/31,185.0,,185.0
2011/08/31,103.0,,103.0
2011/09/30,140.0,,140.0
2011/10/31,121.0,,121.0
2011/11/30,463.0,,463.0
2011/12/31,314.0,,314.0
2012/01/31,103.0,,103.0
2012/02/29,117.0,,117.0
2012/03/31,104.0,,104.0
2012/04/30,142.0,,142.0
2012/05/31,87.0,,87.0
2012/06/30,114.0,,114.0
2012/07/31,104.0,,104.0
2012/08/31,107.0,,107.0
2012/09/30,90.0,,90.0
2012/10/31,144.0,,144.0
2012/11/30,71.0,,71.0
2012/12/31,130.0,,130.0
2013/01/31,83.0,,83.0
2013/02/28,66.0,,66.0
