date,Other,bot,total
2003/09/30,1.0,,1.0
2003/10/31,1.0,,1.0
2003/11/30,107.0,,107.0
2003/12/31,305.0,,305.0
2004/01/31,262.0,,262.0
2004/02/29,226.0,,226.0
2004/03/31,240.0,,240.0
2004/04/30,205.0,,205.0
2004/05/31,97.0,,97.0
2004/06/30,107.0,,107.0
2004/07/31,121.0,,121.0
2004/08/31,43.0,,43.0
2004/09/30,51.0,,51.0
2004/10/31,102.0,,102.0
2004/11/30,119.0,,119.0
2004/12/31,44.0,,44.0
2005/01/31,13.0,,13.0
2005/02/28,58.0,,58.0
2005/03/31,238.0,,238.0
2005/04/30,814.0,,814.0
2005/05/31,445.0,,445.0
2005/06/30,373.0,,373.0
2005/07/31,778.0,12.0,790.0
2005/08/31,1215.0,112.0,1327.0
2005/09/30,1438.0,271.0,1709.0
2005/10/31,1185.0,310.0,1495.0
2005/11/30,754.0,246.0,1000.0
2005/12/31,1028.0,474.0,1502.0
2006/01/31,1105.0,481.0,1586.0
2006/02/28,1241.0,71.0,1312.0
2006/03/31,1625.0,844.0,2469.0
2006/04/30,1553.0,752.0,2305.0
2006/05/31,1753.0,587.0,2340.0
2006/06/30,2717.0,700.0,3417.0
2006/07/31,3612.0,1027.0,4639.0
2006/08/31,4768.0,471.0,5239.0
2006/09/30,3863.0,518.0,4381.0
2006/10/31,3155.0,1150.0,4305.0
2006/11/30,3465.0,1323.0,4788.0
2006/12/31,2396.0,1416.0,3812.0
2007/01/31,2321.0,3324.0,5645.0
2007/02/28,3642.0,1554.0,5196.0
2007/03/31,6113.0,2368.0,8481.0
2007/04/30,5080.0,7532.0,12612.0
2007/05/31,2948.0,3596.0,6544.0
2007/06/30,1551.0,2263.0,3814.0
2007/07/31,1512.0,1682.0,3194.0
2007/08/31,2356.0,3367.0,5723.0
2007/09/30,4369.0,2957.0,7326.0
2007/10/31,2658.0,4690.0,7348.0
2007/11/30,3814.0,4666.0,8480.0
2007/12/31,2735.0,3457.0,6192.0
2008/01/31,2774.0,2923.0,5697.0
2008/02/29,2793.0,2878.0,5671.0
2008/03/31,3666.0,3175.0,6841.0
2008/04/30,3307.0,4870.0,8177.0
2008/05/31,3487.0,4589.0,8076.0
2008/06/30,2980.0,5247.0,8227.0
2008/07/31,3441.0,5569.0,9010.0
2008/08/31,4754.0,6100.0,10854.0
2008/09/30,3801.0,4827.0,8628.0
2008/10/31,3057.0,4329.0,7386.0
2008/11/30,2762.0,4513.0,7275.0
2008/12/31,2838.0,4375.0,7213.0
2009/01/31,2994.0,5849.0,8843.0
2009/02/28,4332.0,4816.0,9148.0
2009/03/31,5127.0,5210.0,10337.0
2009/04/30,5132.0,4865.0,9997.0
2009/05/31,3537.0,5741.0,9278.0
2009/06/30,4656.0,5053.0,9709.0
2009/07/31,3021.0,6606.0,9627.0
2009/08/31,3394.0,6496.0,9890.0
2009/09/30,2399.0,5463.0,7862.0
2009/10/31,3132.0,5552.0,8684.0
2009/11/30,2697.0,5066.0,7763.0
2009/12/31,3309.0,6337.0,9646.0
2010/01/31,3782.0,5331.0,9113.0
2010/02/28,2763.0,6314.0,9077.0
2010/03/31,3440.0,6543.0,9983.0
2010/04/30,5168.0,6755.0,11923.0
2010/05/31,4618.0,5529.0,10147.0
2010/06/30,6752.0,7521.0,14273.0
2010/07/31,8385.0,4680.0,13065.0
2010/08/31,9496.0,5700.0,15196.0
2010/09/30,8780.0,4417.0,13197.0
2010/10/31,10299.0,4903.0,15202.0
2010/11/30,8521.0,4862.0,13383.0
2010/12/31,8656.0,4950.0,13606.0
2011/01/31,12084.0,5951.0,18035.0
2011/02/28,14094.0,5176.0,19270.0
2011/03/31,13476.0,6432.0,19908.0
2011/04/30,12327.0,5359.0,17686.0
2011/05/31,14240.0,5912.0,20152.0
2011/06/30,14303.0,5002.0,19305.0
2011/07/31,14230.0,4231.0,18461.0
2011/08/31,16013.0,4165.0,20178.0
2011/09/30,14668.0,6690.0,21358.0
2011/10/31,15753.0,4480.0,20233.0
2011/11/30,15246.0,5062.0,20308.0
2011/12/31,13033.0,5148.0,18181.0
2012/01/31,16584.0,18524.0,35108.0
2012/02/29,14188.0,8406.0,22594.0
2012/03/31,12611.0,17231.0,29842.0
2012/04/30,11078.0,4137.0,15215.0
2012/05/31,13588.0,3975.0,17563.0
2012/06/30,14560.0,3319.0,17879.0
2012/07/31,14887.0,3688.0,18575.0
2012/08/31,13797.0,1751.0,15548.0
2012/09/30,13055.0,1793.0,14848.0
2012/10/31,15788.0,2496.0,18284.0
2012/11/30,12982.0,2214.0,15196.0
2012/12/31,13575.0,2523.0,16098.0
2013/01/31,12878.0,2526.0,15404.0
2013/02/28,6023.0,910.0,6933.0
