date,Other,bot,total
2003/12/31,1.0,,1.0
2004/01/31,1.0,,1.0
2004/02/29,,,
2004/03/31,5.0,,5.0
2004/04/30,6.0,,6.0
2004/05/31,,,
2004/06/30,2.0,,2.0
2004/07/31,10.0,,10.0
2004/08/31,16.0,,16.0
2004/09/30,3.0,,3.0
2004/10/31,1.0,,1.0
2004/11/30,69.0,,69.0
2004/12/31,85.0,,85.0
2005/01/31,159.0,,159.0
2005/02/28,8.0,,8.0
2005/03/31,10.0,,10.0
2005/04/30,137.0,,137.0
2005/05/31,490.0,,490.0
2005/06/30,875.0,,875.0
2005/07/31,397.0,,397.0
2005/08/31,950.0,,950.0
2005/09/30,991.0,,991.0
2005/10/31,644.0,1.0,645.0
2005/11/30,942.0,11.0,953.0
2005/12/31,970.0,,970.0
2006/01/31,1161.0,,1161.0
2006/02/28,732.0,,732.0
2006/03/31,328.0,,328.0
2006/04/30,816.0,1050.0,1866.0
2006/05/31,918.0,,918.0
2006/06/30,853.0,,853.0
2006/07/31,716.0,395.0,1111.0
2006/08/31,1375.0,3044.0,4419.0
2006/09/30,3881.0,14236.0,18117.0
2006/10/31,963.0,9463.0,10426.0
2006/11/30,2039.0,3313.0,5352.0
2006/12/31,2670.0,1331.0,4001.0
2007/01/31,2321.0,1049.0,3370.0
2007/02/28,2242.0,495.0,2737.0
2007/03/31,2956.0,1156.0,4112.0
2007/04/30,2134.0,562.0,2696.0
2007/05/31,2464.0,804.0,3268.0
2007/06/30,4909.0,28639.0,33548.0
2007/07/31,3450.0,1606.0,5056.0
2007/08/31,4027.0,6161.0,10188.0
2007/09/30,5082.0,3648.0,8730.0
2007/10/31,4475.0,6074.0,10549.0
2007/11/30,3908.0,2365.0,6273.0
2007/12/31,4868.0,3381.0,8249.0
2008/01/31,3665.0,28297.0,31962.0
2008/02/29,7984.0,868.0,8852.0
2008/03/31,7126.0,1824.0,8950.0
2008/04/30,5003.0,1684.0,6687.0
2008/05/31,5517.0,1739.0,7256.0
2008/06/30,5751.0,2792.0,8543.0
2008/07/31,4881.0,2464.0,7345.0
2008/08/31,4043.0,2602.0,6645.0
2008/09/30,3636.0,1331.0,4967.0
2008/10/31,3873.0,1628.0,5501.0
2008/11/30,4035.0,2048.0,6083.0
2008/12/31,7208.0,1893.0,9101.0
2009/01/31,4981.0,3137.0,8118.0
2009/02/28,3641.0,1962.0,5603.0
2009/03/31,4436.0,2688.0,7124.0
2009/04/30,4939.0,2097.0,7036.0
2009/05/31,6019.0,1877.0,7896.0
2009/06/30,6468.0,1620.0,8088.0
2009/07/31,4894.0,12265.0,17159.0
2009/08/31,3731.0,2128.0,5859.0
2009/09/30,3869.0,1677.0,5546.0
2009/10/31,4585.0,1360.0,5945.0
2009/11/30,3873.0,1551.0,5424.0
2009/12/31,3225.0,1686.0,4911.0
2010/01/31,3028.0,1535.0,4563.0
2010/02/28,2988.0,1679.0,4667.0
2010/03/31,3773.0,1949.0,5722.0
2010/04/30,3997.0,1686.0,5683.0
2010/05/31,3538.0,1167.0,4705.0
2010/06/30,3844.0,1789.0,5633.0
2010/07/31,4600.0,1248.0,5848.0
2010/08/31,5639.0,1837.0,7476.0
2010/09/30,3604.0,1241.0,4845.0
2010/10/31,4513.0,1044.0,5557.0
2010/11/30,6252.0,1488.0,7740.0
2010/12/31,4880.0,1683.0,6563.0
2011/01/31,4347.0,2141.0,6488.0
2011/02/28,3188.0,1772.0,4960.0
2011/03/31,3517.0,2592.0,6109.0
2011/04/30,2655.0,1740.0,4395.0
2011/05/31,5114.0,2183.0,7297.0
2011/06/30,6233.0,1113.0,7346.0
2011/07/31,6923.0,1135.0,8058.0
2011/08/31,6503.0,1036.0,7539.0
2011/09/30,7542.0,1571.0,9113.0
2011/10/31,7131.0,1290.0,8421.0
2011/11/30,5638.0,1812.0,7450.0
2011/12/31,4440.0,2360.0,6800.0
2012/01/31,6336.0,1510.0,7846.0
2012/02/29,4799.0,1289.0,6088.0
2012/03/31,3963.0,1221.0,5184.0
2012/04/30,3413.0,1513.0,4926.0
2012/05/31,6669.0,4305.0,10974.0
2012/06/30,5941.0,205.0,6146.0
2012/07/31,5009.0,246.0,5255.0
2012/08/31,5561.0,131.0,5692.0
2012/09/30,4818.0,160.0,4978.0
2012/10/31,4930.0,196.0,5126.0
2012/11/30,3765.0,110.0,3875.0
2012/12/31,5987.0,149.0,6136.0
2013/01/31,5412.0,153.0,5565.0
2013/02/28,2784.0,139.0,2923.0
