date,Other,bot,total
2004/01/31,1.0,,1.0
2004/02/29,1.0,,1.0
2004/03/31,288.0,,288.0
2004/04/30,579.0,1.0,580.0
2004/05/31,173.0,,173.0
2004/06/30,102.0,,102.0
2004/07/31,62.0,,62.0
2004/08/31,26.0,,26.0
2004/09/30,26.0,,26.0
2004/10/31,6.0,,6.0
2004/11/30,36.0,1.0,37.0
2004/12/31,26.0,,26.0
2005/01/31,29.0,,29.0
2005/02/28,16.0,,16.0
2005/03/31,16.0,,16.0
2005/04/30,54.0,,54.0
2005/05/31,37.0,,37.0
2005/06/30,87.0,,87.0
2005/07/31,65.0,,65.0
2005/08/31,399.0,3.0,402.0
2005/09/30,276.0,1.0,277.0
2005/10/31,350.0,2.0,352.0
2005/11/30,370.0,78.0,448.0
2005/12/31,175.0,,175.0
2006/01/31,109.0,,109.0
2006/02/28,108.0,,108.0
2006/03/31,182.0,,182.0
2006/04/30,362.0,,362.0
2006/05/31,699.0,24.0,723.0
2006/06/30,1800.0,15.0,1815.0
2006/07/31,2293.0,79.0,2372.0
2006/08/31,2120.0,104.0,2224.0
2006/09/30,3333.0,188.0,3521.0
2006/10/31,1876.0,61.0,1937.0
2006/11/30,1920.0,86.0,2006.0
2006/12/31,2065.0,1272.0,3337.0
2007/01/31,3897.0,1613.0,5510.0
2007/02/28,3280.0,1059.0,4339.0
2007/03/31,2830.0,1423.0,4253.0
2007/04/30,2538.0,1765.0,4303.0
2007/05/31,2511.0,1651.0,4162.0
2007/06/30,1752.0,1191.0,2943.0
2007/07/31,1794.0,1111.0,2905.0
2007/08/31,1321.0,1815.0,3136.0
2007/09/30,2458.0,1807.0,4265.0
2007/10/31,1632.0,3028.0,4660.0
2007/11/30,831.0,2350.0,3181.0
2007/12/31,1080.0,1758.0,2838.0
2008/01/31,1423.0,1546.0,2969.0
2008/02/29,1803.0,1878.0,3681.0
2008/03/31,1736.0,1727.0,3463.0
2008/04/30,1204.0,2041.0,3245.0
2008/05/31,1079.0,2622.0,3701.0
2008/06/30,1080.0,2633.0,3713.0
2008/07/31,1498.0,3056.0,4554.0
2008/08/31,2552.0,2991.0,5543.0
2008/09/30,1993.0,2198.0,4191.0
2008/10/31,2296.0,2940.0,5236.0
2008/11/30,1793.0,2513.0,4306.0
2008/12/31,2323.0,2519.0,4842.0
2009/01/31,2326.0,3104.0,5430.0
2009/02/28,1098.0,2884.0,3982.0
2009/03/31,2039.0,3171.0,5210.0
2009/04/30,1903.0,2823.0,4726.0
2009/05/31,1618.0,3670.0,5288.0
2009/06/30,1524.0,3029.0,4553.0
2009/07/31,3321.0,6036.0,9357.0
2009/08/31,3086.0,11084.0,14170.0
2009/09/30,1796.0,3616.0,5412.0
2009/10/31,2145.0,3565.0,5710.0
2009/11/30,4155.0,5363.0,9518.0
2009/12/31,2485.0,4088.0,6573.0
2010/01/31,1522.0,3757.0,5279.0
2010/02/28,720.0,4136.0,4856.0
2010/03/31,2267.0,4963.0,7230.0
2010/04/30,2857.0,5328.0,8185.0
2010/05/31,1876.0,3443.0,5319.0
2010/06/30,1583.0,5405.0,6988.0
2010/07/31,1009.0,3764.0,4773.0
2010/08/31,2347.0,6132.0,8479.0
2010/09/30,1554.0,5557.0,7111.0
2010/10/31,1139.0,4578.0,5717.0
2010/11/30,399.0,4455.0,4854.0
2010/12/31,1287.0,4133.0,5420.0
2011/01/31,2597.0,7087.0,9684.0
2011/02/28,2944.0,4919.0,7863.0
2011/03/31,707.0,7676.0,8383.0
2011/04/30,952.0,3994.0,4946.0
2011/05/31,713.0,5958.0,6671.0
2011/06/30,1361.0,5530.0,6891.0
2011/07/31,1159.0,5216.0,6375.0
2011/08/31,892.0,4873.0,5765.0
2011/09/30,1153.0,6047.0,7200.0
2011/10/31,578.0,6148.0,6726.0
2011/11/30,714.0,4685.0,5399.0
2011/12/31,665.0,4326.0,4991.0
2012/01/31,777.0,4290.0,5067.0
2012/02/29,665.0,3859.0,4524.0
2012/03/31,1132.0,3857.0,4989.0
2012/04/30,1149.0,4638.0,5787.0
2012/05/31,2264.0,4982.0,7246.0
2012/06/30,3377.0,4950.0,8327.0
2012/07/31,1677.0,4770.0,6447.0
2012/08/31,2826.0,4155.0,6981.0
2012/09/30,3730.0,4063.0,7793.0
2012/10/31,6482.0,14244.0,20726.0
2012/11/30,5071.0,21658.0,26729.0
2012/12/31,3633.0,7743.0,11376.0
2013/01/31,5507.0,9341.0,14848.0
2013/02/28,1704.0,3315.0,5019.0
