date,as,bh,bn,bpy,gu,hi,kn,ks,ml,mr,ne,new,or,pa,pi,sa,sd,ta,te,ur,Total
2008/01/31,51343.0,239068.0,1764334.0,1277667.0,166667.0,1757994.0,598078.0,90912.0,904289.0,1349153.0,139310.0,996498.0,50461.0,105278.0,226043.0,174429.0,108008.0,1439936.0,1875166.0,705743.0,14020377.0
2008/02/29,52621.0,144905.0,1432087.0,988108.0,143000.0,1362171.0,427755.0,86421.0,706008.0,1333035.0,120090.0,792345.0,50767.0,89349.0,124598.0,207541.0,46426.0,1151733.0,1600688.0,561982.0,11421630.0
2008/03/31,45946.0,243350.0,1732195.0,1236680.0,123389.0,1820954.0,650647.0,75016.0,894371.0,1552256.0,183883.0,1101383.0,43331.0,94905.0,179131.0,243740.0,42080.0,2714556.0,2108564.0,559831.0,15646208.0
2008/04/30,58752.0,162452.0,1981687.0,1756272.0,143320.0,2226164.0,642831.0,86629.0,1134600.0,1649732.0,140999.0,1481030.0,45142.0,119231.0,141629.0,197141.0,193052.0,3207577.0,2245028.0,710486.0,18323754.0
2008/05/31,50228.0,131212.0,2082838.0,1982603.0,136581.0,1992144.0,458810.0,89036.0,1370278.0,1797412.0,127739.0,1686856.0,38100.0,147591.0,130307.0,188142.0,129375.0,1443432.0,2434150.0,785659.0,17202493.0
2008/06/30,66465.0,124517.0,2004510.0,1825171.0,147850.0,1974777.0,508090.0,60200.0,1199081.0,1625324.0,114474.0,1575792.0,43477.0,145084.0,104494.0,197426.0,49292.0,1448222.0,2080643.0,587089.0,15881978.0
2008/07/31,56155.0,107868.0,1710712.0,1459844.0,154437.0,2122342.0,467849.0,52892.0,1087039.0,1415983.0,108495.0,1322946.0,31564.0,139994.0,144256.0,181531.0,42236.0,1395041.0,1722930.0,539229.0,14263343.0
2008/08/31,52838.0,109547.0,1656420.0,1341542.0,179257.0,2183872.0,493240.0,51268.0,1155820.0,1351310.0,137511.0,1289067.0,33858.0,140602.0,86869.0,191975.0,37585.0,1449088.0,1706024.0,661539.0,14309232.0
2008/09/30,53028.0,86012.0,1507405.0,1221913.0,223942.0,2212976.0,532268.0,39218.0,1379851.0,1276381.0,88666.0,1124033.0,24410.0,94444.0,73528.0,140135.0,32411.0,1702059.0,1696248.0,640762.0,14149690.0
2008/10/31,81368.0,92634.0,1680118.0,1380827.0,231880.0,2352205.0,624660.0,56154.0,1268634.0,1406073.0,102013.0,1255474.0,29089.0,187011.0,78591.0,161214.0,38976.0,1754304.0,1817968.0,648858.0,15248051.0
