date,language,views
2008/01/31,as,51343
2008/01/31,bh,239068
2008/01/31,bn,1764334
2008/01/31,bpy,1277667
2008/01/31,gu,166667
2008/01/31,hi,1757994
2008/01/31,kn,598078
2008/01/31,ks,90912
2008/01/31,ml,904289
2008/01/31,mr,1349153
2008/01/31,ne,139310
2008/01/31,new,996498
2008/01/31,or,50461
2008/01/31,pi,105278
2008/01/31,pa,226043
2008/01/31,sa,174429
2008/01/31,sd,108008
2008/01/31,ta,1439936
2008/01/31,te,1875166
2008/01/31,ur,705743
2008/01/31,Total,14020377
2008/02/29,as,52621
2008/02/29,bh,144905
2008/02/29,bn,1432087
2008/02/29,bpy,988108
2008/02/29,gu,143000
2008/02/29,hi,1362171
2008/02/29,kn,427755
2008/02/29,ks,86421
2008/02/29,ml,706008
2008/02/29,mr,1333035
2008/02/29,ne,120090
2008/02/29,new,792345
2008/02/29,or,50767
2008/02/29,pi,89349
2008/02/29,pa,124598
2008/02/29,sa,207541
2008/02/29,sd,46426
2008/02/29,ta,1151733
2008/02/29,te,1600688
2008/02/29,ur,561982
2008/02/29,Total,11421630
2008/03/31,as,45946
2008/03/31,bh,243350
2008/03/31,bn,1732195
2008/03/31,bpy,1236680
2008/03/31,gu,123389
2008/03/31,hi,1820954
2008/03/31,kn,650647
2008/03/31,ks,75016
2008/03/31,ml,894371
2008/03/31,mr,1552256
2008/03/31,ne,183883
2008/03/31,new,1101383
2008/03/31,or,43331
2008/03/31,pi,94905
2008/03/31,pa,179131
2008/03/31,sa,243740
2008/03/31,sd,42080
2008/03/31,ta,2714556
2008/03/31,te,2108564
2008/03/31,ur,559831
2008/03/31,Total,15646208
2008/04/30,as,58752
2008/04/30,bh,162452
2008/04/30,bn,1981687
2008/04/30,bpy,1756272
2008/04/30,gu,143320
2008/04/30,hi,2226164
2008/04/30,kn,642831
2008/04/30,ks,86629
2008/04/30,ml,1134600
2008/04/30,mr,1649732
2008/04/30,ne,140999
2008/04/30,new,1481030
2008/04/30,or,45142
2008/04/30,pi,119231
2008/04/30,pa,141629
2008/04/30,sa,197141
2008/04/30,sd,193052
2008/04/30,ta,3207577
2008/04/30,te,2245028
2008/04/30,ur,710486
2008/04/30,Total,18323754
2008/05/31,as,50228
2008/05/31,bh,131212
2008/05/31,bn,2082838
2008/05/31,bpy,1982603
2008/05/31,gu,136581
2008/05/31,hi,1992144
2008/05/31,kn,458810
2008/05/31,ks,89036
2008/05/31,ml,1370278
2008/05/31,mr,1797412
2008/05/31,ne,127739
2008/05/31,new,1686856
2008/05/31,or,38100
2008/05/31,pi,147591
2008/05/31,pa,130307
2008/05/31,sa,188142
2008/05/31,sd,129375
2008/05/31,ta,1443432
2008/05/31,te,2434150
2008/05/31,ur,785659
2008/05/31,Total,17202493
2008/06/30,as,66465
2008/06/30,bh,124517
2008/06/30,bn,2004510
2008/06/30,bpy,1825171
2008/06/30,gu,147850
2008/06/30,hi,1974777
2008/06/30,kn,508090
2008/06/30,ks,60200
2008/06/30,ml,1199081
2008/06/30,mr,1625324
2008/06/30,ne,114474
2008/06/30,new,1575792
2008/06/30,or,43477
2008/06/30,pi,145084
2008/06/30,pa,104494
2008/06/30,sa,197426
2008/06/30,sd,49292
2008/06/30,ta,1448222
2008/06/30,te,2080643
2008/06/30,ur,587089
2008/06/30,Total,15881978
2008/07/31,as,56155
2008/07/31,bh,107868
2008/07/31,bn,1710712
2008/07/31,bpy,1459844
2008/07/31,gu,154437
2008/07/31,hi,2122342
2008/07/31,kn,467849
2008/07/31,ks,52892
2008/07/31,ml,1087039
2008/07/31,mr,1415983
2008/07/31,ne,108495
2008/07/31,new,1322946
2008/07/31,or,31564
2008/07/31,pi,139994
2008/07/31,pa,144256
2008/07/31,sa,181531
2008/07/31,sd,42236
2008/07/31,ta,1395041
2008/07/31,te,1722930
2008/07/31,ur,539229
2008/07/31,Total,14263343
2008/08/31,as,52838
2008/08/31,bh,109547
2008/08/31,bn,1656420
2008/08/31,bpy,1341542
2008/08/31,gu,179257
2008/08/31,hi,2183872
2008/08/31,kn,493240
2008/08/31,ks,51268
2008/08/31,ml,1155820
2008/08/31,mr,1351310
2008/08/31,ne,137511
2008/08/31,new,1289067
2008/08/31,or,33858
2008/08/31,pi,140602
2008/08/31,pa,86869
2008/08/31,sa,191975
2008/08/31,sd,37585
2008/08/31,ta,1449088
2008/08/31,te,1706024
2008/08/31,ur,661539
2008/08/31,Total,14309232
2008/09/30,as,53028
2008/09/30,bh,86012
2008/09/30,bn,1507405
2008/09/30,bpy,1221913
2008/09/30,gu,223942
2008/09/30,hi,2212976
2008/09/30,kn,532268
2008/09/30,ks,39218
2008/09/30,ml,1379851
2008/09/30,mr,1276381
2008/09/30,ne,88666
2008/09/30,new,1124033
2008/09/30,or,24410
2008/09/30,pi,94444
2008/09/30,pa,73528
2008/09/30,sa,140135
2008/09/30,sd,32411
2008/09/30,ta,1702059
2008/09/30,te,1696248
2008/09/30,ur,640762
2008/09/30,Total,14149690
2008/10/31,as,81368
2008/10/31,bh,92634
2008/10/31,bn,1680118
2008/10/31,bpy,1380827
2008/10/31,gu,231880
2008/10/31,hi,2352205
2008/10/31,kn,624660
2008/10/31,ks,56154
2008/10/31,ml,1268634
2008/10/31,mr,1406073
2008/10/31,ne,102013
2008/10/31,new,1255474
2008/10/31,or,29089
2008/10/31,pi,187011
2008/10/31,pa,78591
2008/10/31,sa,161214
2008/10/31,sd,38976
2008/10/31,ta,1754304
2008/10/31,te,1817968
2008/10/31,ur,648858
2008/10/31,Total,15248051
2008/11/30,as,76458
2008/11/30,bh,100950
2008/11/30,bn,1695821
2008/11/30,bpy,1397102
2008/11/30,gu,190523
