date,"language",views
2008/01/31,"Assamese",51343
2008/02/29,"Assamese",52621
2008/03/31,"Assamese",45946
2008/04/30,"Assamese",58752
2008/05/31,"Assamese",50228
2008/06/30,"Assamese",66465
2008/07/31,"Assamese",56155
2008/08/31,"Assamese",52838
2008/09/30,"Assamese",53028
2008/10/31,"Assamese",81368
2008/11/30,"Assamese",76458
2008/12/31,"Assamese",75297
2009/01/31,"Assamese",75359
2009/02/28,"Assamese",59818
2009/03/31,"Assamese",83473
2009/04/30,"Assamese",64088
2009/05/31,"Assamese",59039
2009/06/30,"Assamese",84186
2009/07/31,"Assamese",61769
2009/08/31,"Assamese",66080
2009/09/30,"Assamese",61554
2009/10/31,"Assamese",75216
2009/11/30,"Assamese",88300
2009/12/31,"Assamese",93305
2010/01/31,"Assamese",91161
2010/02/28,"Assamese",98933
2010/03/31,"Assamese",98900
2010/04/30,"Assamese",112345
2010/05/31,"Assamese",101966
2010/06/30,"Assamese",82165
2010/07/31,"Assamese",98676
2010/08/31,"Assamese",89987
2010/09/30,"Assamese",74386
2010/10/31,"Assamese",164389
2010/11/30,"Assamese",90921
2010/12/31,"Assamese",97717
2011/01/31,"Assamese",79452
2011/02/28,"Assamese",90476
2011/03/31,"Assamese",115327
2011/04/30,"Assamese",97069
2011/05/31,"Assamese",134587
2011/06/30,"Assamese",86228
2011/07/31,"Assamese",99648
2011/08/31,"Assamese",143477
2011/09/30,"Assamese",127560
2011/10/31,"Assamese",243991
2011/11/30,"Assamese",162464
2011/12/31,"Assamese",212109
2012/01/31,"Assamese",255686
2012/02/29,"Assamese",293001
2012/03/31,"Assamese",395271
2012/04/30,"Assamese",295510
2012/05/31,"Assamese",380908
2012/06/30,"Assamese",358924
2012/07/31,"Assamese",391555
2012/08/31,"Assamese",354104
2012/09/30,"Assamese",386295
2012/10/31,"Assamese",469888
2012/11/30,"Assamese",442135
2012/12/13,"Assamese",476456
2013/01/31,"Assamese",474215
2013/02/12,"Assamese",148348
2008/01/31,"Bhojpuri",239068
2008/02/29,"Bhojpuri",144905
2008/03/31,"Bhojpuri",243350
2008/04/30,"Bhojpuri",162452
2008/05/31,"Bhojpuri",131212
2008/06/30,"Bhojpuri",124517
2008/07/31,"Bhojpuri",107868
2008/08/31,"Bhojpuri",109547
2008/09/30,"Bhojpuri",86012
2008/10/31,"Bhojpuri",92634
2008/11/30,"Bhojpuri",100950
2008/12/31,"Bhojpuri",94951
2009/01/31,"Bhojpuri",111401
2009/02/28,"Bhojpuri",77773
2009/03/31,"Bhojpuri",99054
2009/04/30,"Bhojpuri",97059
2009/05/31,"Bhojpuri",86637
2009/06/30,"Bhojpuri",98418
2009/07/31,"Bhojpuri",89518
2009/08/31,"Bhojpuri",104800
2009/09/30,"Bhojpuri",81582
2009/10/31,"Bhojpuri",105763
2009/11/30,"Bhojpuri",91524
2009/12/31,"Bhojpuri",96117
2010/01/31,"Bhojpuri",115518
2010/02/28,"Bhojpuri",126984
2010/03/31,"Bhojpuri",119365
2010/04/30,"Bhojpuri",147711
2010/05/31,"Bhojpuri",132259
2010/06/30,"Bhojpuri",106921
2010/07/31,"Bhojpuri",113310
2010/08/31,"Bhojpuri",113591
2010/09/30,"Bhojpuri",128021
2010/10/31,"Bhojpuri",130670
2010/11/30,"Bhojpuri",140574
2010/12/31,"Bhojpuri",185491
2011/01/31,"Bhojpuri",163508
2011/02/28,"Bhojpuri",191001
2011/03/31,"Bhojpuri",193981
2011/04/30,"Bhojpuri",158829
2011/05/31,"Bhojpuri",155756
2011/06/30,"Bhojpuri",158314
2011/07/31,"Bhojpuri",182593
2011/08/31,"Bhojpuri",204221
2011/09/30,"Bhojpuri",175059
2011/10/31,"Bhojpuri",278434
2011/11/30,"Bhojpuri",204050
2011/12/31,"Bhojpuri",176915
2012/01/31,"Bhojpuri",170274
2012/02/29,"Bhojpuri",194105
2012/03/31,"Bhojpuri",208005
2012/04/30,"Bhojpuri",145920
2012/05/31,"Bhojpuri",176770
2012/06/30,"Bhojpuri",158348
2012/07/31,"Bhojpuri",154581
2012/08/31,"Bhojpuri",172549
2012/09/30,"Bhojpuri",181334
2012/10/31,"Bhojpuri",191078
2012/11/30,"Bhojpuri",174532
2012/12/13,"Bhojpuri",180112
2013/01/31,"Bhojpuri",177054
2013/02/12,"Bhojpuri",67554
2008/01/31,"Bengali",1764334
2008/02/29,"Bengali",1432087
2008/03/31,"Bengali",1732195
2008/04/30,"Bengali",1981687
2008/05/31,"Bengali",2082838
2008/06/30,"Bengali",2004510
2008/07/31,"Bengali",1710712
2008/08/31,"Bengali",1656420
2008/09/30,"Bengali",1507405
2008/10/31,"Bengali",1680118
2008/11/30,"Bengali",1695821
2008/12/31,"Bengali",1938081
2009/01/31,"Bengali",2269294
2009/02/28,"Bengali",1875228
2009/03/31,"Bengali",2571912
2009/04/30,"Bengali",1521019
2009/05/31,"Bengali",1466029
2009/06/30,"Bengali",1734206
2009/07/31,"Bengali",1804817
2009/08/31,"Bengali",2070579
2009/09/30,"Bengali",2080503
2009/10/31,"Bengali",2585947
2009/11/30,"Bengali",2245699
2009/12/31,"Bengali",2782785
2010/01/31,"Bengali",2574848
2010/02/28,"Bengali",2747949
2010/03/31,"Bengali",2494974
2010/04/30,"Bengali",2418973
2010/05/31,"Bengali",2079080
2010/06/30,"Bengali",1376385
2010/07/31,"Bengali",1794844
2010/08/31,"Bengali",1780657
2010/09/30,"Bengali",1780128
2010/10/31,"Bengali",1859158
2010/11/30,"Bengali",1998094
2010/12/31,"Bengali",2619266
2011/01/31,"Bengali",1874433
2011/02/28,"Bengali",2236272
2011/03/31,"Bengali",2726306
2011/04/30,"Bengali",1960564
2011/05/31,"Bengali",2769712
2011/06/30,"Bengali",1946518
2011/07/31,"Bengali",1947480
