date,as,bh,bn,bpy,gu,hi,kn,ks,ml,mr,ne,new,or,pa,pi,sa,sd,ta,te,ur,Total
2001/01/31,,,,,,,,,,,,,,,,,,,,,
2001/02/28,,,,,,,,,,,,,,,,,,,,,
2001/03/31,,,,,,,,,,,,,,,,,,,,,
2001/04/30,,,,,,,,,,,,,,,,,,,,,
2001/05/31,,,,,,,,,,,,,,,,,,,,,
2001/06/30,,,,,,,,,,,,,,,,,,,,,
2001/07/31,,,,,,,,,,,,,,,,,,,,,
2001/08/31,,,,,,,,,,,,,,,,,,,,,
2001/09/30,,,,,,,,,,,,,,,,,,,,,
2001/10/31,,,,,,,,,,,,,,,,,,,,,
2001/11/30,,,,,,,,,,,,,,,,,,,,,
2001/12/31,,,,,,,,,,,,,,,,,,,,,
2002/01/31,,,,,,,,,,,,,,,,,,,,,
2002/02/28,,,,,,,,,,,,,,,,,,,,,
2002/03/31,,,,,,,,,,,,,,,,,,,,,
2002/04/30,,,,,,,,,,,,,,,,,,,,,
2002/05/31,,,,,,,,,,,,,,,,,,,,,
2002/06/30,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,3.0
2002/07/31,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,3.0
2002/08/31,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,3.0
2002/09/30,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,3.0
2002/10/31,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,3.0
2002/11/30,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,3.0
2002/12/31,1.0,,,,,,,,2.0,,1.0,,,1.0,,,,,,,5.0
2003/01/31,1.0,,,,,,,,2.0,,1.0,,,1.0,,,,,,,5.0
2003/02/28,1.0,1.0,,,,,,,2.0,,1.0,,,1.0,,,,,,,6.0
2003/03/31,1.0,1.0,,,,,,,2.0,,1.0,,,1.0,,,,,,,6.0
2003/04/30,1.0,1.0,,,,,,,2.0,,1.0,,,1.0,,,,,,,6.0
2003/05/31,1.0,1.0,,,,,,,3.0,1.0,1.0,,,1.0,,,,,,,8.0
2003/06/30,1.0,1.0,,,,,1.0,,3.0,1.0,1.0,,,1.0,,,,,,,9.0
2003/07/31,1.0,1.0,,,,3.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,,,,,,13.0
2003/08/31,1.0,1.0,,,,3.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,,,,,,13.0
2003/09/30,1.0,1.0,,,,3.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,,,1.0,,,14.0
2003/10/31,1.0,1.0,,,,3.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,,,1.0,,,14.0
2003/11/30,1.0,1.0,,,,3.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,,,3.0,,,16.0
2003/12/31,1.0,1.0,,,1.0,3.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,1.0,1.0,4.0,1.0,,21.0
2004/01/31,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,1.0,1.0,5.0,1.0,1.0,24.0
2004/02/29,1.0,1.0,1.0,,1.0,4.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,1.0,1.0,5.0,1.0,1.0,25.0
2004/03/31,1.0,1.0,1.0,,1.0,4.0,1.0,1.0,3.0,1.0,1.0,,,2.0,,1.0,1.0,5.0,1.0,2.0,27.0
2004/04/30,1.0,1.0,1.0,,1.0,4.0,1.0,1.0,3.0,1.0,1.0,,,2.0,,1.0,1.0,5.0,1.0,4.0,29.0
2004/05/31,1.0,1.0,1.0,,1.0,4.0,1.0,1.0,3.0,1.0,1.0,,,2.0,,1.0,1.0,5.0,1.0,6.0,31.0
2004/06/30,1.0,1.0,1.0,,1.0,4.0,1.0,1.0,3.0,1.0,1.0,,,2.0,,1.0,1.0,5.0,1.0,6.0,31.0
2004/07/31,1.0,1.0,1.0,,2.0,5.0,1.0,1.0,3.0,1.0,1.0,,,2.0,,2.0,1.0,5.0,1.0,7.0,35.0
2004/08/31,1.0,1.0,1.0,,3.0,6.0,1.0,1.0,4.0,1.0,1.0,,,2.0,1.0,3.0,1.0,6.0,2.0,7.0,42.0
2004/09/30,1.0,1.0,1.0,,3.0,6.0,3.0,1.0,5.0,3.0,1.0,,,2.0,1.0,3.0,1.0,6.0,2.0,7.0,47.0
2004/10/31,1.0,1.0,1.0,,4.0,8.0,4.0,3.0,6.0,3.0,1.0,,,2.0,1.0,3.0,1.0,6.0,2.0,7.0,54.0
2004/11/30,1.0,1.0,2.0,,5.0,8.0,6.0,3.0,6.0,5.0,2.0,,,2.0,1.0,3.0,1.0,6.0,3.0,7.0,62.0
2004/12/31,1.0,1.0,2.0,,5.0,9.0,6.0,3.0,8.0,5.0,2.0,,,2.0,1.0,3.0,1.0,8.0,3.0,7.0,67.0
2005/01/31,1.0,1.0,2.0,,6.0,9.0,6.0,3.0,8.0,6.0,2.0,,,2.0,1.0,3.0,1.0,8.0,4.0,7.0,70.0
2005/02/28,1.0,1.0,3.0,,7.0,10.0,6.0,3.0,8.0,6.0,2.0,,,3.0,1.0,3.0,1.0,8.0,4.0,7.0,74.0
2005/03/31,1.0,1.0,3.0,,7.0,10.0,8.0,3.0,8.0,7.0,2.0,,,3.0,1.0,4.0,1.0,11.0,4.0,7.0,81.0
2005/04/30,1.0,1.0,3.0,,7.0,10.0,9.0,3.0,8.0,8.0,2.0,,,3.0,1.0,5.0,1.0,12.0,6.0,8.0,88.0
2005/05/31,1.0,1.0,3.0,,9.0,10.0,9.0,3.0,8.0,8.0,2.0,,1.0,4.0,1.0,5.0,1.0,13.0,7.0,8.0,94.0
2005/06/23,,,,,,,,,,,,,,,,,,,,,
2005/06/30,1.0,1.0,4.0,,9.0,14.0,11.0,3.0,8.0,8.0,2.0,,1.0,4.0,1.0,5.0,1.0,15.0,7.0,9.0,104.0
2005/07/31,1.0,1.0,5.0,,9.0,14.0,11.0,3.0,9.0,13.0,2.0,,1.0,5.0,1.0,5.0,1.0,20.0,7.0,9.0,117.0
2005/08/31,1.0,1.0,5.0,,9.0,14.0,11.0,3.0,9.0,13.0,2.0,,1.0,5.0,1.0,5.0,1.0,22.0,10.0,10.0,123.0
2005/09/30,1.0,1.0,5.0,,9.0,16.0,12.0,3.0,10.0,13.0,2.0,,1.0,5.0,1.0,6.0,1.0,25.0,12.0,12.0,135.0
