date,language,value
2008/01/31,as,12
2008/02/29,as,13
2008/03/31,as,13
2008/04/30,as,13
2008/05/31,as,13
2008/06/30,as,13
2008/07/31,as,13
2008/08/31,as,13
2008/09/30,as,13
2008/10/31,as,13
2008/11/30,as,13
2008/12/31,as,13
2009/01/31,as,13
2009/02/28,as,14
2009/03/31,as,14
2009/04/30,as,14
2009/05/31,as,15
2009/06/30,as,15
2009/07/31,as,16
2009/08/31,as,16
2009/09/30,as,16
2009/10/31,as,16
2009/11/30,as,16
2009/12/31,as,16
2010/01/31,as,16
2010/02/28,as,16
2010/03/31,as,16
2010/04/30,as,16
2010/05/31,as,16
2010/06/30,as,18
2010/07/31,as,18
2010/08/31,as,18
2010/09/30,as,18
2010/10/31,as,18
2010/11/30,as,19
2010/12/31,as,19
2011/01/31,as,20
2011/02/28,as,22
2011/03/31,as,22
2011/04/30,as,23
2011/05/31,as,23
2011/06/30,as,26
2011/07/31,as,28
2011/08/31,as,32
2011/09/30,as,38
2011/10/31,as,38
2011/11/30,as,41
2011/12/31,as,47
2012/01/31,as,50
2012/02/29,as,54
2012/03/31,as,59
2012/04/30,as,66
2012/05/31,as,71
2012/06/30,as,78
2012/07/31,as,80
2012/08/31,as,81
2012/09/30,as,83
2012/10/31,as,86
2012/11/30,as,90
2012/12/31,as,90
2008/01/31,bh,5
2008/02/29,bh,5
2008/03/31,bh,5
2008/04/30,bh,5
2008/05/31,bh,5
2008/06/30,bh,6
2008/07/31,bh,6
2008/08/31,bh,6
2008/09/30,bh,6
2008/10/31,bh,6
2008/11/30,bh,6
2008/12/31,bh,7
2009/01/31,bh,7
2009/02/28,bh,7
2009/03/31,bh,7
2009/04/30,bh,7
2009/05/31,bh,7
2009/06/30,bh,7
2009/07/31,bh,8
2009/08/31,bh,8
2009/09/30,bh,8
2009/10/31,bh,8
2009/11/30,bh,9
2009/12/31,bh,9
2010/01/31,bh,9
2010/02/28,bh,11
2010/03/31,bh,11
2010/04/30,bh,12
2010/05/31,bh,12
2010/06/30,bh,12
2010/07/31,bh,13
2010/08/31,bh,13
2010/09/30,bh,13
2010/10/31,bh,14
2010/11/30,bh,14
2010/12/31,bh,14
2011/01/31,bh,16
2011/02/28,bh,16
2011/03/31,bh,16
2011/04/30,bh,16
2011/05/31,bh,16
2011/06/30,bh,17
2011/07/31,bh,17
2011/08/31,bh,17
2011/09/30,bh,17
2011/10/31,bh,17
2011/11/30,bh,18
2011/12/31,bh,19
2012/01/31,bh,19
2012/02/29,bh,19
2012/03/31,bh,19
2012/04/30,bh,19
2012/05/31,bh,19
2012/06/30,bh,19
2012/07/31,bh,19
2012/08/31,bh,19
2012/09/30,bh,19
2012/10/31,bh,21
2012/11/30,bh,21
2012/12/31,bh,21
2008/01/31,bn,132
2008/02/29,bn,134
2008/03/31,bn,142
2008/04/30,bn,145
2008/05/31,bn,151
2008/06/30,bn,154
2008/07/31,bn,161
2008/08/31,bn,166
2008/09/30,bn,169
2008/10/31,bn,178
2008/11/30,bn,180
2008/12/31,bn,182
2009/01/31,bn,186
2009/02/28,bn,193
2009/03/31,bn,198
2009/04/30,bn,203
2009/05/31,bn,211
2009/06/30,bn,219
2009/07/31,bn,226
2009/08/31,bn,237
2009/09/30,bn,241
2009/10/31,bn,252
2009/11/30,bn,257
2009/12/31,bn,272
2010/01/31,bn,280
2010/02/28,bn,288
2010/03/31,bn,297
2010/04/30,bn,303
2010/05/31,bn,308
2010/06/30,bn,315
2010/07/31,bn,328
2010/08/31,bn,345
2010/09/30,bn,355
2010/10/31,bn,361
2010/11/30,bn,371
2010/12/31,bn,380
2011/01/31,bn,391
2011/02/28,bn,402
2011/03/31,bn,415
2011/04/30,bn,426
2011/05/31,bn,433
2011/06/30,bn,443
2011/07/31,bn,457
2011/08/31,bn,471
2011/09/30,bn,477
2011/10/31,bn,489
2011/11/30,bn,497
2011/12/31,bn,508
2012/01/31,bn,517
2012/02/29,bn,536
2012/03/31,bn,553
2012/04/30,bn,573
2012/05/31,bn,592
2012/06/30,bn,605
2012/07/31,bn,615
2012/08/31,bn,627
2012/09/30,bn,645
2012/10/31,bn,658
2012/11/30,bn,669
2012/12/31,bn,682
2008/01/31,bpy,6
2008/02/29,bpy,6
2008/03/31,bpy,6
2008/04/30,bpy,7
2008/05/31,bpy,7
2008/06/30,bpy,7
2008/07/31,bpy,9
2008/08/31,bpy,9
2008/09/30,bpy,10
2008/10/31,bpy,11
2008/11/30,bpy,11
2008/12/31,bpy,11
2009/01/31,bpy,11
2009/02/28,bpy,11
2009/03/31,bpy,11
2009/04/30,bpy,11
2009/05/31,bpy,11
2009/06/30,bpy,11
2009/07/31,bpy,12
2009/08/31,bpy,12
2009/09/30,bpy,13
2009/10/31,bpy,13
2009/11/30,bpy,17
2009/12/31,bpy,18
2010/01/31,bpy,18
2010/02/28,bpy,18
2010/03/31,bpy,18
2010/04/30,bpy,18
2010/05/31,bpy,19
2010/06/30,bpy,20
2010/07/31,bpy,21
2010/08/31,bpy,21
2010/09/30,bpy,22
2010/10/31,bpy,23
2010/11/30,bpy,24
2010/12/31,bpy,24
2011/01/31,bpy,24
2011/02/28,bpy,24
2011/03/31,bpy,24
2011/04/30,bpy,24
2011/05/31,bpy,24
2011/06/30,bpy,24
2011/07/31,bpy,24
2011/08/31,bpy,24
2011/09/30,bpy,26
2011/10/31,bpy,26
2011/11/30,bpy,27
2011/12/31,bpy,28
2012/01/31,bpy,28
2012/02/29,bpy,28
2012/03/31,bpy,29
2012/04/30,bpy,29
2012/05/31,bpy,29
2012/06/30,bpy,29
2012/07/31,bpy,29
2012/08/31,bpy,29
2012/09/30,bpy,29
2012/10/31,bpy,29
2012/11/30,bpy,29
2012/12/31,bpy,29
2008/01/31,gu,25
2008/02/29,gu,29
2008/03/31,gu,30
2008/04/30,gu,32
2008/05/31,gu,36
2008/06/30,gu,38
2008/07/31,gu,38
2008/08/31,gu,41
2008/09/30,gu,44
2008/10/31,gu,45
2008/11/30,gu,45
2008/12/31,gu,47
2009/01/31,gu,47
2009/02/28,gu,47
2009/03/31,gu,47
2009/04/30,gu,49
2009/05/31,gu,49
2009/06/30,gu,50
2009/07/31,gu,52
2009/08/31,gu,58
2009/09/30,gu,58
2009/10/31,gu,59
2009/11/30,gu,62
2009/12/31,gu,64
2010/01/31,gu,66
2010/02/28,gu,70
2010/03/31,gu,74
2010/04/30,gu,75
2010/05/31,gu,76
2010/06/30,gu,79
2010/07/31,gu,82
2010/08/31,gu,83
2010/09/30,gu,86
2010/10/31,gu,90
2010/11/30,gu,98
2010/12/31,gu,99
2011/01/31,gu,102
2011/02/28,gu,108
2011/03/31,gu,109
2011/04/30,gu,111
2011/05/31,gu,114
2011/06/30,gu,117
2011/07/31,gu,119
2011/08/31,gu,121
2011/09/30,gu,121
2011/10/31,gu,124
2011/11/30,gu,128
2011/12/31,gu,131
2012/01/31,gu,135
2012/02/29,gu,138
2012/03/31,gu,139
2012/04/30,gu,143
2012/05/31,gu,147
2012/06/30,gu,152
2012/07/31,gu,154
2012/08/31,gu,159
2012/09/30,gu,166
2012/10/31,gu,171
2012/11/30,gu,174
2012/12/31,gu,181
2008/01/31,hi,161
2008/02/29,hi,167
2008/03/31,hi,173
2008/04/30,hi,175
2008/05/31,hi,181
2008/06/30,hi,187
2008/07/31,hi,193
2008/08/31,hi,198
2008/09/30,hi,202
2008/10/31,hi,207
2008/11/30,hi,218
2008/12/31,hi,223
2009/01/31,hi,231
2009/02/28,hi,237
2009/03/31,hi,247
2009/04/30,hi,255
2009/05/31,hi,267
2009/06/30,hi,282
2009/07/31,hi,290
2009/08/31,hi,301
2009/09/30,hi,318
2009/10/31,hi,326
2009/11/30,hi,338
2009/12/31,hi,356
2010/01/31,hi,373
2010/02/28,hi,385
2010/03/31,hi,403
2010/04/30,hi,411
2010/05/31,hi,417
2010/06/30,hi,430
2010/07/31,hi,447
2010/08/31,hi,468
2010/09/30,hi,485
2010/10/31,hi,497
2010/11/30,hi,511
2010/12/31,hi,526
2011/01/31,hi,536
2011/02/28,hi,545
2011/03/31,hi,561
2011/04/30,hi,574
2011/05/31,hi,597
2011/06/30,hi,610
2011/07/31,hi,624
2011/08/31,hi,640
2011/09/30,hi,646
2011/10/31,hi,657
2011/11/30,hi,676
2011/12/31,hi,690
2012/01/31,hi,712
2012/02/29,hi,731
2012/03/31,hi,745
2012/04/30,hi,758
2012/05/31,hi,767
2012/06/30,hi,787
2012/07/31,hi,806
2012/08/31,hi,822
2012/09/30,hi,830
2012/10/31,hi,845
2012/11/30,hi,866
2012/12/31,hi,874
2008/01/31,kn,80
2008/02/29,kn,82
2008/03/31,kn,84
2008/04/30,kn,88
2008/05/31,kn,91
2008/06/30,kn,93
2008/07/31,kn,96
2008/08/31,kn,98
2008/09/30,kn,100
2008/10/31,kn,101
2008/11/30,kn,103
2008/12/31,kn,105
2009/01/31,kn,108
2009/02/28,kn,111
2009/03/31,kn,113
2009/04/30,kn,115
2009/05/31,kn,118
2009/06/30,kn,118
2009/07/31,kn,123
2009/08/31,kn,128
2009/09/30,kn,131
2009/10/31,kn,137
2009/11/30,kn,142
2009/12/31,kn,146
2010/01/31,kn,155
2010/02/28,kn,160
2010/03/31,kn,161
2010/04/30,kn,167
2010/05/31,kn,169
2010/06/30,kn,174
2010/07/31,kn,185
2010/08/31,kn,198
2010/09/30,kn,203
2010/10/31,kn,210
2010/11/30,kn,218
2010/12/31,kn,226
2011/01/31,kn,234
2011/02/28,kn,237
2011/03/31,kn,243
2011/04/30,kn,250
2011/05/31,kn,251
2011/06/30,kn,253
2011/07/31,kn,256
2011/08/31,kn,256
2011/09/30,kn,258
2011/10/31,kn,261
2011/11/30,kn,271
2011/12/31,kn,278
2012/01/31,kn,286
2012/02/29,kn,292
2012/03/31,kn,300
2012/04/30,kn,305
2012/05/31,kn,308
2012/06/30,kn,312
2012/07/31,kn,316
2012/08/31,kn,317
2012/09/30,kn,321
2012/10/31,kn,326
2012/11/30,kn,331
2012/12/31,kn,334
2008/01/31,ks,5
2008/02/29,ks,5
2008/03/31,ks,5
2008/04/30,ks,5
2008/05/31,ks,5
2008/06/30,ks,5
2008/07/31,ks,5
2008/08/31,ks,5
2008/09/30,ks,5
2008/10/31,ks,5
2008/11/30,ks,5
2008/12/31,ks,5
2009/01/31,ks,5
2009/02/28,ks,5
2009/03/31,ks,5
2009/04/30,ks,5
2009/05/31,ks,5
2009/06/30,ks,5
2009/07/31,ks,5
2009/08/31,ks,5
2009/09/30,ks,5
2009/10/31,ks,5
2009/11/30,ks,5
2009/12/31,ks,5
2010/01/31,ks,5
2010/02/28,ks,5
2010/03/31,ks,5
2010/04/30,ks,5
2010/05/31,ks,5
2010/06/30,ks,5
2010/07/31,ks,5
2010/08/31,ks,5
2010/09/30,ks,5
2010/10/31,ks,5
2010/11/30,ks,5
2010/12/31,ks,5
2011/01/31,ks,5
2011/02/28,ks,5
2011/03/31,ks,5
2011/04/30,ks,5
2011/05/31,ks,5
2011/06/30,ks,5
2011/07/31,ks,6
2011/08/31,ks,6
2011/09/30,ks,6
2011/10/31,ks,7
2011/11/30,ks,7
2011/12/31,ks,7
2012/01/31,ks,7
2012/02/29,ks,7
2012/03/31,ks,7
2012/04/30,ks,7
2012/05/31,ks,7
2012/06/30,ks,7
2012/07/31,ks,7
2012/08/31,ks,8
2012/09/30,ks,8
2012/10/31,ks,8
2012/11/30,ks,8
2012/12/31,ks,8
2008/01/31,ml,195
2008/02/29,ml,203
2008/03/31,ml,211
2008/04/30,ml,219
2008/05/31,ml,231
2008/06/30,ml,241
2008/07/31,ml,249
2008/08/31,ml,258
2008/09/30,ml,263
2008/10/31,ml,274
2008/11/30,ml,279
2008/12/31,ml,284
2009/01/31,ml,289
2009/02/28,ml,295
2009/03/31,ml,301
2009/04/30,ml,311
2009/05/31,ml,319
2009/06/30,ml,335
2009/07/31,ml,342
2009/08/31,ml,363
2009/09/30,ml,371
2009/10/31,ml,380
2009/11/30,ml,388
2009/12/31,ml,395
2010/01/31,ml,411
2010/02/28,ml,419
2010/03/31,ml,432
2010/04/30,ml,443
2010/05/31,ml,447
2010/06/30,ml,457
2010/07/31,ml,470
2010/08/31,ml,484
2010/09/30,ml,489
2010/10/31,ml,506
2010/11/30,ml,535
2010/12/31,ml,552
2011/01/31,ml,565
2011/02/28,ml,583
2011/03/31,ml,606
2011/04/30,ml,618
2011/05/31,ml,637
2011/06/30,ml,656
2011/07/31,ml,670
2011/08/31,ml,683
2011/09/30,ml,696
2011/10/31,ml,707
2011/11/30,ml,717
2011/12/31,ml,739
2012/01/31,ml,757
2012/02/29,ml,769
2012/03/31,ml,785
2012/04/30,ml,794
2012/05/31,ml,807
2012/06/30,ml,825
2012/07/31,ml,843
2012/08/31,ml,859
2012/09/30,ml,872
2012/10/31,ml,885
2012/11/30,ml,899
2012/12/31,ml,922
2008/01/31,mr,113
2008/02/29,mr,115
2008/03/31,mr,117
2008/04/30,mr,120
2008/05/31,mr,122
2008/06/30,mr,127
2008/07/31,mr,130
2008/08/31,mr,131
2008/09/30,mr,135
2008/10/31,mr,139
2008/11/30,mr,142
2008/12/31,mr,144
2009/01/31,mr,146
2009/02/28,mr,150
2009/03/31,mr,153
2009/04/30,mr,156
2009/05/31,mr,162
2009/06/30,mr,167
2009/07/31,mr,171
2009/08/31,mr,175
2009/09/30,mr,185
2009/10/31,mr,189
2009/11/30,mr,190
2009/12/31,mr,195
2010/01/31,mr,204
2010/02/28,mr,212
2010/03/31,mr,219
2010/04/30,mr,221
2010/05/31,mr,227
2010/06/30,mr,233
2010/07/31,mr,241
2010/08/31,mr,247
2010/09/30,mr,249
2010/10/31,mr,254
2010/11/30,mr,258
2010/12/31,mr,264
2011/01/31,mr,272
2011/02/28,mr,281
2011/03/31,mr,288
2011/04/30,mr,293
2011/05/31,mr,295
2011/06/30,mr,300
2011/07/31,mr,304
2011/08/31,mr,309
2011/09/30,mr,317
2011/10/31,mr,325
2011/11/30,mr,337
2011/12/31,mr,356
2012/01/31,mr,368
2012/02/29,mr,375
2012/03/31,mr,385
2012/04/30,mr,396
2012/05/31,mr,400
2012/06/30,mr,409
2012/07/31,mr,411
2012/08/31,mr,423
2012/09/30,mr,431
2012/10/31,mr,442
2012/11/30,mr,451
2012/12/31,mr,461
2008/01/31,ne,37
2008/02/29,ne,37
2008/03/31,ne,38
2008/04/30,ne,39
2008/05/31,ne,41
2008/06/30,ne,45
2008/07/31,ne,46
2008/08/31,ne,46
2008/09/30,ne,46
2008/10/31,ne,48
2008/11/30,ne,48
2008/12/31,ne,49
2009/01/31,ne,49
2009/02/28,ne,51
2009/03/31,ne,52
2009/04/30,ne,54
2009/05/31,ne,54
2009/06/30,ne,55
2009/07/31,ne,55
2009/08/31,ne,57
2009/09/30,ne,58
2009/10/31,ne,58
2009/11/30,ne,62
2009/12/31,ne,62
2010/01/31,ne,63
2010/02/28,ne,64
2010/03/31,ne,65
2010/04/30,ne,67
2010/05/31,ne,69
2010/06/30,ne,70
2010/07/31,ne,73
2010/08/31,ne,77
2010/09/30,ne,77
2010/10/31,ne,80
2010/11/30,ne,82
2010/12/31,ne,83
2011/01/31,ne,84
2011/02/28,ne,84
2011/03/31,ne,87
2011/04/30,ne,88
2011/05/31,ne,91
2011/06/30,ne,92
2011/07/31,ne,96
2011/08/31,ne,98
2011/09/30,ne,101
2011/10/31,ne,105
2011/11/30,ne,109
2011/12/31,ne,112
2012/01/31,ne,115
2012/02/29,ne,117
2012/03/31,ne,119
2012/04/30,ne,119
2012/05/31,ne,119
2012/06/30,ne,124
2012/07/31,ne,129
2012/08/31,ne,132
2012/09/30,ne,133
2012/10/31,ne,137
2012/11/30,ne,139
2012/12/31,ne,139
2008/01/31,new,9
2008/02/29,new,9
2008/03/31,new,9
2008/04/30,new,9
2008/05/31,new,9
2008/06/30,new,9
2008/07/31,new,9
2008/08/31,new,9
2008/09/30,new,9
2008/10/31,new,9
2008/11/30,new,9
2008/12/31,new,9
2009/01/31,new,9
2009/02/28,new,10
2009/03/31,new,10
2009/04/30,new,10
2009/05/31,new,10
2009/06/30,new,10
2009/07/31,new,11
2009/08/31,new,11
2009/09/30,new,12
2009/10/31,new,12
2009/11/30,new,13
2009/12/31,new,13
2010/01/31,new,14
2010/02/28,new,14
2010/03/31,new,15
2010/04/30,new,15
2010/05/31,new,16
2010/06/30,new,16
2010/07/31,new,17
2010/08/31,new,17
2010/09/30,new,17
2010/10/31,new,19
2010/11/30,new,19
2010/12/31,new,19
2011/01/31,new,19
2011/02/28,new,19
2011/03/31,new,19
2011/04/30,new,19
2011/05/31,new,20
2011/06/30,new,20
2011/07/31,new,20
2011/08/31,new,20
2011/09/30,new,20
2011/10/31,new,20
2011/11/30,new,20
2011/12/31,new,20
2012/01/31,new,20
2012/02/29,new,20
2012/03/31,new,20
2012/04/30,new,20
2012/05/31,new,20
2012/06/30,new,20
2012/07/31,new,20
2012/08/31,new,20
2012/09/30,new,20
2012/10/31,new,21
2012/11/30,new,22
2012/12/31,new,22
2008/01/31,or,2
2008/02/29,or,2
2008/03/31,or,3
2008/04/30,or,3
2008/05/31,or,3
2008/06/30,or,3
2008/07/31,or,3
2008/08/31,or,3
2008/09/30,or,3
2008/10/31,or,3
2008/11/30,or,3
2008/12/31,or,3
2009/01/31,or,3
2009/02/28,or,3
2009/03/31,or,3
2009/04/30,or,3
2009/05/31,or,3
2009/06/30,or,3
2009/07/31,or,3
2009/08/31,or,3
2009/09/30,or,4
2009/10/31,or,4
2009/11/30,or,4
2009/12/31,or,4
2010/01/31,or,4
2010/02/28,or,5
2010/03/31,or,5
2010/04/30,or,5
2010/05/31,or,5
2010/06/30,or,6
2010/07/31,or,6
2010/08/31,or,7
2010/09/30,or,7
2010/10/31,or,7
2010/11/30,or,7
2010/12/31,or,7
2011/01/31,or,7
2011/02/28,or,9
2011/03/31,or,12
2011/04/30,or,15
2011/05/31,or,19
2011/06/30,or,22
2011/07/31,or,23
2011/08/31,or,23
2011/09/30,or,24
2011/10/31,or,27
2011/11/30,or,28
2011/12/31,or,29
2012/01/31,or,29
2012/02/29,or,31
2012/03/31,or,33
2012/04/30,or,37
2012/05/31,or,49
2012/06/30,or,53
2012/07/31,or,58
2012/08/31,or,61
2012/09/30,or,61
2012/10/31,or,62
2012/11/30,or,63
2012/12/31,or,64
2008/01/31,pa,14
2008/02/29,pa,14
2008/03/31,pa,15
2008/04/30,pa,15
2008/05/31,pa,15
2008/06/30,pa,16
2008/07/31,pa,16
2008/08/31,pa,16
2008/09/30,pa,16
2008/10/31,pa,16
2008/11/30,pa,16
2008/12/31,pa,16
2009/01/31,pa,16
2009/02/28,pa,16
2009/03/31,pa,16
2009/04/30,pa,17
2009/05/31,pa,17
2009/06/30,pa,17
2009/07/31,pa,18
2009/08/31,pa,18
2009/09/30,pa,19
2009/10/31,pa,19
2009/11/30,pa,19
2009/12/31,pa,20
2010/01/31,pa,20
2010/02/28,pa,20
2010/03/31,pa,21
2010/04/30,pa,22
2010/05/31,pa,22
2010/06/30,pa,22
2010/07/31,pa,22
2010/08/31,pa,22
2010/09/30,pa,24
2010/10/31,pa,24
2010/11/30,pa,24
2010/12/31,pa,25
2011/01/31,pa,26
2011/02/28,pa,27
2011/03/31,pa,29
2011/04/30,pa,30
2011/05/31,pa,30
2011/06/30,pa,30
2011/07/31,pa,35
2011/08/31,pa,36
2011/09/30,pa,36
2011/10/31,pa,38
2011/11/30,pa,38
2011/12/31,pa,38
2012/01/31,pa,38
2012/02/29,pa,40
2012/03/31,pa,40
2012/04/30,pa,41
2012/05/31,pa,42
2012/06/30,pa,43
2012/07/31,pa,46
2012/08/31,pa,50
2012/09/30,pa,54
2012/10/31,pa,56
2012/11/30,pa,64
2012/12/31,pa,65
2008/01/31,pi,2
2008/02/29,pi,2
2008/03/31,pi,2
2008/04/30,pi,2
2008/05/31,pi,2
2008/06/30,pi,2
2008/07/31,pi,2
2008/08/31,pi,2
2008/09/30,pi,2
2008/10/31,pi,2
2008/11/30,pi,2
2008/12/31,pi,2
2009/01/31,pi,2
2009/02/28,pi,2
2009/03/31,pi,2
2009/04/30,pi,2
2009/05/31,pi,2
